市町村コード,都道府県名,市町村名,図書館名,年度,開館日数（日）,総数（人）,一般・団体（人）,生徒（人）,児童（人）,総数（冊）,一般図書等（冊）,児童図書（冊）,視聴覚資料（点）,,,,,,,,,,
05212,秋田県,大仙市,大曲図書館,2005(平成17),328,31811,26549,1754,3508,91565,70570,20995,,,,,,,,,,,
05212,秋田県,大仙市,大曲図書館,2006(平成18）,327,31888,27718,1379,2791,93530,69817,20212,3501,,,,,,,,,,
05212,秋田県,大仙市,大曲図書館,2007(平成19）,326,32801,28333,1220,3248,97074,72420,21155,3499,,,,,,,,,,
05212,秋田県,大仙市,大曲図書館,2008(平成20）,327,36490,31083,1269,4138,114489,81385,27285,5819,,,,,,,,,,
05212,秋田県,大仙市,大曲図書館,2009(平成21）,342,37358,32380,1112,3866,118550,82402,29369,6779,,,,,,,,,,
05212,秋田県,大仙市,大曲図書館,2010(平成22）,341,36490,30286,1228,4976,115506,77001,32059,6446,,,,,,,,,,
05212,秋田県,大仙市,大曲図書館,2011(平成23）,343,37483,31097,1028,5358,120240,80348,33194,6698,,,,,,,,,,
05212,秋田県,大仙市,大曲図書館,2012(平成24）,340,35382,29564,1056,4762,112996,76545,29438,7013,,,,,,,,,,
05212,秋田県,大仙市,大曲図書館,2013(平成25）,342,34460,28635,968,4857,110996,77211,27199,6586,,,,,,,,,,
05212,秋田県,大仙市,大曲図書館,2014(平成26）,340,34439,28916,869,4654,114795,80155,28676,5964,,,,,,,,,,
05212,秋田県,大仙市,大曲図書館,2015(平成27）,341,33789,28472,832,4485,112631,78456,28164,6011,,,,,,,,,,
05212,秋田県,大仙市,大曲図書館,2016(平成28）,342,32020,27105,768,4147,106650,74196,27324,5130,,,,,,,,,,
05212,秋田県,大仙市,大曲図書館,2017(平成29）,340,28129,24150,705,3274,93916,66417,23269,4230,,,,,,,,,,
05212,秋田県,大仙市,大曲図書館,2018(平成30）,339,26987,23379,619,2989,92812,63427,25680,3705,,,,,,,,,,
05212,秋田県,大仙市,大曲図書館,2019(令和1）,305,25508,21825,468,3215,87599,58074,26142,3383,,,,,,,,,,
05212,秋田県,大仙市,大曲図書館,2020(令和2）,307,20166,17860,360,1946,71559,50545,18628,2386,,,,,,,,,,
05212,秋田県,大仙市,神岡図書館,2005(平成17),287,6709,5766,337,606,14306,10369,3937,,,,,,,,,,,
05212,秋田県,大仙市,神岡図書館,2006(平成18）,279,5348,4632,231,485,14482,10125,4357,,,,,,,,,,,
05212,秋田県,大仙市,神岡図書館,2007(平成19）,287,4904,4342,181,381,13548,8861,4687,,,,,,,,,,,
05212,秋田県,大仙市,神岡図書館,2008(平成20）,307,4429,3801,163,465,12590,7868,4722,,,,,,,,,,,
05212,秋田県,大仙市,神岡図書館,2009(平成21）,343,4190,3431,95,664,12408,7116,5145,147,,,,,,,,,,
05212,秋田県,大仙市,神岡図書館,2010(平成22）,340,4058,3385,92,581,13329,7440,5887,2,,,,,,,,,,
05212,秋田県,大仙市,神岡図書館,2011(平成23）,344,4171,3723,68,380,12629,7262,5364,3,,,,,,,,,,
05212,秋田県,大仙市,神岡図書館,2012(平成24）,344,4339,3689,62,588,13554,7166,6388,,,,,,,,,,,
05212,秋田県,大仙市,神岡図書館,2013(平成25）,343,4539,3899,75,565,15043,8028,7007,8,,,,,,,,,,
05212,秋田県,大仙市,神岡図書館,2014(平成26）,342,5209,4510,99,600,16022,8908,7110,4,,,,,,,,,,
05212,秋田県,大仙市,神岡図書館,2015(平成27）,343,5069,4350,96,623,15756,8715,6979,62,,,,,,,,,,
05212,秋田県,大仙市,神岡図書館,2016(平成28）,344,5196,4568,88,540,16482,8619,7696,167,,,,,,,,,,
05212,秋田県,大仙市,神岡図書館,2017(平成29）,344,4522,3974,23,525,14094,7754,6172,168,,,,,,,,,,
05212,秋田県,大仙市,神岡図書館,2018(平成30）,331,4365,3804,39,522,14543,7837,6598,108,,,,,,,,,,
05212,秋田県,大仙市,神岡図書館,2019(令和1）,297,4239,3652,33,554,13276,7528,5621,127,,,,,,,,,,
05212,秋田県,大仙市,神岡図書館,2020(令和2）,275,3580,3134,36,410,11407,6694,4650,63,,,,,,,,,,
05212,秋田県,大仙市,西仙北図書館,2005(平成17),282,7691,,,,23369,10945,12424,,,,,,,,,,,
05212,秋田県,大仙市,西仙北図書館,2006(平成18）,283,7556,5119,506,1931,23175,10186,9982,3007,,,,,,,,,,
05212,秋田県,大仙市,西仙北図書館,2007(平成19）,284,6717,4982,360,1375,21252,10164,8747,2341,,,,,,,,,,
05212,秋田県,大仙市,西仙北図書館,2008(平成20）,332,7389,5576,459,1354,22130,11695,8071,2364,,,,,,,,,,
05212,秋田県,大仙市,西仙北図書館,2009(平成21）,347,7094,5712,421,961,21838,11672,8457,1709,,,,,,,,,,
05212,秋田県,大仙市,西仙北図書館,2010(平成22）,345,7131,5884,345,902,22242,11896,9029,1317,,,,,,,,,,
