市町村コード,都道府県名,市町村名,地域,年,観光客数（千人）,観光客前年比（％）,県内客数（千人）,県内客比率（％）,県外客数（千人）,県外客比率（％）,宿泊客数（千人）,宿泊率（％）,日帰客数（千人）
05212,秋田県,大仙市,中仙地域,2007（平成19）,348,99.4,318,91.4,30,8.6,4,1.1,344
05212,秋田県,大仙市,中仙地域,2008（平成20）,345,99.1,270,78.3,75,21.7,0,0.0,345
05212,秋田県,大仙市,中仙地域,2009（平成21）,306,88.7,217,70.9,89,29.1,1,0.3,305
05212,秋田県,大仙市,中仙地域,2010（平成22）,308,100.7,215,69.8,93,30.2,2,0.6,306
05212,秋田県,大仙市,中仙地域,2011（平成23）,280,90.9,205,73.2,75,26.8,2,0.7,278
05212,秋田県,大仙市,中仙地域,2012（平成24）,260,92.9,188,72.3,72,27.7,2,0.8,258
05212,秋田県,大仙市,中仙地域,2013（平成25）,298,114.6,227,76.2,71,23.8,2,0.7,296
05212,秋田県,大仙市,中仙地域,2014（平成26）,291,97.7,223,76.6,68,23.4,2,0.7,289
05212,秋田県,大仙市,中仙地域,2015（平成27）,298,102.4,247,82.9,51,17.1,1,0.3,297
05212,秋田県,大仙市,中仙地域,2016（平成28）,318,106.7,265,83.3,53,16.7,1,0.3,317
05212,秋田県,大仙市,中仙地域,2017（平成29）,302,95.0,252,83.4,50,16.6,1,0.3,301
05212,秋田県,大仙市,中仙地域,2018（平成30）,288,95.4,240,83.3,48,16.7,1,0.3,287
05212,秋田県,大仙市,中仙地域,2019（平成31）,250,86.8,205,82.0,45,18.0,1,0.4,249
05212,秋田県,大仙市,中仙地域,2020（令和2）,157,62.8,128,81.5,29,18.5,0,0,157
05212,秋田県,大仙市,協和地域,2005（平成17）,680,368.8,522,76.8,158,23.2,7,1.0,673
05212,秋田県,大仙市,協和地域,2006（平成18）,384,56.5,311,81.0,73,19.0,6,1.6,378
05212,秋田県,大仙市,協和地域,2007（平成19）,361,94.0,288,79.8,73,20.2,6,1.7,355
05212,秋田県,大仙市,協和地域,2008（平成20）,364,100.8,286,78.6,78,21.4,5,1.4,359
05212,秋田県,大仙市,協和地域,2009（平成21）,369,101.4,312,84.6,57,15.4,6,1.6,363
05212,秋田県,大仙市,協和地域,2010（平成22）,403,109.2,296,73.4,107,26.6,6,1.5,397
05212,秋田県,大仙市,協和地域,2011（平成23）,369,91.6,291,78.9,78,21.1,4,1.1,365
05212,秋田県,大仙市,協和地域,2012（平成24）,367,99.5,287,78.2,80,21.8,4,1.1,363
05212,秋田県,大仙市,協和地域,2013（平成25）,380,103.5,299,78.7,81,21.3,4,1.1,376
05212,秋田県,大仙市,協和地域,2014（平成26）,408,107.4,326,79.9,82,20.1,4,1.0,404
05212,秋田県,大仙市,協和地域,2015（平成27）,405,99.3,355,87.7,50,12.3,3,0.7,402
05212,秋田県,大仙市,協和地域,2016（平成28）,392,96.8,345,88.0,47,12.0,3,0.8,389
05212,秋田県,大仙市,協和地域,2017（平成29）,371,94.6,326,87.9,45,12.1,3,0.8,368
05212,秋田県,大仙市,協和地域,2018（平成30）,336,90.6,291,86.6,45,13.4,3,0.9,333
05212,秋田県,大仙市,協和地域,2019（平成31）,392,116.7,346,88.3,46,11.7,3,0.8,389
05212,秋田県,大仙市,協和地域,2020（令和2）,269,68.6,237,88.1,32,11.9,1,0.4,268
05212,秋田県,大仙市,南外地域,2005（平成17）,26,49.1,20,76.9,6,23.1,1,3.8,25
05212,秋田県,大仙市,南外地域,2006（平成18）,35,133.3,10,28.6,25,71.4,2,5.7,33
05212,秋田県,大仙市,南外地域,2007（平成19）,41,113.9,34,82.9,7,17.1,2,4.9,39
05212,秋田県,大仙市,南外地域,2008（平成20）,37,90.2,32,86.5,5,13.5,2,5.4,35
05212,秋田県,大仙市,南外地域,2009（平成21）,40,108.1,32,80.0,8,20.0,2,5.0,38
05212,秋田県,大仙市,南外地域,2010（平成22）,39,97.5,31,79.5,8,20.5,2,5.1,37
05212,秋田県,大仙市,南外地域,2011（平成23）,38,97.4,30,78.9,8,21.1,2,5.3,36
05212,秋田県,大仙市,南外地域,2012（平成24）,39,102.6,30,76.9,9,23.1,1,2.6,38
05212,秋田県,大仙市,南外地域,2013（平成25）,41,105.1,23,56.1,18,43.9,1,2.4,40
05212,秋田県,大仙市,南外地域,2014（平成26）,41,100.0,32,78.0,9,22.0,1,2.4,40
05212,秋田県,大仙市,南外地域,2015（平成27）,41,100.0,35,85.4,6,14.6,1,2.4,40
05212,秋田県,大仙市,南外地域,2016（平成28）,41,100.0,35,85.4,6,14.6,1,2.4,40
05212,秋田県,大仙市,南外地域,2017（平成29）,39,95.1,33,84.6,6,15.4,1,2.6,38
05212,秋田県,大仙市,南外地域,2018（平成30）,39,100.0,33,84.6,6,15.4,1,2.6,38
05212,秋田県,大仙市,南外地域,2019（平成31）,43,110.3,37,86.0,6,14.0,1,2.3,42
05212,秋田県,大仙市,南外地域,2020（令和2）,44,102.3,38,86.4,6,13.6,0,0.0,44
05212,秋田県,大仙市,仙北地域,2005（平成17）,145,92.0,130,89.7,15,10.3,7,4.8,138
05212,秋田県,大仙市,仙北地域,2006（平成18）,140,95.9,124,88.6,16,11.4,6,4.3,134
05212,秋田県,大仙市,仙北地域,2007（平成19）,132,95.0,106,80.3,26,19.7,5,3.8,127
05212,秋田県,大仙市,仙北地域,2008（平成20）,126,95.5,114,90.5,12,9.5,5,4.0,121
05212,秋田県,大仙市,仙北地域,2009（平成21）,119,94.4,113,95.0,6,5.0,5,4.2,114
05212,秋田県,大仙市,仙北地域,2010（平成22）,111,93.3,105,94.6,6,5.4,4,3.6,107
05212,秋田県,大仙市,仙北地域,2011（平成23）,110,99.1,104,94.5,6,5.5,5,4.5,105
05212,秋田県,大仙市,仙北地域,2012（平成24）,131,119.1,121,92.4,10,7.6,5,3.8,126
05212,秋田県,大仙市,仙北地域,2013（平成25）,144,109.9,82,56.9,62,43.1,5,3.5,139
05212,秋田県,大仙市,仙北地域,2014（平成26）,152,105.6,139,91.4,13,8.6,4,2.6,148
05212,秋田県,大仙市,仙北地域,2015（平成27）,161,105.9,155,96.3,6,3.7,5,3.1,156
05212,秋田県,大仙市,仙北地域,2016（平成28）,160,99.4,154,96.3,6,3.8,5,3.1,155
05212,秋田県,大仙市,仙北地域,2017（平成29）,157,98.1,151,96.2,6,3.8,4,2.5,153
05212,秋田県,大仙市,仙北地域,2018（平成30）,165,105.1,159,96.4,6,3.6,4,2.4,161
05212,秋田県,大仙市,仙北地域,2019（平成31）,164,99.4,158,96.3,6,3.7,3,1.8,161
05212,秋田県,大仙市,仙北地域,2020（令和2）,111,67.7,107,96.4,4,3.6,1,0.9,110
05212,秋田県,大仙市,太田地域,2005（平成17）,269,102.3,201,74.7,68,25.3,10,3.7,259
05212,秋田県,大仙市,太田地域,2006（平成18）,289,107.0,216,74.7,73,25.3,9,3.1,280
05212,秋田県,大仙市,太田地域,2007（平成19）,289,100.3,271,93.8,18,6.2,9,3.1,280
05212,秋田県,大仙市,太田地域,2008（平成20）,261,88.5,260,99.6,1,0.4,7,2.7,254
05212,秋田県,大仙市,太田地域,2009（平成21）,280,88.5,275,98.2,5,1.8,9,3.2,271
05212,秋田県,大仙市,太田地域,2010（平成22）,254,90.7,222,87.4,32,12.6,9,3.5,245
05212,秋田県,大仙市,太田地域,2011（平成23）,246,96.9,211,85.8,35,14.2,10,4.1,236
05212,秋田県,大仙市,太田地域,2012（平成24）,247,100.4,214,86.6,33,13.4,12,4.9,235
05212,秋田県,大仙市,太田地域,2013（平成25）,262,106.1,215,82.1,47,17.9,11,4.2,251
05212,秋田県,大仙市,太田地域,2014（平成26）,245,93.5,205,83.7,40,16.3,11,4.5,234
05212,秋田県,大仙市,太田地域,2015（平成27）,234,95.5,194,82.9,40,17.1,12,5.1,222
05212,秋田県,大仙市,太田地域,2016（平成28）,231,98.7,190,82.3,41,17.7,12,5.2,219
05212,秋田県,大仙市,太田地域,2017（平成29）,231,100.0,191,82.7,40,17.3,11,4.8,220
05212,秋田県,大仙市,太田地域,2018（平成30）,215,93.1,179,83.3,36,16.7,9,4.2,206
05212,秋田県,大仙市,太田地域,2019（平成31）,217,100.9,180,82.9,37,17.1,9,4.1,208
05212,秋田県,大仙市,太田地域,2020（令和2）,141,65.0,116,82.3,25,17.7,2,1.4,139
,,,,,,,,,,,,,
,,,,,,,,,,,,,
