１ 　位　置　と　面　積,,,,,,,,
,,,,,,,,
,,,,,,,平成２８年１０月１日現在　,
市役所の位置,山王一丁目１番１号,,,,,,,
,東経 １４０°０６′１３″　北緯 ３９°４３′１２″　海抜　６．９５ｍ,,,,,,,
面　　　　積,９０６．０７　ｋ㎡　※　　　,,,,,,,
地　　　　域,極東　　河辺丹波森東　　　　１４０°３１′,,,,,東西 約 ４３．０３ km,,
,極西　　秋田港西　　　　　　１４０°０１′,,,,,,,
,極南　　雄和萓ケ沢南　　　　　３９°２７′,,,,,南北 約 ４６．２０ km,,
,極北　　上新城爼山　　　　  　３９°５２′,,,,,,,
海　　　　抜,"最高　　１,１７９.１ｍ　白子森　　　　　最低　　０ｍ　日本海",,,,,,,
　資料　秋田市例規集,,,,,,,,
　注）　国土地理院発表　電子国土基本図の地図データ更新に伴う海岸線の形状変化による,,,,,,,,
