,,,,,令和４年１０月３１日現在,
No.,施設名称,施設所在地,施設電話,許可年月日,許可番号,営業種別
55,ダイワロイネットホテル秋田,秋田市大町二丁目２－４１,018-883-0500,7/4/06,９２３,旅館・ホテル営業
56,ホテル　ドーミーイン秋田,秋田市中通二丁目３－１,018-835-6777,7/19/06,９５７,旅館・ホテル営業
57,コンフォートホテル秋田,秋田市千秋久保田町３－２３,018-825-5611,8/7/06,１０３０,旅館・ホテル営業
58,アキタパークホテル,秋田市山王四丁目５－１０,018-862-1515,10/9/07,９３９,旅館・ホテル営業
59,リッチモンドホテル秋田駅前,秋田市中通二丁目２－２６,018-884-0055,12/19/08,１２９６,旅館・ホテル営業
60,HAYAN,秋田市大町六丁目２－２１,018-865-4526,11/19/10,２１９６,旅館・ホテル営業
61,ドルフィンイマージュ,秋田市川尻総社町２番２８号,018-863-0355,11/11/10,２１３４,旅館・ホテル営業
62,ホテル　プリンセスプリンセス,秋田市大町六丁目１－１８,018-883-0034,12/8/10,２２７７,旅館・ホテル営業
63,ホテル　シグナル,秋田市大町六丁目２番２８号,018-864-8522,12/27/10,２３２３,旅館・ホテル営業
64,秋田県森林学習交流館　プラザ・クリプトン,秋田市河辺戸島字上祭沢３８－４,018-882-4811,3/3/11,１５１,旅館・ホテル営業
65,イーホテル秋田,秋田市大町二丁目２－１２,018-865-7111,3/22/12,１５９,旅館・ホテル営業
66,ホテル秋田御所野,秋田市御所野堤台一丁目３－１,,5/21/12,４５１,旅館・ホテル営業
67,アパホテル＜秋田千秋公園＞,秋田市千秋矢留町１－１,018-835-3311,3/13/13,１５９,旅館・ホテル営業
68,IKINA HOTEL,秋田市川元むつみ町１番１１号,,7/17/18,９０５,旅館・ホテル営業
69,天然温泉ホテルこまち,秋田市卸町一丁目２番３号,,5/23/19,５６９,旅館・ホテル営業
70,藤和旅館,秋田市土崎港中央二丁目３番５０号,018-845-0816,43944,２５７,旅館・ホテル営業
71,ホテルアルファイン秋田,秋田市旭北栄町１番４８号,,10/16/20,１１１８,旅館・ホテル営業
72,ホテルメトロポリタン秋田,秋田市中通七丁目２番１号,,5/14/21,３３２,旅館・ホテル営業
73,イーホテル秋田　アネックス,秋田市大町二丁目１０４,,7/9/21,６１９,旅館・ホテル営業
74,旅館　白鳥荘,秋田市千秋矢留町１０－２２,018-832-3993,2/17/22,７１,旅館・ホテル営業
75,なぎさ,秋田市下浜羽川字下野１,018-879-2488,7/28/82,１８５９,簡易宿所営業
76,民宿　なるみ荘,秋田市南通築地１０－４１,018-832-7103,2/27/85,５５８３,簡易宿所営業
77,やまかみ旅館,秋田市新屋寿町７－４２,018-863-6765,10/26/90,２３３８,簡易宿所営業
78,県営トレーニングセンター,秋田市雄和椿川字駒坂岱４－１,018-886-2822,6/27/96,１５０８,簡易宿所営業
79,秋田市雄和サイクリングターミナル,秋田市雄和椿川字奥椿岱１９４－１,018-886-3766,6/27/96,１５０９,簡易宿所営業
80,秋田市雄和コテージ,秋田市雄和神ヶ村字窪２４,,5/13/98,９４５,簡易宿所営業
81,こすもすホール,秋田市寺内字三千刈２３８－１,018-866-8666,6/28/99,６７８,簡易宿所営業
82,秋田市太平山自然学習センター,秋田市仁別字マンタラメ２２７－１,018-827-2171,8/19/03,１００７,簡易宿所営業
83,バンガロー,秋田市仁別字蛇馬目沢９８,018-827-2224,3/28/06,２３６,簡易宿所営業
84,トレーラーハウス,秋田市仁別字小水沢１３４,,7/31/07,７１９,簡易宿所営業
85,農家民宿「重松の家」,秋田市上新城小又字田中１３,018-870-2345,5/12/09,４９５,簡易宿所営業
86,秋田県中央地区老人福祉総合エリア,秋田市御所野下堤五丁目１－１,018-829-2151,11/19/13,２０２８,簡易宿所営業
87,「千代さんの家」,秋田市南通亀の町３－２６,,9/7/16,１５００,簡易宿所営業
88,白鳥の丘,秋田市雄和椿川字石坂上３２－４３,018-886-9596,12/19/16,２１１５,簡易宿所営業
89,秋田県健康増進交流センター,秋田市河辺三内字丸舞１－１,,3/29/17,２０２,簡易宿所営業
90,芙蓉寮,秋田市広面字家ノ下８４－３,018-834-3829,6/30/71,３４６０,下宿営業
91,三浦下宿屋,秋田市外旭川字神宮田１２－１,018-868-2905,12/17/76,６２３８,下宿営業
92,下宿星野,秋田市将軍野南四丁目５－２４,,4/3/80,５３２０,下宿営業
93,白鐘パンション,秋田市下北手松崎字家ノ前１８－１４,018-833-3494,2/5/85,２２５９,下宿営業
94,三浦下宿店,秋田市寺内児桜一丁目３－１６,,1/17/95,３８９１,下宿営業
95,ビジネスホテル直,秋田市土崎港相染町字中谷地１７１,018-846-1016,2/2/01,５８,下宿営業
96,宿 旭館,秋田市旭川新藤田東町１７－２５,018-832-5309,8/1/03,９６９,下宿営業
