地域コード,地域,地区,年次,総数(戸),総数(パーセント),例外規定(戸),例外規定(パーセント),0.3ha以上0.5ha未満(戸),0.3ha以上0.5ha未満(パーセント),0.5ha以上1.0ha未満(戸),0.5ha以上1.0ha未満(パーセント),1.0ha以上1.5ha未満(戸),1.0ha以上1.5ha未満(パーセント),1.5ha以上2.0ha未満(戸),1.5ha以上2.0ha未満(パーセント),2.0ha以上3.0ha未満(戸),2.0ha以上3.0ha未満(パーセント),3.0ha以上(戸),3.0ha以上(パーセント)
05212,大仙市,神岡地域,1985(昭和60),846,6.5,0 ,0.0,106 ,0.8,153 ,1.2,120 ,0.9,118 ,0.9,171,1.3,96,0.7
05212,大仙市,神岡地域,1990(平成2),763,6.2,1 ,0.1,84 ,0.7,144 ,1.2,95 ,0.8,113 ,0.9,159,1.3,105,0.9
05212,大仙市,神岡地域,1995(平成7),701,6.1,1 ,0.1,78 ,0.7,132 ,1.2,91 ,0.8,81 ,0.7,137,1.2,120,1.1
05212,大仙市,神岡地域,2000(平成12),593,6.2,0 ,0.0,62 ,0.7,128 ,1.3,73 ,0.8,80 ,0.8,134,1.4,116,1.2
05212,大仙市,神岡地域,2005(平成17),527,6.2,0 ,0.0,44 ,0.5,105 ,1.2,63 ,0.7,80 ,0.9,121,1.4,114,1.3
05212,大仙市,神岡地域,2010(平成22),446,7.0,0 ,0.0,36 ,0.6,83 ,1.3,46 ,0.7,64 ,1.0,101,1.6,116,1.8
05212,大仙市,神岡地域,2015(平成27),352,6.9,0 ,0.0,22 ,0.4,51 ,1.0,37 ,0.7,64 ,1.3,75,1.5,103,2.0
05212,大仙市,神宮寺,2015(平成27),254,5.0,0 ,0.0,19 ,0.4,36 ,0.7,24 ,0.5,44 ,0.9,53,1.0,78,1.5
05212,大仙市,北楢岡,2015(平成27),98,1.9,0 ,0.0,3 ,0.1,15 ,0.3,13 ,0.3,20 ,0.4,22,0.4,25,0.5
05212,大仙市,西仙北地域,1975(昭和50),"2,042",14.7,2 ,0.1,193 ,1.4,376 ,2.7,437 ,3.1,314 ,2.3,347,2.5,132,0.9
05212,大仙市,西仙北地域,1980(昭和55),"1,976",14.5,2 ,0.1,168 ,1.2,359 ,2.6,363 ,2.7,274 ,2.0,381,2.8,181,1.3
