市町村コード,都道府県名,市町村名,事業名,年度,収益的収入(千円),収益的支出(千円),資本的収入(千円),資本的支出(千円)
05212,秋田県,大仙市,下水道事業,2018(平成30）,"3,557,381","2,889,590","1,825,505","2,654,176"
05212,秋田県,大仙市,下水道事業,2019(令和1）,"3,494,224","2,845,836","1,586,487","2,445,075"
05212,秋田県,大仙市,下水道事業,2020(令和2）,"3,449,802","2,825,792","1,607,740","2,450,030"
