市町村コード,都道府県名,市町村名,年度,財源区分,歳入項目,決算額（千円）,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,依存財源,地方特例交付金,55407,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,依存財源,地方交付税,19072527,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,依存財源,交通安全対策特別交付金,23267,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,依存財源,国庫支出金,3444967,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,依存財源,県支出金,2748682,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2007(平成19）,依存財源,市債,5129221,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,自主財源,市税,8133796,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,自主財源,分担金・負担金,396418,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,自主財源,使用料・手数料,571263,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,自主財源,財産収入,107227,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,自主財源,寄付金（含む繰入金),984928,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,自主財源,繰越金,846638,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,自主財源,諸収入,1634141,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,地方譲与税,963618,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,利子割交付金,32293,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,配当割交付金,5911,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,株式等譲渡取得割交付金,1661,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,法人事業税交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,地方消費税交付金,833807,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,ゴルフ場利用税交付金,18872,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,自動車取得税交付金,251579,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,環境性能割交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,地方特例交付金,105721,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,地方交付税,19165376,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,交通安全対策特別交付金,20652,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,国庫支出金,4145629,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,県支出金,2645838,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2008(平成20）,依存財源,市債,4415092,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,自主財源,市税,7976008,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,自主財源,分担金・負担金,361319,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,自主財源,使用料・手数料,477753,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,自主財源,財産収入,71212,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,自主財源,寄付金（含む繰入金),193719,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,自主財源,繰越金,1021464,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,自主財源,諸収入,1507180,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,依存財源,地方譲与税,904784,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,依存財源,利子割交付金,28218,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,依存財源,配当割交付金,5219,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,依存財源,株式等譲渡取得割交付金,1948,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,依存財源,法人事業税交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,依存財源,地方消費税交付金,868275,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,依存財源,ゴルフ場利用税交付金,19247,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,依存財源,自動車取得税交付金,182093,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,依存財源,環境性能割交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,依存財源,地方特例交付金,117119,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,依存財源,地方交付税,19702780,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,依存財源,交通安全対策特別交付金,19862,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,依存財源,国庫支出金,6992113,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,依存財源,県支出金,2900913,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2009(平成21）,依存財源,市債,5144819,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,自主財源,市税,7850450,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,自主財源,分担金・負担金,357214,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,自主財源,使用料・手数料,473838,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,自主財源,財産収入,77785,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,自主財源,寄付金（含む繰入金),108388,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,自主財源,繰越金,927977,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,自主財源,諸収入,1854876,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,依存財源,地方譲与税,880949,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,依存財源,利子割交付金,23575,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,依存財源,配当割交付金,7321,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,依存財源,株式等譲渡取得割交付金,1772,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,依存財源,法人事業税交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,依存財源,地方消費税交付金,866783,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,依存財源,ゴルフ場利用税交付金,16459,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,依存財源,自動車取得税交付金,165249,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,依存財源,環境性能割交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,依存財源,地方特例交付金,145768,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,依存財源,地方交付税,21006636,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,依存財源,交通安全対策特別交付金,19171,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,依存財源,国庫支出金,7999571,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,依存財源,県支出金,2576710,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2010(平成22）,依存財源,市債,5553672,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,自主財源,市税,7816041,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,自主財源,分担金・負担金,309642,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,自主財源,使用料・手数料,494791,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,自主財源,財産収入,89127,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,自主財源,寄付金（含む繰入金),419173,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,自主財源,繰越金,972054,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,自主財源,諸収入,1949679,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,依存財源,地方譲与税,860010,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,依存財源,利子割交付金,19021,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,依存財源,配当割交付金,7329,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,依存財源,株式等譲渡取得割交付金,1404,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,依存財源,法人事業税交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,依存財源,地方消費税交付金,842609,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,依存財源,ゴルフ場利用税交付金,17011,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,依存財源,自動車取得税交付金,130768,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,依存財源,環境性能割交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,依存財源,地方特例交付金,128232,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,依存財源,地方交付税,21760397,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,依存財源,交通安全対策特別交付金,18485,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,依存財源,国庫支出金,5816266,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,依存財源,県支出金,2992943,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2011(平成23）,依存財源,市債,3638682,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,自主財源,市税,7799329,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,自主財源,分担金・負担金,296502,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,自主財源,使用料・手数料,474650,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,自主財源,財産収入,53236,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,自主財源,寄付金（含む繰入金),244060,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,自主財源,繰越金,967369,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,自主財源,諸収入,2002060,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,依存財源,地方譲与税,807943,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,依存財源,利子割交付金,17980,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,依存財源,配当割交付金,7605,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,依存財源,株式等譲渡取得割交付金,1689,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,依存財源,法人事業税交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,依存財源,地方消費税交付金,833774,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,依存財源,ゴルフ場利用税交付金,16516,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,依存財源,自動車取得税交付金,197666,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,依存財源,環境性能割交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,依存財源,地方特例交付金,26251,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,依存財源,地方交付税,21665579,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,依存財源,交通安全対策特別交付金,18071,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,依存財源,国庫支出金,4584370,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,依存財源,県支出金,2905339,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2012(平成24）,依存財源,市債,3804806,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,自主財源,市税,7922445,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,自主財源,分担金・負担金,274835,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,自主財源,使用料・手数料,487574,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,自主財源,財産収入,70516,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,自主財源,寄付金（含む繰入金),172885,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,自主財源,繰越金,854582,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,自主財源,諸収入,1916182,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,依存財源,地方譲与税,771424,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,依存財源,利子割交付金,16771,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,依存財源,配当割交付金,18465,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2013(平成25）,依存財源,株式等譲渡取得割交付金,20562,,,,,,,,,,,,,,,
