市町村コード,都道府県名,市町村名,地域,年度,申請件数総数（件）,申請件数（5人槽）（件）,申請件数（6～7人槽）（件）,申請件数（8～10人槽）（件）,補助金決定額総額（千円）,補助金決定額（5人槽）（千円）,補助金決定額（6～7人槽）（千円）,補助金決定額（8～10人槽）（千円）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2020(令和2）,56,40,16,0,"24,237","16,086","8,151",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2005(平成17),9,4,5,0,"5,533","2,248","3,285",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2006(平成18）,13,4,9,0,"8,161","2,248","5,913",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2007(平成19）,13,4,8,1,"6,476","1,692","4,112",672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2008(平成20）,4,2,1,1,"2,022",822,514,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2009(平成21）,4,2,2,0,"1,850",822,"1,028",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2010(平成22）,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2011(平成23）,3,1,2,0,"1,439",411,"1,028",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2012(平成24）,3,1,2,0,"1,439",411,"1,028",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2013(平成25）,5,3,1,1,"2,433","1,233",514,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
