市町村コード,都道府県名,市町村名,地域,年度,件数(件),死者(人),傷者(人),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2016(平成28),80 ,2,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2017(平成29),74 ,3,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2005(平成17),39 ,4,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2006(平成18),35 ,2,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2007(平成19),26 ,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2008(平成20),31 ,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2009(平成21),19 ,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2010(平成22),15 ,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2011(平成23),25 ,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2012(平成24),26 ,0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2013(平成25),14 ,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2014(平成26),18 ,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2015(平成27),12 ,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2016(平成28),7 ,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,神岡地域,2017(平成29),13 ,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2005(平成17),24 ,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2006(平成18),23 ,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2007(平成19),15 ,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2008(平成20),25 ,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2009(平成21),18 ,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2010(平成22),11 ,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2011(平成23),15 ,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2012(平成24),21 ,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2013(平成25),12 ,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2014(平成26),12 ,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2015(平成27),8 ,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2016(平成28),8 ,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,西仙北地域,2017(平成29),2 ,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2005(平成17),45 ,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2006(平成18),34 ,1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2007(平成19),45 ,0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2008(平成20),34 ,1,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2009(平成21),38 ,3,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2010(平成22),21 ,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2011(平成23),31 ,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2012(平成24),26 ,3,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2013(平成25),25 ,1,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2014(平成26),26 ,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2015(平成27),29 ,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2016(平成28),16 ,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2017(平成29),11 ,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2005(平成17),55 ,6,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2006(平成18),37 ,1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2007(平成19),38 ,1,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2008(平成20),29 ,2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2009(平成21),30 ,2,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2010(平成22),31 ,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2011(平成23),27 ,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2012(平成24),30 ,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2013(平成25),25 ,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2014(平成26),29 ,1,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2015(平成27),12 ,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
