市町村コード,都道府県名,市町村名,年度,地域,総評価額(%),田(%),畑(%),宅地(%),池沼(%),山林(%),原野(%),雑種地・その他(%)
052124,秋田県,大仙市,2020(令和2）,神岡地域,100,15.2,0.5,79.5,0,0.8,0.2,3.8
052124,秋田県,大仙市,2021(令和3）,神岡地域,100,15.7,0.6,79.1,0,0.8,0.2,3.6
052124,秋田県,大仙市,2022(令和4）,神岡地域,100,15.7,0.6,78.9,0,0.8,0.2,3.8
052124,秋田県,大仙市,2005(平成17),西仙北地域,100,14.6,0.9,74.9,0,8.1,0.3,1.1
052124,秋田県,大仙市,2006(平成18）,西仙北地域,100,14.7,0.9,73.1,0,8.3,0.4,2.6
052124,秋田県,大仙市,2007(平成19）,西仙北地域,100,14.9,0.9,72.8,0,8.4,0.4,2.6
052124,秋田県,大仙市,2008(平成20）,西仙北地域,100,15.1,0.9,72.5,0,8.5,0.4,2.6
052124,秋田県,大仙市,2009(平成21）,西仙北地域,100,15.6,0.9,71.8,0,8.8,0.4,2.5
052124,秋田県,大仙市,2010(平成22）,西仙北地域,100,15.8,0.9,71.5,0,8.9,0.4,2.5
052124,秋田県,大仙市,2011(平成23）,西仙北地域,100,16,0.9,71.1,0,9,0.4,2.5
052124,秋田県,大仙市,2012(平成24）,西仙北地域,100,16.8,1,69.8,0,9.7,0.4,2.4
052124,秋田県,大仙市,2013(平成25）,西仙北地域,100,17.1,1,69.3,0,9.8,0.4,2.4
052124,秋田県,大仙市,2014(平成26）,西仙北地域,100,17.4,1,68.8,0,10,0.4,2.4
052124,秋田県,大仙市,2015(平成27）,西仙北地域,100,18.6,1.1,66.7,0,10.9,0.5,2.2
052124,秋田県,大仙市,2016(平成28）,西仙北地域,100,19,1.1,66.1,0,11.1,0.5,2.3
052124,秋田県,大仙市,2017(平成29）,西仙北地域,100,19.3,1.1,65.5,0,11.2,0.5,2.4
052124,秋田県,大仙市,2018(平成30）,西仙北地域,100,20.3,1.2,64,0,11.8,0.5,2.2
052124,秋田県,大仙市,2019(令和1）,西仙北地域,100,20.5,1.2,63.6,0,11.9,0.5,2.3
052124,秋田県,大仙市,2020(令和2）,西仙北地域,100,20.6,1.2,63.4,0,12,0.5,2.3
052124,秋田県,大仙市,2021(令和3）,西仙北地域,100,21.4,1.2,62.5,0,12,0.5,2.4
052124,秋田県,大仙市,2022(令和4）,西仙北地域,100,21.4,1.2,62.4,0,12,0.5,2.5
052124,秋田県,大仙市,2005(平成17),中仙地域,100,17.4,0.4,80.8,0,0.6,0.6,0.3
052124,秋田県,大仙市,2006(平成18）,中仙地域,100,17.5,0.4,79.2,0,0.6,0.6,1.7
052124,秋田県,大仙市,2007(平成19）,中仙地域,100,17.5,0.4,79.1,0,0.6,0.6,1.8
052124,秋田県,大仙市,2008(平成20）,中仙地域,100,17.5,0.4,79.1,0,0.6,0.6,1.8
052124,秋田県,大仙市,2009(平成21）,中仙地域,100,19.2,0.4,77.2,0,0.6,0.6,1.9
052124,秋田県,大仙市,2010(平成22）,中仙地域,100,19.4,0.4,76.8,0,0.6,0.6,2
052124,秋田県,大仙市,2011(平成23）,中仙地域,100,19.7,0.4,76.6,0,0.7,0.6,1.9
052124,秋田県,大仙市,2012(平成24）,中仙地域,100,21,0.4,75.2,0,0.7,0.7,1.9
052124,秋田県,大仙市,2013(平成25）,中仙地域,100,21.1,0.4,74.8,0,0.7,0.7,2.2
052124,秋田県,大仙市,2014(平成26）,中仙地域,100,21.6,0.4,74.5,0,0.7,0.7,2.1
052124,秋田県,大仙市,2015(平成27）,中仙地域,100,23,0.5,73,0,0.8,0.7,2
052124,秋田県,大仙市,2016(平成28）,中仙地域,100,23.3,0.5,72.7,0,0.8,0.7,2.1
052124,秋田県,大仙市,2017(平成29）,中仙地域,100,23.3,0.5,72.7,0,0.8,0.8,1.9
052124,秋田県,大仙市,2018(平成30）,中仙地域,100,24.4,0.5,71.5,0,0.8,0.8,2
052124,秋田県,大仙市,2019(令和1）,中仙地域,100,24.5,0.5,71.3,0,0.8,0.8,2.1
052124,秋田県,大仙市,2020(令和2）,中仙地域,100,24.6,0.5,71.2,0,0.8,0.8,2.1
052124,秋田県,大仙市,2021(令和3）,中仙地域,100,25.8,0.5,69.9,0,0.9,0.8,2.1
052124,秋田県,大仙市,2022(令和4）,中仙地域,100,25.8,0.5,69.9,0,0.9,0.8,2.1
052124,秋田県,大仙市,2005(平成17),協和地域,100,10.3,0.9,76.1,0,5.6,0.5,6.7
052124,秋田県,大仙市,2006(平成18）,協和地域,100,9.9,0.9,74.2,0,5.6,0.4,9
052124,秋田県,大仙市,2007(平成19）,協和地域,100,9.8,0.9,74.1,0,5.7,0.4,9.1
052124,秋田県,大仙市,2008(平成20）,協和地域,100,9.8,0.9,73.8,0,5.9,0.4,9.2
052124,秋田県,大仙市,2009(平成21）,協和地域,100,10.1,0.9,70.1,0,6,0.4,12.4
052124,秋田県,大仙市,2010(平成22）,協和地域,100,10.5,0.9,70.3,0,6.5,0.5,11.2
052124,秋田県,大仙市,2011(平成23）,協和地域,100,10.9,1,69.2,0,6.9,0.5,11.6
052124,秋田県,大仙市,2012(平成24）,協和地域,100,11.5,1,68.5,0,7.3,0.5,11.2
052124,秋田県,大仙市,2013(平成25）,協和地域,100,11.8,1.1,67.4,0,7.7,0.5,11.6
052124,秋田県,大仙市,2014(平成26）,協和地域,100,12.4,1.1,67.2,0,8.2,0.6,10.5
052124,秋田県,大仙市,2015(平成27）,協和地域,100,13.3,1.2,65.6,0,8.7,0.6,10.7
052124,秋田県,大仙市,2016(平成28）,協和地域,100,13.7,1.2,64.6,0,9,0.6,11
052124,秋田県,大仙市,2017(平成29）,協和地域,100,13.8,1.2,63.9,0,9.3,0.6,11.2
052124,秋田県,大仙市,2018(平成30）,協和地域,100,14.1,1.2,61.7,0,9.6,0.6,12.8
052124,秋田県,大仙市,2019(令和1）,協和地域,100,14.1,1.2,61.4,0,9.9,0.6,12.8
052124,秋田県,大仙市,2020(令和2）,協和地域,100,14.1,1.2,61.2,0,10.1,0.6,12.8
052124,秋田県,大仙市,2021(令和3）,協和地域,100,14.6,1.3,59.1,0,10.6,0.6,13.8
052124,秋田県,大仙市,2022(令和4）,協和地域,100,14.7,1.3,58.9,0,10.8,0.6,13.7
052124,秋田県,大仙市,2005(平成17),南外地域,100,17.1,1.1,65.5,0,15.9,0.3,0.1
052124,秋田県,大仙市,2006(平成18）,南外地域,100,17.2,1.1,64.5,0,16.1,0.4,0.7
052124,秋田県,大仙市,2007(平成19）,南外地域,100,17.3,1.1,64.2,0,16.2,0.4,0.8
052124,秋田県,大仙市,2008(平成20）,南外地域,100,17.7,1.1,63.7,0,16.3,0.4,0.8
052124,秋田県,大仙市,2009(平成21）,南外地域,100,18.4,1.1,62.5,0,16.7,0.4,0.9
052124,秋田県,大仙市,2010(平成22）,南外地域,100,18.6,1.1,62.1,0,16.9,0.4,0.9
052124,秋田県,大仙市,2011(平成23）,南外地域,100,18.8,1.1,61.6,0,17.1,0.4,0.9
052124,秋田県,大仙市,2012(平成24）,南外地域,100,19.5,1.1,60.4,0,17.7,0.4,0.9
052124,秋田県,大仙市,2013(平成25）,南外地域,100,19.8,1.2,59.8,0,17.8,0.4,0.9
052124,秋田県,大仙市,2014(平成26）,南外地域,100,20.1,1.2,59.3,0,18.1,0.4,1
052124,秋田県,大仙市,2015(平成27）,南外地域,100,20.9,1.2,57.5,0,18.9,0.5,1
052124,秋田県,大仙市,2016(平成28）,南外地域,100,20.9,1.2,57.5,0,19,0.5,1
052124,秋田県,大仙市,2017(平成29）,南外地域,100,20.9,1.2,57.5,0,18.9,0.5,1
052124,秋田県,大仙市,2018(平成30）,南外地域,100,21.8,1.2,54.5,0,19.8,0.5,2.2
052124,秋田県,大仙市,2019(令和1）,南外地域,100,21.5,1.2,56.4,0,19.1,0.5,1.3
052124,秋田県,大仙市,2020(令和2）,南外地域,100,21.3,1.2,56.7,0,18.9,0.4,1.5
052124,秋田県,大仙市,2021(令和3）,南外地域,100,22.4,1.3,54.6,0,19.9,0.5,1.3
052124,秋田県,大仙市,2022(令和4）,南外地域,100,22.4,1.3,54.6,0,19.9,0.5,1.3
052124,秋田県,大仙市,2005(平成17),仙北地域,100,14.4,0.1,82.1,0,0,0,3.5
052124,秋田県,大仙市,2006(平成18）,仙北地域,100,14.5,0.1,81.3,0,0,0,4.1
052124,秋田県,大仙市,2007(平成19）,仙北地域,100,14.4,0.1,80.1,0,0,0,5.4
052124,秋田県,大仙市,2008(平成20）,仙北地域,100,14.5,0.1,80.1,0,0,0,5.3
052124,秋田県,大仙市,2009(平成21）,仙北地域,100,15.1,0.1,79.1,0,0,0,5.8
052124,秋田県,大仙市,2010(平成22）,仙北地域,100,15.3,0.1,79,0,0,0,5.6
052124,秋田県,大仙市,2011(平成23）,仙北地域,100,15.5,0.1,78.9,0,0,0,5.5
052124,秋田県,大仙市,2012(平成24）,仙北地域,100,16.4,0.1,77.9,0,0,0,5.6
052124,秋田県,大仙市,2013(平成25）,仙北地域,100,16.6,0.1,77.7,0,0,0,5.5
052124,秋田県,大仙市,2014(平成26）,仙北地域,100,16.9,0.1,77.6,0,0,0,5.4
052124,秋田県,大仙市,2015(平成27）,仙北地域,100,17.8,0.1,76.5,0,0,0,5.5
052124,秋田県,大仙市,2016(平成28）,仙北地域,100,18.2,0.1,76.2,0,0,0,5.4
052124,秋田県,大仙市,2017(平成29）,仙北地域,100,18.6,0.1,75.9,0,0,0,5.4
052124,秋田県,大仙市,2018(平成30）,仙北地域,100,19.5,0.1,75,0,0,0,5.4
052124,秋田県,大仙市,2019(令和1）,仙北地域,100,19.6,0.1,74.9,0,0,0,5.4
052124,秋田県,大仙市,2020(令和2）,仙北地域,100,19.8,0.1,74.8,0,0,0,5.3
052124,秋田県,大仙市,2021(令和3）,仙北地域,100,20.6,0.1,74,0,0,0,5.3
052124,秋田県,大仙市,2022(令和4）,仙北地域,100,20.7,0.1,73.9,0,0,0,5.3
052124,秋田県,大仙市,2005(平成17),太田地域,100,23.7,0.3,74.4,0,0.5,0.1,1.1
052124,秋田県,大仙市,2006(平成18）,太田地域,100,23.9,0.3,73.7,0,0.5,0.2,1.4
052124,秋田県,大仙市,2007(平成19）,太田地域,100,24,0.3,73.6,0,0.5,0.2,1.4
052124,秋田県,大仙市,2008(平成20）,太田地域,100,23.9,0.3,73.6,0,0.5,0.1,1.6
052124,秋田県,大仙市,2009(平成21）,太田地域,100,25.3,0.3,72,0,0.5,0.2,1.8
052124,秋田県,大仙市,2010(平成22）,太田地域,100,25.6,0.3,71.7,0,0.5,0.2,1.8
052124,秋田県,大仙市,2011(平成23）,太田地域,100,25.7,0.3,71.5,0,0.5,0.1,1.8
052124,秋田県,大仙市,2012(平成24）,太田地域,100,27.3,0.3,69.8,0,0.6,0.2,1.9
052124,秋田県,大仙市,2013(平成25）,太田地域,100,27.4,0.3,69.7,0,0.6,0.2,1.9
052124,秋田県,大仙市,2014(平成26）,太田地域,100,27.5,0.3,69.7,0,0.6,0.2,1.9
052124,秋田県,大仙市,2015(平成27）,太田地域,100,29.1,0.3,68,0,0.6,0.2,1.9
052124,秋田県,大仙市,2016(平成28）,太田地域,100,29.2,0.3,67.8,0,0.6,0.2,1.9
052124,秋田県,大仙市,2017(平成29）,太田地域,100,29.3,0.3,67.7,0,0.6,0.2,1.9
052124,秋田県,大仙市,2018(平成30）,太田地域,100,31,0.3,66.1,0,0.6,0.2,1.8
052124,秋田県,大仙市,2019(令和1）,太田地域,100,30.8,0.3,66.1,0,0.6,0.2,2
052124,秋田県,大仙市,2020(令和2）,太田地域,100,30.8,0.3,66.1,0,0.6,0.2,2
052124,秋田県,大仙市,2021(令和3）,太田地域,100,32.7,0.3,64.2,0,0.6,0.2,2
052124,秋田県,大仙市,2022(令和4）,太田地域,100,32.4,0.3,64.4,0,0.6,0.2,2.1
