地域コード,地域,地区,年次,農家数(戸),農家数構成比(パーセント),販売なし(戸),販売なし構成比(パーセント),50万円未満(戸),50万円未満(パーセント),50以上100未満(戸),50以上100未満(パーセント),100以上200未満(戸),100以上200未満(パーセント),200以上300未満(戸),200以上300未満(パーセント),300以上500未満(戸),300以上500未満(パーセント),500以上700未満(戸),500以上700未満(パーセント),"700以上1,000未満(戸)","700以上1,000未満(パーセント)","1,000以上1,500未満(戸)","1,000以上1,500未満(パーセント)","1,500以上2,000未満(戸)","1,500以上2,000未満(パーセント)","2,000以上3,000未満(戸)","2,000以上3,000未満(パーセント)","3,000万円以上(戸)","3,000万円以上(パーセント)"
05212,大仙市,南外地域,2015(平成27),377,7.4,20,0.4,97,1.9,107,2.1,88,1.7,33,0.6,18,0.4,6,0.1,2,0.0,4,0.1,1,0.0,1.0,0.0,0,0.0
05212,大仙市,仙北地域,2000(平成12),"1,022",10.7,25,0.3,157,1.6,193,2.0,226,2.4,183,1.9,164,1.7,45,0.5,19,0.2,7,0.1,1,0.0,2.0,0.0,0,0.0
05212,大仙市,仙北地域,2005(平成17),858,10.1,26,0.3,126,1.5,165,1.9,220,2.6,128,1.5,117,1.4,46,0.5,15,0.2,13,0.2,1,0.0,1.0,0.0,0,0.0
05212,大仙市,仙北地域,2010(平成22),660,10.4,5,0.1,101,1.6,134,2.1,150,2.4,109,1.7,82,1.3,43,0.7,19,0.3,12,0.2,3,0.0,1.0,0.0,1,0.0
05212,大仙市,仙北地域,2015(平成27),541,10.6,1,0.0,93,1.8,109,2.1,131,2.6,71,1.4,73,1.4,33,0.6,16,0.3,11,0.2,2,0.0,0.0,0.0,1,0.0
05212,大仙市,太田地域,2000(平成12),"1,036",10.9,27,0.3,117,1.2,178,1.9,229,2.4,158,1.7,172,1.8,87,0.9,50,0.5,13,0.1,3,0.0,2.0,0.0,0,0.0
05212,大仙市,太田地域,2005(平成17),907,10.7,23,0.3,109,1.3,152,1.8,207,2.4,144,1.7,147,1.7,62,0.7,41,0.5,18,0.2,2,0.0,2.0,0.0,0,0.0
05212,大仙市,太田地域,2010(平成22),748,11.8,19,0.3,101,1.6,103,1.6,162,2.6,108,1.7,126,2.0,56,0.9,45,0.7,19,0.3,4,0.1,4.0,0.1,1,0.0
05212,大仙市,太田地域,2015(平成27),628,12.3,30,0.6,106,2.1,85,1.7,137,2.7,88,1.7,87,1.7,42,0.8,29,0.6,17,0.3,5,0.1,0.0,0.0,2,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
