地域コード,市町村,地域,年次,事業所数(所),従業者数(人),製造品出荷額等(万円),現金給与総額(万円),原材料使用額等(万円)
052124,大仙市,神岡地域,1992年(平成4),31,804,"758,563","192,251","393,217"
052124,大仙市,神岡地域,1993年(平成5),33,831,"877,661","204,407","400,361"
052124,大仙市,神岡地域,1994年(平成6),31,800,"874,850","216,497","379,774"
052124,大仙市,神岡地域,1995年(平成7),29,776,"824,941","203,046","336,439"
052124,大仙市,神岡地域,1996年(平成8),30,810,"869,715","213,865","384,028"
052124,大仙市,神岡地域,1997年(平成9）,31,842,"1,135,981","228,967","449,461"
052124,大仙市,神岡地域,1998年(平成10),30,792,"1,081,330","222,095","434,453"
052124,大仙市,神岡地域,1999年(平成11),29,771,"1,054,066","214,016","443,792"
052124,大仙市,神岡地域,2000年(平成12),27,751,"1,041,900","207,873","416,888"
052124,大仙市,神岡地域,2001年(平成13),28,679,"843,106","199,513","392,978"
052124,大仙市,神岡地域,2002年(平成14),26,656,"1,045,150","182,416","577,554"
052124,大仙市,神岡地域,2003年(平成15),28,649,"964,323","172,347","531,330"
052124,大仙市,神岡地域,2004年(平成16),26,618,"896,604","159,889","493,249"
052124,大仙市,神岡地域,2005年(平成17),23,517,"799,862","142,290","440,242"
052124,大仙市,神岡地域,2006年(平成18),22,528,"945,022","138,485","604,371"
052124,大仙市,神岡地域,2007年(平成19),23,532,"1,032,579","144,784","644,852"
052124,大仙市,神岡地域,2008年(平成20),24,505,"997,502","140,954","644,460"
052124,大仙市,神岡地域,2009年(平成21),24,475,"887,005","135,020","588,356"
052124,大仙市,神岡地域,2010年(平成22),24,502,"909,622","132,823","577,997"
052124,大仙市,神岡地域,2011年(平成23),,,,,
052124,大仙市,神岡地域,2012年(平成24),24,477,"979,494","118,171","671,213"
052124,大仙市,神岡地域,2013年(平成25),22,446,"962,536","139,185","649,974"
052124,大仙市,神岡地域,2014年(平成26),24,473,"1,075,089","131,661","723,590"
052124,大仙市,西仙北地域,1991年(平成3),40,"1,160","679,303","237,616","302,626"
052124,大仙市,西仙北地域,1992年(平成4),40,"1,130","657,637","231,126","272,805"
052124,大仙市,西仙北地域,1993年(平成5),40,"1,024","625,978","218,536","253,503"
052124,大仙市,西仙北地域,1994年(平成6),40,991,"616,113","210,768","261,574"
052124,大仙市,西仙北地域,1995年(平成7),37,961,"700,024","223,288","312,507"
052124,大仙市,西仙北地域,1996年(平成8),33,868,"709,756","214,502","302,727"
052124,大仙市,西仙北地域,1997年(平成9）,35,914,"822,287","227,369","357,954"
052124,大仙市,西仙北地域,1998年(平成10),32,832,"664,694","209,304","281,186"
052124,大仙市,西仙北地域,1999年(平成11),32,823,"660,331","266,386","195,837"
052124,大仙市,西仙北地域,2000年(平成12),29,789,"686,555","197,217","273,983"
052124,大仙市,西仙北地域,2001年(平成13),24,697,"574,514","173,859","241,783"
052124,大仙市,西仙北地域,2002年(平成14),21,700,"540,392","164,993","245,147"
052124,大仙市,西仙北地域,2003年(平成15),21,662,"593,185","162,689","263,475"
052124,大仙市,西仙北地域,2004年(平成16),20,702,"658,475","174,109","324,538"
052124,大仙市,西仙北地域,2005年(平成17),20,680,"731,842","183,328","380,617"
