市町村コード,都道府県名,市町村名,地域,年,1月（人）,2月（人）,3月（人）,4月（人）,5月（人）,6月（人）,7月（人）,8月（人）,9月（人）,10月（人）,11月（人）,12月（人）,計（人）
05212,秋田県,大仙市,神岡地域,2005（平成17）,24,20,22,24,30,28,29,33,36,30,25,22,330
05212,秋田県,大仙市,神岡地域,2006（平成18）,26,21,21,25,32,30,27,33,40,30,25,20,334
05212,秋田県,大仙市,神岡地域,2007（平成19）,23,21,24,25,30,28,27,32,38,26,22,19,321
05212,秋田県,大仙市,神岡地域,2008（平成20）,20,20,22,23,28,28,25,32,40,26,24,18,306
05212,秋田県,大仙市,神岡地域,2009（平成21）,21,19,23,22,28,27,24,30,36,27,21,16,294
05212,秋田県,大仙市,神岡地域,2010（平成22）,19,18,20,21,28,23,22,28,34,24,21,16,274
05212,秋田県,大仙市,神岡地域,2011（平成23）,16,17,13,18,25,22,23,27,34,26,21,16,258
05212,秋田県,大仙市,神岡地域,2012（平成24）,17,17,20,21,25,22,21,24,34,29,17,12,259
05212,秋田県,大仙市,神岡地域,2013（平成25）,13,14,37,20,24,19,17,24,46,23,17,13,267
05212,秋田県,大仙市,神岡地域,2014（平成26）,13,14,18,19,24,19,19,26,50,24,17,11,254
05212,秋田県,大仙市,神岡地域,2015（平成27）,12,14,37,19,22,19,18,24,49,22,16,13,270
05212,秋田県,大仙市,神岡地域,2016（平成28）,14,31,18,19,24,21,20,22,32,24,33,16,274
05212,秋田県,大仙市,神岡地域,2017（平成29）,16,14,18,18,23,21,17,22,32,21,27,15,249
05212,秋田県,大仙市,神岡地域,2018（平成30）,15,14,17,18,24,25,19,24,38,21,18,26,265
05212,秋田県,大仙市,神岡地域,2019（平成31）,15,15,17,20,23,21,21,24,38,21,19,17,256
05212,秋田県,大仙市,神岡地域,2020（令和2）,16,15,14,8,9,17,18,18,19,20,17,14,193
05212,秋田県,大仙市,西仙北地域,2005（平成17）,12,17,14,12,14,13,13,19,12,13,10,7,160
05212,秋田県,大仙市,西仙北地域,2006（平成18）,9,13,13,11,10,11,12,19,12,13,11,9,149
05212,秋田県,大仙市,西仙北地域,2007（平成19）,11,15,10,12,11,10,10,17,10,10,8,8,139
05212,秋田県,大仙市,西仙北地域,2008（平成20）,8,15,10,10,12,10,10,17,9,9,9,9,128
05212,秋田県,大仙市,西仙北地域,2009（平成21）,10,14,6,13,11,11,10,19,11,9,10,9,133
05212,秋田県,大仙市,西仙北地域,2010（平成22）,10,14,10,12,10,9,10,14,10,10,11,10,130
05212,秋田県,大仙市,西仙北地域,2011（平成23）,9,16,5,6,9,8,9,14,10,10,9,8,113
05212,秋田県,大仙市,西仙北地域,2012（平成24）,10,15,8,8,10,10,11,19,10,9,9,9,128
05212,秋田県,大仙市,西仙北地域,2013（平成25）,9,16,8,11,10,10,10,18,10,8,9,9,128
05212,秋田県,大仙市,西仙北地域,2014（平成26）,9,16,8,10,9,8,9,18,9,7,8,8,119
05212,秋田県,大仙市,西仙北地域,2015（平成27）,8,15,8,10,9,8,8,16,9,8,9,7,119
05212,秋田県,大仙市,西仙北地域,2016（平成28）,9,16,7,10,8,7,9,16,9,9,7,7,114
05212,秋田県,大仙市,西仙北地域,2017（平成29）,7,14,7,9,7,7,8,14,8,7,6,6,105
05212,秋田県,大仙市,西仙北地域,2018（平成30）,7,13,7,8,8,6,10,15,11,6,5,6,108
05212,秋田県,大仙市,西仙北地域,2019（平成31）,6,15,7,8,8,6,6,14,7,6,7,6,101
05212,秋田県,大仙市,西仙北地域,2020（令和2）,7,14,5,3,3,4,5,7,8,8,8,8,86
05212,秋田県,大仙市,中仙地域,2005（平成17）,9,10,11,36,55,19,21,92,31,50,15,10,363
05212,秋田県,大仙市,中仙地域,2006（平成18）,9,7,10,37,52,18,21,84,29,54,15,11,350
05212,秋田県,大仙市,中仙地域,2007（平成19）,10,8,10,43,44,28,18,66,30,61,14,10,348
05212,秋田県,大仙市,中仙地域,2008（平成20）,9,10,11,41,30,17,18,97,28,58,15,11,345
05212,秋田県,大仙市,中仙地域,2009（平成21）,9,10,10,28,26,18,18,90,25,49,14,9,306
05212,秋田県,大仙市,中仙地域,2010（平成22）,8,8,10,20,39,18,20,81,29,50,15,10,308
05212,秋田県,大仙市,中仙地域,2011（平成23）,7,9,9,15,31,18,20,80,29,35,17,10,280
05212,秋田県,大仙市,中仙地域,2012（平成24）,8,9,12,18,32,18,18,60,30,29,17,9,260
05212,秋田県,大仙市,中仙地域,2013（平成25）,8,9,12,20,39,22,19,75,35,29,20,10,298
05212,秋田県,大仙市,中仙地域,2014（平成26）,9,9,11,31,27,20,18,74,36,31,16,9,291
05212,秋田県,大仙市,中仙地域,2015（平成27）,9,9,11,26,27,20,19,75,37,33,16,10,298
05212,秋田県,大仙市,中仙地域,2016（平成28）,10,11,12,41,30,21,19,77,35,37,15,10,318
05212,秋田県,大仙市,中仙地域,2017（平成29）,9,8,11,40,33,17,18,77,29,33,13,9,302
05212,秋田県,大仙市,中仙地域,2018（平成30）,10,9,12,38,31,17,18,61,29,34,15,9,288
05212,秋田県,大仙市,中仙地域,2019（平成31）,8,9,11,41,34,21,18,28,29,21,15,10,250
05212,秋田県,大仙市,中仙地域,2020（令和2）,10,10,9,6,6,12,15,18,18,20,15,10,157
05212,秋田県,大仙市,協和地域,2005（平成17）,20,45,47,53,90,57,70,86,62,69,48,28,680
05212,秋田県,大仙市,協和地域,2006（平成18）,24,24,21,27,43,33,43,44,35,41,29,15,384
05212,秋田県,大仙市,協和地域,2007（平成19）,19,20,18,30,37,32,39,42,35,42,26,14,361
05212,秋田県,大仙市,協和地域,2008（平成20）,24,25,21,32,37,30,38,38,34,42,27,16,364
05212,秋田県,大仙市,協和地域,2009（平成21）,26,23,20,29,36,29,36,40,37,45,30,18,369
05212,秋田県,大仙市,協和地域,2010（平成22）,34,32,23,30,47,33,40,42,36,42,28,16,403
05212,秋田県,大仙市,協和地域,2011（平成23）,31,29,15,22,40,30,41,39,33,42,29,18,369
05212,秋田県,大仙市,協和地域,2012（平成24）,35,28,20,25,40,31,36,40,33,36,25,18,367
05212,秋田県,大仙市,協和地域,2013（平成25）,33,28,20,25,44,34,35,38,34,39,31,19,380
05212,秋田県,大仙市,協和地域,2014（平成26）,39,29,25,32,43,33,40,41,38,41,28,19,408
05212,秋田県,大仙市,協和地域,2015（平成27）,38,29,24,33,43,33,40,40,39,40,26,15,405
05212,秋田県,大仙市,協和地域,2016（平成28）,34,28,24,35,42,32,42,38,36,41,26,14,392
05212,秋田県,大仙市,協和地域,2017（平成29）,30,24,23,31,41,30,39,37,34,37,24,15,371
05212,秋田県,大仙市,協和地域,2018（平成30）,25,22,18,27,30,27,35,33,31,36,25,22,336
05212,秋田県,大仙市,協和地域,2019（平成31）,30,28,22,33,38,33,41,40,37,38,28,17,392
05212,秋田県,大仙市,協和地域,2020（令和2）,14,14,16,13,16,23,27,32,32,36,27,14,269
05212,秋田県,大仙市,南外地域,2005（平成17）,2,1,2,2,2,2,2,2,2,2,2,2,26
05212,秋田県,大仙市,南外地域,2006（平成18）,2,2,3,3,3,2,3,3,2,2,2,2,35
05212,秋田県,大仙市,南外地域,2007（平成19）,2,3,3,3,4,4,3,3,2,3,3,2,41
05212,秋田県,大仙市,南外地域,2008（平成20）,3,3,3,3,3,4,3,3,3,3,3,3,37
05212,秋田県,大仙市,南外地域,2009（平成21）,4,3,4,3,4,4,3,3,3,3,3,3,40
05212,秋田県,大仙市,南外地域,2010（平成22）,3,3,4,3,4,4,3,3,3,3,3,3,39
05212,秋田県,大仙市,南外地域,2011（平成23）,3,3,4,3,4,3,3,3,3,3,3,3,38
05212,秋田県,大仙市,南外地域,2012（平成24）,3,3,4,3,4,3,3,4,3,3,3,3,39
05212,秋田県,大仙市,南外地域,2013（平成25）,4,3,4,3,4,4,3,4,3,3,3,3,41
05212,秋田県,大仙市,南外地域,2014（平成26）,3,3,4,3,4,4,3,4,3,4,3,3,41
05212,秋田県,大仙市,南外地域,2015（平成27）,3,3,3,3,3,5,3,3,2,3,3,3,41
05212,秋田県,大仙市,南外地域,2016（平成28）,3,4,4,3,3,6,3,3,3,3,3,3,41
05212,秋田県,大仙市,南外地域,2017（平成29）,3,3,3,3,3,4,2,3,2,3,3,3,39
05212,秋田県,大仙市,南外地域,2018（平成30）,3,2,4,3,3,5,2,3,3,2,2,2,39
05212,秋田県,大仙市,南外地域,2019（平成31）,3,2,3,3,3,6,2,3,2,4,4,4,43
05212,秋田県,大仙市,南外地域,2020（令和2）,4,4,4,2,2,3,3,3,3,4,4,3,44
05212,秋田県,大仙市,仙北地域,2005（平成17）,11,7,9,9,11,12,9,21,11,13,17,10,145
05212,秋田県,大仙市,仙北地域,2006（平成18）,11,10,9,8,11,13,10,19,10,11,16,8,140
05212,秋田県,大仙市,仙北地域,2007（平成19）,8,2,3,10,15,10,11,19,13,13,14,8,132
05212,秋田県,大仙市,仙北地域,2008（平成20）,12,9,9,9,9,13,9,13,11,10,14,8,126
05212,秋田県,大仙市,仙北地域,2009（平成21）,11,8,8,8,10,11,9,14,9,9,15,7,119
05212,秋田県,大仙市,仙北地域,2010（平成22）,10,8,8,7,9,10,8,12,8,9,14,8,111
05212,秋田県,大仙市,仙北地域,2011（平成23）,8,7,5,6,8,13,10,10,6,8,22,7,110
05212,秋田県,大仙市,仙北地域,2012（平成24）,8,7,7,8,9,18,7,16,8,15,19,9,131
05212,秋田県,大仙市,仙北地域,2013（平成25）,8,10,10,9,13,15,12,17,9,15,18,8,144
05212,秋田県,大仙市,仙北地域,2014（平成26）,10,10,9,9,12,13,12,15,9,25,18,10,152
05212,秋田県,大仙市,仙北地域,2015（平成27）,11,10,10,9,13,13,14,21,11,17,18,10,161
05212,秋田県,大仙市,仙北地域,2016（平成28）,12,12,12,11,12,14,13,17,11,19,16,11,160
05212,秋田県,大仙市,仙北地域,2017（平成29）,10,9,9,11,12,11,14,21,10,19,14,9,157
05212,秋田県,大仙市,仙北地域,2018（平成30）,8,8,11,11,13,14,14,25,11,15,19,10,165
05212,秋田県,大仙市,仙北地域,2019（平成31）,10,10,13,11,14,14,13,20,12,16,16,10,164
05212,秋田県,大仙市,仙北地域,2020（令和2）,11,10,9,5,4,8,9,8,9,10,13,8,111
05212,秋田県,大仙市,太田地域,2005（平成17）,30,25,16,13,19,22,26,19,23,29,20,21,269
05212,秋田県,大仙市,太田地域,2006（平成18）,32,27,18,12,21,25,25,23,26,33,24,18,289
05212,秋田県,大仙市,太田地域,2007（平成19）,33,26,17,19,21,36,25,21,26,29,17,13,289
05212,秋田県,大仙市,太田地域,2008（平成20）,39,28,18,13,14,22,24,22,22,26,19,14,261
05212,秋田県,大仙市,太田地域,2009（平成21）,34,25,26,19,23,22,24,23,24,28,18,14,280
05212,秋田県,大仙市,太田地域,2010（平成22）,28,24,18,17,22,21,24,21,21,26,17,15,254
05212,秋田県,大仙市,太田地域,2011（平成23）,27,21,15,14,20,22,24,22,21,28,18,14,246
05212,秋田県,大仙市,太田地域,2012（平成24）,29,20,18,16,21,20,21,21,23,27,16,15,247
05212,秋田県,大仙市,太田地域,2013（平成25）,26,22,18,16,32,21,21,23,23,27,17,16,262
05212,秋田県,大仙市,太田地域,2014（平成26）,26,24,18,16,22,18,19,22,23,26,17,14,245
05212,秋田県,大仙市,太田地域,2015（平成27）,16,23,15,15,23,24,19,20,21,22,17,13,234
05212,秋田県,大仙市,太田地域,2016（平成28）,23,23,17,15,20,19,19,21,20,21,18,15,231
05212,秋田県,大仙市,太田地域,2017（平成29）,22,23,16,14,20,19,20,22,19,20,15,15,231
05212,秋田県,大仙市,太田地域,2018（平成30）,24,20,14,12,18,17,17,19,19,19,16,14,215
05212,秋田県,大仙市,太田地域,2019（平成31）,25,21,14,14,18,19,19,21,18,16,14,13,217
05212,秋田県,大仙市,太田地域,2020（令和2）,16,15,10,6,8,8,13,11,14,14,10,10,141
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
