６　　　気　　　　　象,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
（１）秋田市の気象,,,,,,,,,,（２）秋田市と主な都市の気温と降水量,,,,,,,,,,
,　　　　気温（℃）,,,平均湿度,平均風速,日照時間,降水量,最深積雪,,年次,秋田,札幌,仙台,新潟,東京,大阪,広島,福岡,,
年 ・ 月,最低,最高,平均,,,,,,,,,,,,,,,,,
,（極値）,（極値）,,（％）,（ｍ/ｓ）,（ｈ）,（mm）,(cm),,,,,,,,,,,,
28,171,9,208,90,11,30,9,,,29,11.9 ,9.1 ,12.9 ,13.7 ,15.8 ,16.8 ,16.3 ,17.6 ,,
29,192,6,226,102,11,38,8,,,30,12.3 ,9.5 ,13.6 ,14.3 ,16.8 ,17.4 ,16.8 ,17.7 ,,
30,168,9,214,101,10,30,4,,,令和元年,12.9 ,9.8 ,13.6 ,14.6 ,16.5 ,17.6 ,17.2 ,17.9 ,,
令和元年,151,10,182,88,11,36,4,,,２,12.8 ,10.0 ,13.7 ,14.7 ,16.5 ,17.7 ,17.1 ,17.9 ,,
２,192,0],21],36],6],81],7,,,３,12.9 ,10.2 ,13.7 ,14.5 ,16.6 ,17.5 ,17.1 ,18.2 ,,
３,175,-,-,95,5,75,7,,,４,12.6 ,10.2 ,13.5 ,14.5 ,16.4 ,17.5 ,17.1 ,18.0 ,,
４,166 ,-,-,93 ,16 ,62],6 ,,,,,,,,,,,,,
,,,,,,,,,,, 年　降　水　量　（mm),,,,,,,,,
１月,23 ,-,-,29 ,0 ,5 ),0 ,,,,,,,,,,,,,
２月,14 ,-,-,23 ,0 ,5 ],0 ,,,平成25年,"2,373.0 ","1,347.0 ","1,111.5 ","2,327.0 ","1,614.0 ","1,418.0 ","1,820.5 ","1,801.5 ",,
３月,16 ,-,-,16 ,2 ,3 ),4 ,,,26,"1,737.5 ","1,203.5 ","1,416.5 ","1,984.0 ","1,808.0 ","1,278.5 ","1,573.0 ","1,765.5 ",,
４月,10 ,-,-,0 ,1 ,3 ),0 ,,,27,"1,490.5 ","1,274.5 ","1,444.5 ","1,467.5 ","1,781.5 ","1,648.5 ","1,641.0 ","1,867.5 ",,
５月,8 ,-,-,0 ,0 ,3 ,1 ,,,28,"1,795.5 ","1,360.0 ","1,209.0 ","1,499.0 ","1,779.0 ","1,453.5 ","2,124.0 ","2,420.5 ",,
