市町村コード,都道府県名,市町村名,地域,年次,件数(件),死者(人),傷者(人)
052124,秋田県,大仙市,協和地域,2015(平成27）,12 ,1,15
052124,秋田県,大仙市,協和地域,2016(平成28）,10 ,1,15
052124,秋田県,大仙市,協和地域,2017(平成29）,16 ,0,24
052124,秋田県,大仙市,南外地域,2005(平成17),6 ,0,7
052124,秋田県,大仙市,南外地域,2006(平成18）,8 ,0,16
052124,秋田県,大仙市,南外地域,2007(平成19）,5 ,0,8
052124,秋田県,大仙市,南外地域,2008(平成20）,4 ,0,5
052124,秋田県,大仙市,南外地域,2009(平成21）,6 ,0,6
052124,秋田県,大仙市,南外地域,2010(平成22）,5 ,0,5
052124,秋田県,大仙市,南外地域,2011(平成23）,4 ,0,5
052124,秋田県,大仙市,南外地域,2012(平成24）,2 ,0,2
052124,秋田県,大仙市,南外地域,2013(平成25）,5 ,0,9
052124,秋田県,大仙市,南外地域,2014(平成26）,2 ,0,2
052124,秋田県,大仙市,南外地域,2015(平成27）,5 ,0,7
052124,秋田県,大仙市,南外地域,2016(平成28）,2 ,0,5
052124,秋田県,大仙市,南外地域,2017(平成29）,2 ,0,2
052124,秋田県,大仙市,仙北地域,2005(平成17),31 ,0,37
052124,秋田県,大仙市,仙北地域,2006(平成18）,37 ,0,47
052124,秋田県,大仙市,仙北地域,2007(平成19）,31 ,1,40
052124,秋田県,大仙市,仙北地域,2008(平成20）,18 ,0,20
052124,秋田県,大仙市,仙北地域,2009(平成21）,27 ,0,37
052124,秋田県,大仙市,仙北地域,2010(平成22）,20 ,0,27
052124,秋田県,大仙市,仙北地域,2011(平成23）,32 ,1,38
052124,秋田県,大仙市,仙北地域,2012(平成24）,23 ,1,32
052124,秋田県,大仙市,仙北地域,2013(平成25）,30 ,0,42
052124,秋田県,大仙市,仙北地域,2014(平成26）,25 ,0,34
052124,秋田県,大仙市,仙北地域,2015(平成27）,18 ,0,25
052124,秋田県,大仙市,仙北地域,2016(平成28）,10 ,0,12
052124,秋田県,大仙市,仙北地域,2017(平成29）,11 ,0,16
052124,秋田県,大仙市,太田地域,2005(平成17),25 ,3,27
052124,秋田県,大仙市,太田地域,2006(平成18）,20 ,1,26
052124,秋田県,大仙市,太田地域,2007(平成19）,13 ,0,18
052124,秋田県,大仙市,太田地域,2008(平成20）,13 ,0,13
052124,秋田県,大仙市,太田地域,2009(平成21）,17 ,0,19
052124,秋田県,大仙市,太田地域,2010(平成22）,11 ,0,13
052124,秋田県,大仙市,太田地域,2011(平成23）,12 ,1,11
052124,秋田県,大仙市,太田地域,2012(平成24）,17 ,0,21
052124,秋田県,大仙市,太田地域,2013(平成25）,12 ,0,15
052124,秋田県,大仙市,太田地域,2014(平成26）,5 ,0,7
052124,秋田県,大仙市,太田地域,2015(平成27）,7 ,0,7
052124,秋田県,大仙市,太田地域,2016(平成28）,9 ,0,9
052124,秋田県,大仙市,太田地域,2017(平成29）,10 ,1,14
