市町村コード,都道府県名,市町村名,地域,年度,年齢5歳階級,全産業(人),農業(人),林業(人),漁業(人),鉱業，採石業，砂利採取業(人),建設業(人),製造業(人),電気・ガス・熱供給・水道業(人),情報通信業(人),運輸業，郵便業(人),卸売業，小売業(人),金融業，保険業(人),不動産業，物品賃貸業(人),宿泊業・飲食サービス業(人),教育，学習支援業(人),医療，福祉(人),複合サービス業(人),サービス業（他に分類されないもの）(人),公務（他に分類されるものを除く）(人),分類不能の産業(人),,
5212,秋田県,大仙市,全域,2005,総数,46719,7381,94,6,142,5835,7315,178,267,1483,7319,710,139,1761,1709,4357,1099,5147,1756,21,,
5212,秋田県,大仙市,全域,2005,15-19歳,470,11,0,0,0,50,146,0,1,4,101,1,0,59,1,33,7,55,1,0,,
5212,秋田県,大仙市,全域,2005,20-24歳,2702,62,0,0,3,306,523,6,20,53,557,29,2,134,69,436,69,363,70,0,,
5212,秋田県,大仙市,全域,2005,25-29歳,3805,81,2,0,7,510,613,23,28,93,698,76,6,142,160,573,98,511,180,4,,
5212,秋田県,大仙市,全域,2005,30-34歳,3948,103,3,0,12,496,756,31,20,147,654,81,10,136,235,441,114,485,224,0,,
5212,秋田県,大仙市,全域,2005,35-39歳,3810,102,7,0,14,383,885,28,32,160,610,115,13,111,224,406,119,452,148,1,,
5212,秋田県,大仙市,全域,2005,40-44歳,4788,181,14,0,10,512,1072,18,33,198,805,110,10,144,277,572,130,499,202,1,,
5212,秋田県,大仙市,全域,2005,45-49歳,5618,441,6,1,14,707,1069,20,31,237,920,102,16,174,254,651,157,556,262,0,,
5212,秋田県,大仙市,全域,2005,50-54歳,6481,778,12,0,26,938,1047,20,44,211,998,99,7,262,199,635,175,683,346,1,,
5212,秋田県,大仙市,全域,2005,55-59歳,5745,1048,16,3,37,967,692,27,44,211,802,64,30,283,165,391,134,593,237,1,,
5212,秋田県,大仙市,全域,2005,60-64歳,3205,1057,14,1,9,500,245,2,10,105,425,22,7,152,58,87,38,422,47,4,,
5212,秋田県,大仙市,全域,2005,65-69歳,2840,1438,11,1,4,304,146,1,3,42,317,7,16,92,38,69,43,278,26,4,,
5212,秋田県,大仙市,全域,2005,70-74歳,2017,1259,7,0,3,132,77,1,1,17,205,2,12,49,21,43,12,163,9,4,,
5212,秋田県,大仙市,全域,2005,75-79歳,918,617,1,0,2,26,28,0,0,4,139,2,3,17,5,11,2,56,4,1,,
5212,秋田県,大仙市,全域,2005,80-84歳,297,169,0,0,1,4,14,1,0,1,69,0,4,2,2,8,1,21,0,0,,
5212,秋田県,大仙市,全域,2005,85歳以上,75,34,1,0,0,0,2,0,0,0,19,0,3,4,1,1,0,10,0,0,,
5212,秋田県,大仙市,全域,2010,総数,42349,5983,149,10,79,4797,6350,217,179,1527,6608,664,345,934,1853,1732,1655,4995,793,1746,1608,125
5212,秋田県,大仙市,全域,2010,15-19歳,290,3,1,0,0,29,74,4,0,4,63,1,1,3,37,18,1,32,0,15,2,2
5212,秋田県,大仙市,全域,2010,20-24歳,1976,39,6,0,0,160,429,9,12,33,374,29,19,27,115,111,55,411,39,42,54,12
5212,秋田県,大仙市,全域,2010,25-29歳,3138,100,4,0,1,292,560,20,26,87,595,54,28,63,142,176,95,595,67,91,137,5
5212,秋田県,大仙市,全域,2010,30-34歳,3852,123,9,1,2,464,593,28,25,131,731,61,48,99,159,179,162,603,89,141,196,8
5212,秋田県,大仙市,全域,2010,35-39歳,3927,132,7,0,5,482,682,31,26,164,656,89,35,93,158,153,234,512,99,135,230,4
5212,秋田県,大仙市,全域,2010,40-44歳,3845,119,16,1,11,357,814,33,22,178,629,110,31,126,136,153,234,467,116,143,145,4
5212,秋田県,大仙市,全域,2010,45-49歳,4636,238,20,0,8,437,937,30,17,216,740,108,39,97,189,154,301,639,95,167,196,8
5212,秋田県,大仙市,全域,2010,50-54歳,5309,471,19,1,11,644,846,23,19,237,823,83,35,142,206,160,252,718,123,233,252,11
5212,秋田県,大仙市,全域,2010,55-59歳,5792,866,24,2,15,820,769,27,20,218,847,76,26,144,283,185,176,595,104,285,303,7
5212,秋田県,大仙市,全域,2010,60-64歳,4330,1192,20,3,17,696,393,10,9,168,531,36,35,63,232,176,68,291,39,262,75,14
5212,秋田県,大仙市,全域,2010,65-69歳,2184,917,10,2,1,258,128,2,1,58,239,10,14,38,103,133,47,62,8,128,11,14
5212,秋田県,大仙市,全域,2010,70-74歳,1645,914,11,0,4,109,72,0,1,19,183,5,17,18,59,92,19,35,13,57,4,13
5212,秋田県,大仙市,全域,2010,75-79歳,959,618,2,0,3,40,33,0,1,11,101,1,6,12,24,31,9,23,1,32,3,8
5212,秋田県,大仙市,全域,2010,80-84歳,352,208,0,0,1,6,14,0,0,2,63,0,8,6,9,8,2,10,0,8,0,7
5212,秋田県,大仙市,全域,2010,85歳以上,114,43,0,0,0,3,6,0,0,1,33,1,3,3,1,3,0,2,0,7,0,8
5212,秋田県,大仙市,全域,2015,総数,41500,5570,137,6,80,4740,5797,200,166,1335,6200,586,354,936,1765,1598,1665,5774,893,1751,1582,365
5212,秋田県,大仙市,全域,2015,15-19歳,290,8,3,0,0,47,70,1,0,4,54,1,1,5,31,12,1,27,4,6,10,5
5212,秋田県,大仙市,全域,2015,20-24歳,1679,41,3,0,0,186,279,8,8,21,325,27,11,20,102,69,43,346,40,47,78,25
5212,秋田県,大仙市,全域,2015,25-29歳,2618,70,9,0,1,243,449,20,12,54,448,49,22,45,110,126,90,568,67,76,133,26
5212,秋田県,大仙市,全域,2015,30-34歳,3369,134,8,0,3,338,547,19,18,97,584,43,36,69,130,149,131,687,78,133,143,22
5212,秋田県,大仙市,全域,2015,35-39歳,4004,153,11,0,4,484,598,29,24,108,633,69,43,109,158,157,175,722,111,166,208,42
5212,秋田県,大仙市,全域,2015,40-44歳,4088,141,14,0,8,472,662,21,20,147,660,73,29,107,173,125,267,604,122,157,242,44
5212,秋田県,大仙市,全域,2015,45-49歳,3908,130,17,0,8,383,756,37,21,180,581,95,35,111,133,136,240,547,135,161,165,37
5212,秋田県,大仙市,全域,2015,50-54歳,4578,213,17,1,19,448,857,26,25,208,699,91,35,101,183,147,296,681,114,177,214,26
5212,秋田県,大仙市,全域,2015,55-59歳,5126,490,11,2,14,620,711,22,18,241,749,64,34,151,213,158,249,766,115,232,233,33
5212,秋田県,大仙市,全域,2015,60-64歳,4942,1046,20,0,13,796,485,14,11,152,698,44,41,119,238,179,91,517,68,259,122,29
5212,秋田県,大仙市,全域,2015,65-69歳,3492,1275,12,2,8,488,238,3,8,90,374,19,36,56,180,146,50,227,27,205,21,27
5212,秋田県,大仙市,全域,2015,70-74歳,1622,804,6,1,2,149,80,0,1,24,165,6,16,24,62,110,20,47,6,71,10,18
5212,秋田県,大仙市,全域,2015,75-79歳,1086,631,4,0,0,60,43,0,0,9,136,3,11,10,35,60,8,19,4,38,3,12
5212,秋田県,大仙市,全域,2015,80-84歳,530,342,2,0,0,22,20,0,0,0,61,1,2,6,16,18,2,13,0,15,0,10
