市町村コード,都道府県名,市町村名,事業名,年度,収益的収入(千円),収益的支出(千円),資本的収入(千円),資本的支出(千円)
05212,秋田県,大仙市,簡易水道事業,2017(平成29）,"1,269,099","1,205,651","467,625","809,834"
05212,秋田県,大仙市,簡易水道事業,2018(平成30）,"1,312,946","1,235,120","430,494","737,040"
05212,秋田県,大仙市,簡易水道事業,2019(令和1）,"1,260,318","1,159,968","704,125","1,049,025"
05212,秋田県,大仙市,簡易水道事業,2020(令和2）,"1,270,081","1,138,706","819,456","1,188,484"
