市町村コード,都道府県名,市区町村名,地域名,世帯数,0歳-4歳（男）（人）,0歳-4歳（女）（人）,5歳-9歳（男）（人）,5歳-9歳（女）（人）,10歳-14歳（男）（人）,10歳-14歳（女）（人）,15歳-19歳（男）（人）,15歳-19歳（女）（人）,20歳-24歳（男）（人）,20歳-24歳（女）（人）,25歳-29歳（男）（人）,25歳-29歳（女）（人）,30歳-34歳（男）（人）,30歳-34歳（女）（人）,35歳-39歳（男）（人）,35歳-39歳（女）（人）,40歳-44歳（男）（人）,40歳-44歳（女）（人）,45歳-49歳（男）（人）,45歳-49歳（女）（人）,50歳-54歳（男）（人）,50歳-54歳（女）（人）,55歳-59歳（男）（人）,55歳-59歳（女）（人）,60歳-64歳（男）（人）,60歳-64歳（女）（人）,65歳-69歳（男）（人）,65歳-69歳（女）（人）,70歳-74歳（男）（人）,70歳-74歳（女）（人）,75歳-79歳（男）（人）,75歳-79歳（女）（人）,80歳-84歳（男）（人）,80歳-84歳（女）（人）,85歳-（男）（人）,85歳-（女）（人）
052124,秋田県,大仙市,大曲,15246,621,569,688,629,753,714,712,681,618,563,726,661,803,821,974,1031,1207,1140,1239,1214,1126,1196,1042,1112,1136,1224,1254,1431,1319,1578,824,1138,661,1136,727,1738
052124,秋田県,大仙市,神岡,1832,54,46,65,78,90,100,92,77,59,65,82,69,83,78,117,99,144,129,142,147,142,148,142,160,199,206,212,235,209,237,135,177,102,205,131,329
052124,秋田県,大仙市,西仙北,3003,61,58,97,88,116,113,116,133,123,72,109,95,125,97,177,136,194,167,189,187,210,209,250,250,323,332,368,385,380,395,220,255,183,341,242,583
052124,秋田県,大仙市,中仙,3192,72,88,138,116,133,152,165,175,145,103,133,122,152,124,191,195,275,243,299,260,241,246,252,255,356,351,395,464,475,452,228,303,194,297,258,587
052124,秋田県,大仙市,協和,2464,49,41,61,63,81,71,98,78,116,81,65,54,105,96,143,113,149,123,168,140,173,164,189,193,267,260,311,333,318,307,160,235,161,273,189,501
052124,秋田県,大仙市,南外,1255,23,21,45,38,40,34,42,39,38,28,38,39,50,37,80,81,76,66,64,66,74,80,107,116,158,150,200,175,159,147,83,99,72,142,124,276
052124,秋田県,大仙市,仙北,2495,99,88,130,108,123,140,132,137,129,87,105,104,141,150,195,166,210,189,196,199,206,201,198,212,243,255,272,318,309,333,161,224,139,238,184,411
052124,秋田県,大仙市,太田,2035,64,50,81,79,103,109,110,114,96,74,87,76,102,87,140,137,161,150,190,183,178,151,172,174,228,251,247,301,304,293,160,218,131,215,133,377
