市町村コード,都道府県名,市町村名,地域,年度,区分,施設名,利用者数（人）,補足
052124,秋田県,大仙市,大曲地域,2010(平成22）,体育館,大曲体育館（ﾄﾚｰﾆﾝｸﾞﾙｰﾑ別）,"53,145",
052124,秋田県,大仙市,大曲地域,2011(平成23）,体育館,大曲体育館（ﾄﾚｰﾆﾝｸﾞﾙｰﾑ別）,"49,509",
052124,秋田県,大仙市,大曲地域,2012(平成24）,体育館,大曲体育館（ﾄﾚｰﾆﾝｸﾞﾙｰﾑ別）,"52,465",
052124,秋田県,大仙市,大曲地域,2013(平成25）,体育館,大曲体育館（ﾄﾚｰﾆﾝｸﾞﾙｰﾑ別）,"54,991",
052124,秋田県,大仙市,大曲地域,2014(平成26）,体育館,大曲体育館（ﾄﾚｰﾆﾝｸﾞﾙｰﾑ別）,"58,952",
052124,秋田県,大仙市,大曲地域,2015(平成27）,体育館,大曲体育館（ﾄﾚｰﾆﾝｸﾞﾙｰﾑ別）,"61,777",
052124,秋田県,大仙市,大曲地域,2016(平成28）,体育館,大曲体育館（ﾄﾚｰﾆﾝｸﾞﾙｰﾑ別）,"57,380",
052124,秋田県,大仙市,大曲地域,2017(平成29）,体育館,大曲体育館（ﾄﾚｰﾆﾝｸﾞﾙｰﾑ別）,"54,102",
052124,秋田県,大仙市,大曲地域,2018(平成30）,体育館,大曲体育館（ﾄﾚｰﾆﾝｸﾞﾙｰﾑ別）,"55,951",
052124,秋田県,大仙市,大曲地域,2019(令和1）,体育館,大曲体育館（ﾄﾚｰﾆﾝｸﾞﾙｰﾑ別）,"43,961",
052124,秋田県,大仙市,大曲地域,2020(令和2）,体育館,大曲体育館（ﾄﾚｰﾆﾝｸﾞﾙｰﾑ別）,"31,973",
052124,秋田県,大仙市,大曲地域,2021(令和3）,体育館,大曲体育館（ﾄﾚｰﾆﾝｸﾞﾙｰﾑ別）,"26,544",
052124,秋田県,大仙市,大曲地域,2006(平成18）,キャンプ場,総合公園キャンプ場,-,データなし
052124,秋田県,大仙市,大曲地域,2007(平成19）,キャンプ場,総合公園キャンプ場,-,データなし
052124,秋田県,大仙市,大曲地域,2008(平成20）,キャンプ場,総合公園キャンプ場,-,データなし
052124,秋田県,大仙市,大曲地域,2009(平成21）,キャンプ場,総合公園キャンプ場,226,
052124,秋田県,大仙市,大曲地域,2010(平成22）,キャンプ場,総合公園キャンプ場,216,
052124,秋田県,大仙市,大曲地域,2011(平成23）,キャンプ場,総合公園キャンプ場,206,
052124,秋田県,大仙市,大曲地域,2012(平成24）,キャンプ場,総合公園キャンプ場,412,
052124,秋田県,大仙市,大曲地域,2013(平成25）,キャンプ場,総合公園キャンプ場,333,
052124,秋田県,大仙市,大曲地域,2014(平成26）,キャンプ場,総合公園キャンプ場,106,
052124,秋田県,大仙市,大曲地域,2015(平成27）,キャンプ場,総合公園キャンプ場,118,
052124,秋田県,大仙市,大曲地域,2016(平成28）,キャンプ場,総合公園キャンプ場,457,
052124,秋田県,大仙市,大曲地域,2017(平成29）,キャンプ場,総合公園キャンプ場,195,
052124,秋田県,大仙市,大曲地域,2018(平成30）,キャンプ場,総合公園キャンプ場,167,
052124,秋田県,大仙市,大曲地域,2019(令和1）,キャンプ場,総合公園キャンプ場,167,
052124,秋田県,大仙市,大曲地域,2020(令和2）,キャンプ場,総合公園キャンプ場,70,R2で廃止
052124,秋田県,大仙市,大曲地域,2006(平成18）,テニスコート,大仙市総合公園テニスコート,"28,504",
052124,秋田県,大仙市,大曲地域,2007(平成19）,テニスコート,大仙市総合公園テニスコート,"29,173",
052124,秋田県,大仙市,大曲地域,2008(平成20）,テニスコート,大仙市総合公園テニスコート,"26,322",
052124,秋田県,大仙市,大曲地域,2009(平成21）,テニスコート,大仙市総合公園テニスコート,"29,928",
052124,秋田県,大仙市,大曲地域,2010(平成22）,テニスコート,大仙市総合公園テニスコート,"28,914",
052124,秋田県,大仙市,大曲地域,2011(平成23）,テニスコート,大仙市総合公園テニスコート,"25,620",
052124,秋田県,大仙市,大曲地域,2012(平成24）,テニスコート,大仙市総合公園テニスコート,"26,862",
052124,秋田県,大仙市,大曲地域,2013(平成25）,テニスコート,大仙市総合公園テニスコート,"20,800",
