市町村コード,都道府県名,市町村名,地域,公民館名,年度,利用回数（回）,利用者数（人）,,,,,
05212,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2010(平成22）,475 ,"5,792 ",,,,,
05212,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2011(平成23）,387 ,"5,693 ",,,,,
05212,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2012(平成24）,343 ,"4,364 ",,,,,
05212,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2013(平成25）,390 ,"4,852 ",,,,,
05212,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2014(平成26）,392 ,"4,540 ",,,,,
05212,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2015(平成27）,393 ,"4,541 ",,,,,
05212,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2016(平成28）,351 ,"4,465 ",,,,,
05212,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2017(平成29）,363 ,"5,570 ",,,,,
05212,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2018(平成30）,394 ,"4,632 ",,,,,
05212,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2019(令和1）,415 ,"4,025 ",,,,,
05212,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2020(令和2）,359 ,"2,793 ",,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,1991(平成3),-,-,,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,1992(平成4),-,-,,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,1993(平成5),-,-,,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,1994(平成6),-,-,,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,1995(平成7),-,-,,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,1996(平成8),-,-,,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,1997(平成9),-,-,,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,1998(平成10),-,-,,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,1999(平成11),-,-,,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2000(平成12),-,-,,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2001(平成13),-,-,,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2002(平成14),-,-,,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2003(平成15),"1,178 ","41,135 ",,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2004(平成16),"2,075 ","50,369 ",,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2005(平成17),"1,721 ","57,247 ",,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2006(平成18),"2,501 ","69,472 ",,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2007(平成19),"1,923 ","55,504 ",,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2008(平成20),"2,183 ","61,350 ",,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2009(平成21),"2,828 ","55,713 ",,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2010(平成22),"2,406 ","54,723 ",,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2011(平成23),"2,338 ","51,113 ",,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2012(平成24),"2,655 ","54,279 ",,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2013(平成25),"2,775 ","54,729 ",,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2014(平成26),"2,675 ","55,330 ",,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2015(平成27),"2,521 ","58,964 ",,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2016(平成28),"2,656 ","58,794 ",,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2017(平成29),"2,438 ","51,838 ",,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2006(平成30),"2,354 ","47,175 ",,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2019(令和1）,"1,980 ","36,120 ",,,,,
05212,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2020(令和2）,"1,260 ","14,375 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,1991(平成3),291 ,"5,107 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,1992(平成4),294 ,"5,331 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,1993(平成5),282 ,"5,166 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,1994(平成6),280 ,"5,263 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,1995(平成7),283 ,"5,233 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,1996(平成8),215 ,"2,420 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,1997(平成9),297 ,"5,526 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,1998(平成10),102 ,"1,172 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,1999(平成11),90 ,"1,164 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,2000(平成12),93 ,"1,140 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,2001(平成13),95 ,"1,152 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,2002(平成14),97 ,"1,133 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,2003(平成15),87 ,"1,199 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,2004(平成16),100 ,"1,284 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,2005(平成17),95 ,748 ,,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,2006(平成18),61 ,847 ,,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,2007(平成19),308 ,"4,133 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,2008(平成20),382 ,"3,403 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,2009(平成21),393 ,"4,849 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,2010(平成22),375 ,"4,286 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,2011(平成23),359 ,"4,208 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,2012(平成24),333 ,379 ,,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,2013(平成25),321 ,"4,257 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,2014(平成26),329 ,"3,686 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,2015(平成27),403 ,"5,065 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,2016(平成28),456 ,"4,992 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,2017(平成29),423 ,"4,994 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,2006(平成30),433 ,"3,602 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,2019(令和1）,451 ,"3,891 ",,,,,
05212,秋田県,大仙市,中仙地域,鑓見内分館,2020(令和2）,336 ,"1,937 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,1991(平成3),556 ,"12,374 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,1992(平成4),596 ,"12,504 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,1993(平成5),738 ,"12,757 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,1994(平成6),724 ,"11,792 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,1995(平成7),-,"9,246 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,1996(平成8),-,"10,383 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,1997(平成9),-,"8,460 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,1998(平成10),-,"8,931 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,1999(平成11),-,"8,888 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,2000(平成12),715 ,"6,969 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,2001(平成13),655 ,"7,008 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,2002(平成14),597 ,"6,668 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,2003(平成15),670 ,"8,874 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,2004(平成16),580 ,"8,683 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,2005(平成17),576 ,"9,682 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,2006(平成18),547 ,"7,140 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,2007(平成19),507 ,"8,294 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,2008(平成20),726 ,"7,290 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,2009(平成21),755 ,"9,264 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,2010(平成22),714 ,"7,904 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,2011(平成23),700 ,"9,033 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,2012(平成24),708 ,855 ,,,,,
05212,秋田県,大仙市,中仙地域,長野分館,2013(平成25),644 ,"6,455 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,2014(平成26),630 ,"7,058 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,2015(平成27),683 ,"7,367 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,2016(平成28),659 ,"6,899 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,2017(平成29),621 ,"6,536 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,2006(平成30),524 ,"6,662 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,2019(令和1）,442 ,"5,468 ",,,,,
05212,秋田県,大仙市,中仙地域,長野分館,2020(令和2）,296 ,"2,735 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,1991(平成3),251 ,"8,401 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,1992(平成4),215 ,"5,334 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,1993(平成5),179 ,"5,088 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,1994(平成6),177 ,"4,328 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,1995(平成7),163 ,"5,999 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,1996(平成8),167 ,"4,064 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,1997(平成9),169 ,"4,447 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,1998(平成10),161 ,"4,370 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,1999(平成11),186 ,"3,355 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,2000(平成12),127 ,"2,808 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,2001(平成13),125 ,"3,280 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,2002(平成14),101 ,"1,885 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,2003(平成15),272 ,"3,128 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,2004(平成16),215 ,"3,805 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,2005(平成17),87 ,"3,940 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,2006(平成18),338 ,"4,540 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,2007(平成19),323 ,"5,062 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,2008(平成20),362 ,"4,226 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,2009(平成21),413 ,"6,594 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,2010(平成22),373 ,"5,528 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,2011(平成23),398 ,"5,381 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,2012(平成24),378 ,"5,194 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,2013(平成25),359 ,"5,391 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,2014(平成26),317 ,"3,863 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,2015(平成27),297 ,"3,972 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,2016(平成28),341 ,"4,632 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,2017(平成29),326 ,"4,341 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,2006(平成30),324 ,"3,765 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,2019(令和1）,310 ,"3,542 ",,,,,
05212,秋田県,大仙市,中仙地域,鴬野分館,2020(令和2）,248 ,"2,277 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,1991(平成3),-,-,,,,,
05212,秋田県,大仙市,中仙地域,清水分館,1992(平成4),-,-,,,,,
05212,秋田県,大仙市,中仙地域,清水分館,1993(平成5),651 ,"12,774 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,1994(平成6),439 ,"7,857 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,1995(平成7),389 ,"7,209 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,1996(平成8),375 ,"5,397 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,1997(平成9),411 ,"6,808 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,1998(平成10),461 ,"5,102 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,1999(平成11),350 ,"5,934 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,2000(平成12),480 ,"7,200 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,2001(平成13),460 ,"7,915 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,2002(平成14),467 ,"8,069 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,2003(平成15),466 ,"7,269 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,2004(平成16),556 ,"9,302 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,2005(平成17),553 ,"10,641 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,2006(平成18),526 ,"7,766 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,2007(平成19),538 ,"9,876 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,2008(平成20),543 ,"8,022 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,2009(平成21),631 ,"11,707 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,2010(平成22),602 ,"7,051 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,2011(平成23),513 ,"7,731 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,2012(平成24),457 ,"7,437 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,2013(平成25),511 ,"7,363 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,2014(平成26),458 ,"6,973 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,2015(平成27),479 ,"7,220 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,2016(平成28),484 ,"6,783 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,2017(平成29),502 ,"7,874 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,2006(平成30),529 ,"7,400 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,2019(令和1）,479 ,"7,034 ",,,,,
05212,秋田県,大仙市,中仙地域,清水分館,2020(令和2）,482 ,"6,554 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,1991(平成3),135 ,"4,228 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,1992(平成4),171 ,"4,258 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,1993(平成5),173 ,"5,095 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,1994(平成6),200 ,"4,791 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,1995(平成7),172 ,"5,383 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,1996(平成8),173 ,"4,286 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,1997(平成9),201 ,"3,653 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,1998(平成10),194 ,"3,902 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,1999(平成11),208 ,"4,034 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,2000(平成12),219 ,"4,740 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,2001(平成13),220 ,"4,661 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,2002(平成14),289 ,"4,637 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,2003(平成15),318 ,"5,181 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,2004(平成16),331 ,"5,091 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,2005(平成17),342 ,"7,225 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,2006(平成18),689 ,"8,537 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,2007(平成19),776 ,"9,522 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,2008(平成20),605 ,"6,748 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,2009(平成21),510 ,"6,815 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,2010(平成22),372 ,"4,682 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,2011(平成23),289 ,"2,792 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,2012(平成24),351 ,"5,459 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,2013(平成25),192 ,"5,085 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,2014(平成26),198 ,"3,118 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,2015(平成27),226 ,"3,099 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,2016(平成28),222 ,"2,827 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,2017(平成29),424 ,"5,482 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,2006(平成30),467 ,"3,867 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,2019(令和1）,286 ,"2,384 ",,,,,
05212,秋田県,大仙市,中仙地域,豊川分館,2020(令和2）,175 ,"1,138 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,1991(平成3),175 ,"3,741 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,1992(平成4),182 ,"3,874 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,1993(平成5),171 ,"3,938 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,1994(平成6),182 ,"3,854 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,1995(平成7),193 ,"4,234 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,1996(平成8),293 ,"9,838 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,1997(平成9),349 ,"10,980 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,1998(平成10),351 ,"11,720 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,1999(平成11),360 ,"11,980 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,2000(平成12),348 ,"11,850 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,2001(平成13),352 ,"12,450 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,2002(平成14),360 ,"11,650 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,2003(平成15),345 ,"12,606 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,2004(平成16),351 ,"10,082 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,2005(平成17),342 ,"12,457 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,2006(平成18),292 ,"9,894 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,2007(平成19),304 ,"11,501 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,2008(平成20),291 ,"10,110 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,2009(平成21),295 ,"18,291 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,2010(平成22),282 ,"10,557 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,2011(平成23),269 ,"10,932 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,2012(平成24),233 ,"12,837 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,2013(平成25),206 ,"13,050 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,2014(平成26),187 ,"9,320 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,2015(平成27),158 ,"10,919 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,2016(平成28),198 ,"10,137 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,2017(平成29),185 ,"10,279 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,2006(平成30),219 ,"8,245 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,2019(令和1）,175 ,"7,624 ",,,,,
05212,秋田県,大仙市,中仙地域,豊岡分館,2020(令和2）,190 ,"2,556 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,1999(平成11),700 ,"27,583 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,2000(平成12),915 ,"15,759 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,2001(平成13),966 ,"13,321 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,2002(平成14),"1,194 ","22,459 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,2003(平成15),"1,459 ","39,063 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,2004(平成16),"1,272 ","35,620 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,2005(平成17),899 ,"30,774 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,2006(平成18),903 ,"22,963 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,2007(平成19),"1,004 ","26,844 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,2008(平成20),972 ,"26,984 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,2009(平成21),982 ,"24,851 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,2010(平成22),950 ,"25,699 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,2011(平成23),"1,012 ","28,284 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,2012(平成24),915 ,"25,649 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,2013(平成25),987 ,"27,040 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,2014(平成26),"1,030 ","32,717 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,2015(平成27),951 ,"28,219 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,2016(平成28),963 ,"30,219 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,2017(平成29),966 ,"28,491 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,2006(平成30),955 ,"21,057 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,2019(令和1）,807 ,"22,432 ",,,,,
05212,秋田県,大仙市,協和地域,協和公民館,2020(令和2）,443 ,"5,484 ",,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,1999(平成11),-,-,,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,2000(平成12),-,-,,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,2001(平成13),-,-,,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,2002(平成14),-,-,,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,2003(平成15),-,-,,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,2004(平成16),-,-,,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,2005(平成17),-,-,,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,2006(平成18),-,-,,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,2007(平成19),-,-,,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,2008(平成20),-,-,,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,2009(平成21),-,-,,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,2010(平成22),-,-,,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,2011(平成23),243 ,"3,453 ",,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,2012(平成24),242 ,"3,303 ",,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,2013(平成25),233 ,"3,175 ",,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,2014(平成26),222 ,"3,037 ",,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,2015(平成27),234 ,"3,118 ",,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,2016(平成28),252 ,"3,053 ",,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,2017(平成29),228 ,"3,514 ",,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,2006(平成30),219 ,"3,070 ",,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,2019(令和1）,131 ,"2,075 ",,,,,
05212,秋田県,大仙市,協和地域,峰吉川分館,2020(令和2）,98 ,696 ,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,1999(平成11),-,-,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,2000(平成12),-,-,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,2001(平成13),-,-,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,2002(平成14),-,-,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,2003(平成15),-,-,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,2004(平成16),-,-,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,2005(平成17),-,-,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,2006(平成18),-,-,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,2007(平成19),-,-,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,2008(平成20),-,-,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,2009(平成21),-,-,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,2010(平成22),-,-,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,2011(平成23),34 ,685 ,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,2012(平成24),25 ,448 ,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,2013(平成25),19 ,398 ,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,2014(平成26),25 ,591 ,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,2015(平成27),18 ,401 ,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,2016(平成28),26 ,438 ,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,2017(平成29),25 ,420 ,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,2006(平成30),45 ,729 ,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,2019(令和1）,62 ,873 ,,,,,
05212,秋田県,大仙市,協和地域,船岡分館,2020(令和2）,36 ,413 ,,,,,
05212,秋田県,大仙市,協和地域,淀川分館,1999(平成11),-,-,,,,,
05212,秋田県,大仙市,協和地域,淀川分館,2000(平成12),-,-,,,,,
