市町村コード,都道府県名,市町村名,地域,公民館名,年度,利用回数（回）,利用者数（人）,,,,,
05212,秋田県,大仙市,大曲地域,藤木公民館,2017(平成29）,735 ,"10,328 ",,,,,
05212,秋田県,大仙市,大曲地域,藤木公民館,2018(平成30）,722 ,"10,359 ",,,,,
05212,秋田県,大仙市,大曲地域,藤木公民館,2019(令和1）,646 ,"8,750 ",,,,,
05212,秋田県,大仙市,大曲地域,藤木公民館,2020(令和2）,629 ,"6,606 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2005(平成17),"1,328 ","14,890 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2006(平成18）,"1,160 ","13,394 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2007(平成19）,"1,277 ","15,815 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2008(平成20）,"1,601 ","18,886 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2009(平成21）,"1,024 ","12,599 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2010(平成22）,"1,071 ","13,963 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2011(平成23）,"1,027 ","11,364 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2012(平成24）,"1,071 ","14,524 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2013(平成25）,"1,043 ","13,766 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2014(平成26）,952 ,"13,967 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2015(平成27）,"1,288 ","14,766 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2016(平成28）,"1,227 ","19,246 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2017(平成29）,"1,027 ","18,822 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2018(平成30）,"1,026 ","15,576 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2019(令和1）,776 ,"9,772 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2020(令和2）,569 ,"5,436 ",,,,,
05212,秋田県,大仙市,大曲地域,大川西根公民館,2005(平成17),676 ,"7,865 ",,,,,
05212,秋田県,大仙市,大曲地域,大川西根公民館,2006(平成18）,624 ,"6,888 ",,,,,
05212,秋田県,大仙市,大曲地域,大川西根公民館,2007(平成19）,566 ,"5,875 ",,,,,
05212,秋田県,大仙市,大曲地域,大川西根公民館,2008(平成20）,542 ,"6,809 ",,,,,
05212,秋田県,大仙市,大曲地域,大川西根公民館,2009(平成21）,500 ,"6,377 ",,,,,
05212,秋田県,大仙市,大曲地域,大川西根公民館,2010(平成22）,590 ,"6,838 ",,,,,
05212,秋田県,大仙市,大曲地域,大川西根公民館,2011(平成23）,595 ,"7,832 ",,,,,
05212,秋田県,大仙市,大曲地域,大川西根公民館,2012(平成24）,690 ,"7,490 ",,,,,
05212,秋田県,大仙市,大曲地域,大川西根公民館,2013(平成25）,644 ,"7,313 ",,,,,
05212,秋田県,大仙市,大曲地域,大川西根公民館,2014(平成26）,883 ,"9,795 ",,,,,
05212,秋田県,大仙市,大曲地域,大川西根公民館,2015(平成27）,836 ,"10,316 ",,,,,
05212,秋田県,大仙市,大曲地域,大川西根公民館,2016(平成28）,985 ,"10,179 ",,,,,
05212,秋田県,大仙市,大曲地域,大川西根公民館,2017(平成29）,835 ,"10,023 ",,,,,
05212,秋田県,大仙市,大曲地域,大川西根公民館,2018(平成30）,"1,924 ","10,164 ",,,,,
05212,秋田県,大仙市,大曲地域,大川西根公民館,2019(令和1）,891 ,"10,814 ",,,,,
05212,秋田県,大仙市,大曲地域,大川西根公民館,2020(令和2）,592 ,"4,731 ",,,,,
05212,秋田県,大仙市,大曲地域,四ツ屋公民館,2005(平成17),"1,126 ","17,944 ",,,,,
05212,秋田県,大仙市,大曲地域,四ツ屋公民館,2006(平成18）,"1,165 ","19,771 ",,,,,
05212,秋田県,大仙市,大曲地域,四ツ屋公民館,2007(平成19）,"1,041 ","19,821 ",,,,,
05212,秋田県,大仙市,大曲地域,四ツ屋公民館,2008(平成20）,"1,062 ","19,920 ",,,,,
05212,秋田県,大仙市,大曲地域,四ツ屋公民館,2009(平成21）,"1,269 ","20,329 ",,,,,
05212,秋田県,大仙市,大曲地域,四ツ屋公民館,2010(平成22）,"1,267 ","22,754 ",,,,,
05212,秋田県,大仙市,大曲地域,四ツ屋公民館,2011(平成23）,"1,128 ","18,993 ",,,,,
05212,秋田県,大仙市,大曲地域,四ツ屋公民館,2012(平成24）,"1,165 ","18,629 ",,,,,
05212,秋田県,大仙市,大曲地域,四ツ屋公民館,2013(平成25）,"1,216 ","19,130 ",,,,,
05212,秋田県,大仙市,大曲地域,四ツ屋公民館,2014(平成26）,"1,494 ","21,863 ",,,,,
05212,秋田県,大仙市,大曲地域,四ツ屋公民館,2015(平成27）,"1,348 ","20,372 ",,,,,
05212,秋田県,大仙市,大曲地域,四ツ屋公民館,2016(平成28）,"1,348 ","20,372 ",,,,,
05212,秋田県,大仙市,大曲地域,四ツ屋公民館,2017(平成29）,"1,219 ","19,087 ",,,,,
05212,秋田県,大仙市,大曲地域,四ツ屋公民館,2018(平成30）,"1,337 ","17,696 ",,,,,
05212,秋田県,大仙市,大曲地域,四ツ屋公民館,2019(令和1）,"1,203 ","16,765 ",,,,,
05212,秋田県,大仙市,大曲地域,四ツ屋公民館,2020(令和2）,956 ,"9,898 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館,2005(平成17),339 ,"6,629 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館,2006(平成18）,361 ,"7,072 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館,2007(平成19）,563 ,"7,441 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館,2008(平成20）,526 ,"7,163 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館,2009(平成21）,591 ,"10,705 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館,2010(平成22）,602 ,"9,399 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館,2011(平成23）,617 ,"10,587 ",,,,,
05212,秋田県,大仙市,神岡地域,神岡中央公民館,2012(平成24）,644 ,"9,805 ",,,,,
