市町村コード,都道府県名,市町村名,地域,年度,園総数,公立施設園数,公立へき地園数,私立保育所数,認定こども園数,地域型園数,認可外園数,正職員総数(人),正職員数[公立施設](人),正職員数[公立へき地](人),正職員数[私立保育所](人),正職員数[認定こども園](人),正職員数[地域型](人),正職員数[認可外](人),園児数 [総数](人),園児数[公立施設](人),園児数[公立へき地](人),園児数[私立保育所](人),園児数[認定こども園](人),園児数[地域型](人),園児数[認可外](人)
052124,秋田県,大仙市,神岡地域,2005(平成17),1,1,-,-,-,-,-,10,10,-,-,-,-,-,64,64,-,-,-,-,-
052124,秋田県,大仙市,神岡地域,2006(平成18）,1,1,-,-,-,-,-,10,10,-,-,-,-,-,57,57,-,-,-,-,-
052124,秋田県,大仙市,神岡地域,2007(平成19）,1,1,-,-,-,-,-,8,8,-,-,-,-,-,74,74,-,-,-,-,-
052124,秋田県,大仙市,神岡地域,2008(平成20）,1,1,-,-,-,-,-,8,8,-,-,-,-,-,79,79,-,-,-,-,-
052124,秋田県,大仙市,神岡地域,2009(平成21）,1,1,-,-,-,-,-,8,8,-,-,-,-,-,116,116,-,-,-,-,-
052124,秋田県,大仙市,神岡地域,2010(平成22）,1,1,-,-,-,-,-,9,9,-,-,-,-,-,139,139,-,-,-,-,-
052124,秋田県,大仙市,神岡地域,2011(平成23）,1,-,-,1,-,-,-,14,-,-,14,-,-,-,153,-,-,153,-,-,-
052124,秋田県,大仙市,神岡地域,2012(平成24）,1,-,-,1,-,-,-,15,-,-,15,-,-,-,154,-,-,154,-,-,-
052124,秋田県,大仙市,神岡地域,2013(平成25）,1,-,-,1,-,-,-,18,-,-,18,-,-,-,148,-,-,148,-,-,-
052124,秋田県,大仙市,神岡地域,2014(平成26）,1,-,-,1,-,-,-,16,-,-,16,-,-,-,148,-,-,148,-,-,-
052124,秋田県,大仙市,神岡地域,2015(平成27）,1,-,-,-,1,-,-,21,-,-,-,21,-,-,173,-,-,-,173,-,-
052124,秋田県,大仙市,神岡地域,2016(平成28）,1,-,-,-,1,-,-,18,-,-,-,18,-,-,159,-,-,-,159,-,-
052124,秋田県,大仙市,神岡地域,2017(平成29）,1,-,-,-,1,-,-,16,-,-,-,16,-,-,148,-,-,-,148,-,-
052124,秋田県,大仙市,神岡地域,2018(平成30）,1,-,-,-,1,-,-,20,-,-,-,20,-,-,138,-,-,-,138,-,-
052124,秋田県,大仙市,神岡地域,2019(令和1）,1,-,-,-,1,-,-,22,-,-,-,22,-,-,148,-,-,-,148,-,-
052124,秋田県,大仙市,神岡地域,2020(令和2）,1,-,-,-,1,-,-,20,-,-,-,20,-,-,142,-,-,-,142,-,-
052124,秋田県,大仙市,神岡地域,2021(令和3）,1,-,-,-,1,-,-,20,-,-,-,20,-,-,138,-,-,-,133,-,-
052124,秋田県,大仙市,神岡地域,2022(令和4）,1,-,-,-,1,-,-,19,-,-,-,19,-,-,118,-,-,-,118,-,-
052124,秋田県,大仙市,西仙北地域,2005(平成17),5,2,3,-,-,-,-,26,15,11,-,-,-,-,221,120,101,-,-,-,-
052124,秋田県,大仙市,西仙北地域,2006(平成18）,5,2,3,-,-,-,-,24,14,10,-,-,-,-,203,127,76,-,-,-,-
052124,秋田県,大仙市,西仙北地域,2007(平成19）,5,2,3,,-,-,,23,14,9,,-,-,,197,144,53,,-,-,
052124,秋田県,大仙市,西仙北地域,2008(平成20）,4,1,1,1,-,-,1,33,8,4,19,-,-,2,228,73,20,128,-,-,7
052124,秋田県,大仙市,西仙北地域,2009(平成21）,4,1,1,1,-,-,1,33,8,3,18,-,-,4,241,90,17,127,-,-,7
052124,秋田県,大仙市,西仙北地域,2010(平成22）,4,-,1,2,-,-,1,35,-,4,28,-,-,3,240,-,29,203,-,-,8
052124,秋田県,大仙市,西仙北地域,2011(平成23）,4,-,1,2,-,-,1,36,-,4,29,-,-,3,226,-,23,193,-,-,10
052124,秋田県,大仙市,西仙北地域,2012(平成24）,4,-,1,2,-,-,1,35,-,2,30,-,-,3,222,-,17,186,-,-,19
052124,秋田県,大仙市,西仙北地域,2013(平成25）,4,-,1,2,-,-,1,40,-,3,32,-,-,5,217,-,14,189,-,-,14
052124,秋田県,大仙市,西仙北地域,2014(平成26）,4,-,1,2,-,-,1,34,-,2,27,-,-,5,216,-,12,192,-,-,12
052124,秋田県,大仙市,西仙北地域,2015(平成27）,3,-,1,2,-,-,-,25,-,2,23,-,-,-,196,-,10,186,-,-,-
052124,秋田県,大仙市,西仙北地域,2016(平成28）,3,-,1,1,1,-,-,24,-,2,9,13,-,-,199,-,8,72,119,-,-
052124,秋田県,大仙市,西仙北地域,2017(平成29）,3,-,1,1,1,-,-,24,-,1,10,13,-,-,177,-,6,66,105,-,-
052124,秋田県,大仙市,西仙北地域,2018(平成30）,3,-,1,1,1,-,-,28,-,1,10,17,-,-,170,-,3,59,108,-,-
052124,秋田県,大仙市,西仙北地域,2019(令和1）,2,-,-,1,1,-,-,30,-,-,10,20,-,-,158,-,-,48,110,-,-
052124,秋田県,大仙市,西仙北地域,2020(令和2）,2,-,-,1,1,-,-,29,-,-,10,19,-,-,147,-,-,42,105,-,-
052124,秋田県,大仙市,西仙北地域,2021(令和3）,2,-,-,1,1,-,-,29,-,-,11,18,-,-,147,-,-,45,102,-,-
052124,秋田県,大仙市,西仙北地域,2022(令和4）,2,-,-,1,1,-,-,28,-,-,12,16,-,-,141,-,-,40,101,-,-
052124,秋田県,大仙市,中仙地域,2005(平成17),5,2,3,-,-,-,-,21,16,5,-,-,-,-,279,230,49,-,-,-,-
052124,秋田県,大仙市,中仙地域,2006(平成18）,2,2,-,-,-,-,-,22,22,-,-,-,-,-,296,296,-,-,-,-,-
052124,秋田県,大仙市,中仙地域,2007(平成19）,2,2,-,,-,-,-,21,21,-,-,-,-,-,290,290,-,-,-,-,-
052124,秋田県,大仙市,中仙地域,2008(平成20）,2,1,-,1,-,-,-,28,12,-,16,-,-,-,270,171,-,99,-,-,-
052124,秋田県,大仙市,中仙地域,2009(平成21）,2,1,-,1,-,-,-,27,12,-,15,-,-,-,278,167,-,111,-,-,-
052124,秋田県,大仙市,中仙地域,2010(平成22）,2,1,-,1,-,-,-,27,13,-,14,-,-,-,263,156,-,107,-,-,-
052124,秋田県,大仙市,中仙地域,2011(平成23）,2,-,-,2,-,-,-,32,-,-,32,-,-,-,288,0,-,288,-,-,-
052124,秋田県,大仙市,中仙地域,2012(平成24）,2,-,-,2,-,-,-,33,-,-,33,-,-,-,279,-,-,279,-,-,-
052124,秋田県,大仙市,中仙地域,2013(平成25）,2,-,-,2,-,-,-,36,-,-,36,-,-,-,263,-,-,263,-,-,-
052124,秋田県,大仙市,中仙地域,2014(平成26）,2,-,-,2,-,-,-,32,-,-,32,-,-,-,243,-,-,243,-,-,-
052124,秋田県,大仙市,中仙地域,2015(平成27）,2,-,-,1,1,-,-,31,-,-,12,19,-,-,274,-,-,90,184,-,-
052124,秋田県,大仙市,中仙地域,2016(平成28）,2,-,-,1,1,-,-,32,-,-,13,19,-,-,281,-,-,90,191,-,-
052124,秋田県,大仙市,中仙地域,2017(平成29）,2,-,-,1,1,-,-,30,-,-,11,19,-,-,262,-,-,83,179,-,-
052124,秋田県,大仙市,中仙地域,2018(平成30）,2,-,-,1,1,-,-,34,-,-,13,21,-,-,256,-,-,78,178,-,-
052124,秋田県,大仙市,中仙地域,2019(令和1）,2,-,-,1,1,-,-,33,-,-,13,20,-,-,234,-,-,67,167,-,-
052124,秋田県,大仙市,中仙地域,2020(令和2）,2,-,-,1,1,-,-,35,-,-,12,23,-,-,192,-,-,58,134,-,-
052124,秋田県,大仙市,中仙地域,2021(令和3）,2,-,-,1,1,-,-,30,-,-,12,18,-,-,174,-,-,55,119,-,-
052124,秋田県,大仙市,中仙地域,2022(令和4）,2,-,-,1,1,-,-,28,-,-,11,17,-,-,164,-,-,53,111,-,-
052124,秋田県,大仙市,協和地域,2005(平成17),5,4,1,-,-,-,-,25,23,2,-,-,-,-,220,207,13,-,-,-,-
052124,秋田県,大仙市,協和地域,2006(平成18）,4,3,1,-,-,-,-,22,20,2,-,-,-,-,202,191,11,-,-,-,-
052124,秋田県,大仙市,協和地域,2007(平成19）,4,3,1,-,-,-,-,21,19,2,-,-,-,-,179,172,7,-,-,-,-
052124,秋田県,大仙市,協和地域,2008(平成20）,4,2,1,1,-,-,-,27,10,-,17,-,-,-,168,64,-,104,-,-,-
052124,秋田県,大仙市,協和地域,2009(平成21）,3,1,-,2,-,-,-,30,4,-,26,-,-,-,154,25,-,129,-,-,-
052124,秋田県,大仙市,協和地域,2010(平成22）,3,-,-,3,-,-,-,26,-,-,26,-,-,-,140,-,-,140,-,-,-
052124,秋田県,大仙市,協和地域,2011(平成23）,3,-,-,3,-,-,-,26,-,-,26,-,-,-,132,-,-,132,-,-,-
052124,秋田県,大仙市,協和地域,2012(平成24）,3,-,-,3,-,-,-,26,-,-,26,-,-,-,149,-,-,149,-,-,-
052124,秋田県,大仙市,協和地域,2013(平成25）,3,-,-,3,-,-,-,23,-,-,23,-,-,-,144,-,-,144,-,-,-
052124,秋田県,大仙市,協和地域,2014(平成26）,3,-,-,3,-,-,-,21,-,-,21,-,-,-,146,-,-,146,-,-,-
052124,秋田県,大仙市,協和地域,2015(平成27）,3,-,-,3,-,-,-,21,-,-,21,-,-,-,133,-,-,133,-,-,-
052124,秋田県,大仙市,協和地域,2016(平成28）,3,-,-,3,-,-,-,25,-,-,25,-,-,-,129,-,-,129,-,-,-
052124,秋田県,大仙市,協和地域,2017(平成29）,3,-,-,3,-,-,-,26,-,-,26,-,-,-,117,-,-,117,-,-,-
052124,秋田県,大仙市,協和地域,2018(平成30）,1,-,-,-,1,-,-,17,-,-,-,17,-,-,119,-,-,-,119,-,-
052124,秋田県,大仙市,協和地域,2019(令和1）,1,-,-,-,1,-,-,17,-,-,-,17,-,-,105,-,-,-,105,-,-
052124,秋田県,大仙市,協和地域,2020(令和2）,1,-,-,-,1,-,-,16,-,-,-,16,-,-,102,-,-,-,102,-,-
052124,秋田県,大仙市,協和地域,2021(令和3）,1,-,-,-,1,-,-,15,-,-,-,15,-,-,96,-,-,-,96,-,-
052124,秋田県,大仙市,協和地域,2022(令和4）,1,-,-,-,1,-,-,14,-,-,-,14,-,-,93,-,-,-,93,-,-
052124,秋田県,大仙市,南外地域,2005(平成17),1,1,-,-,-,-,-,5,5,-,-,-,-,-,43,43,-,-,-,-,-
052124,秋田県,大仙市,南外地域,2006(平成18）,1,1,-,-,-,-,-,5,5,-,-,-,-,-,37,37,-,-,-,-,-
052124,秋田県,大仙市,南外地域,2007(平成19）,1,1,-,-,-,-,-,4,4,-,-,-,-,-,47,47,-,-,-,-,-
052124,秋田県,大仙市,南外地域,2008(平成20）,1,1,-,-,-,-,-,3,3,-,-,-,-,-,53,53,-,-,-,-,-
052124,秋田県,大仙市,南外地域,2009(平成21）,1,1,-,-,-,-,-,3,3,-,-,-,-,-,54,54,-,-,-,-,-
052124,秋田県,大仙市,南外地域,2010(平成22）,1,1,-,-,-,-,-,3,3,-,-,-,-,-,48,48,-,-,-,-,-
052124,秋田県,大仙市,南外地域,2011(平成23）,1,1,-,-,-,-,-,6,6,-,-,-,-,-,43,43,-,-,-,-,-
052124,秋田県,大仙市,南外地域,2012(平成24）,1,1,-,-,-,-,-,8,8,-,-,-,-,-,69,69,-,-,-,-,-
052124,秋田県,大仙市,南外地域,2013(平成25）,1,-,-,1,-,-,-,7,-,-,7,-,-,-,63,-,-,63,-,-,-
052124,秋田県,大仙市,南外地域,2014(平成26）,1,-,-,1,-,-,-,5,-,-,5,-,-,-,61,-,-,61,-,-,-
052124,秋田県,大仙市,南外地域,2015(平成27）,1,-,-,-,1,-,-,10,-,-,-,10,-,-,68,-,-,-,68,-,-
052124,秋田県,大仙市,南外地域,2016(平成28）,1,-,-,-,1,-,-,10,-,-,-,10,-,-,77,-,-,-,77,-,-
052124,秋田県,大仙市,南外地域,2017(平成29）,1,-,-,-,1,-,-,10,-,-,-,10,-,-,77,-,-,-,77,-,-
052124,秋田県,大仙市,南外地域,2018(平成30）,1,-,-,-,1,-,-,13,-,-,-,13,-,-,78,-,-,-,78,-,-
052124,秋田県,大仙市,南外地域,2019(令和1）,1,-,-,-,1,-,-,13,-,-,-,13,-,-,79,-,-,-,79,-,-
052124,秋田県,大仙市,南外地域,2020(令和2）,1,-,-,-,1,-,-,14,-,-,-,14,-,-,71,-,-,-,71,-,-
052124,秋田県,大仙市,南外地域,2021(令和3）,1,-,-,-,1,-,-,13,-,-,-,13,-,-,59,-,-,-,59,-,-
052124,秋田県,大仙市,南外地域,2022(令和4）,1,-,-,-,1,-,-,14,-,-,-,14,-,-,61,-,-,-,61,-,-
052124,秋田県,大仙市,仙北地域,2005(平成17),1,1,-,-,-,-,-,11,11,-,-,-,-,-,88,88,-,-,-,-,-
052124,秋田県,大仙市,仙北地域,2006(平成18）,1,1,-,-,-,-,-,12,12,-,-,-,-,-,118,118,-,-,-,-,-
052124,秋田県,大仙市,仙北地域,2007(平成19）,1,1,-,-,-,-,-,13,13,-,-,-,-,-,118,118,-,-,-,-,-
052124,秋田県,大仙市,仙北地域,2008(平成20）,1,-,-,1,-,-,-,30,-,-,30,-,-,-,125,-,-,125,-,-,-
052124,秋田県,大仙市,仙北地域,2009(平成21）,1,-,-,1,-,-,-,30,-,-,30,-,-,-,135,-,-,135,-,-,-
052124,秋田県,大仙市,仙北地域,2010(平成22）,1,-,-,1,-,-,-,27,-,-,27,-,-,-,151,-,-,151,-,-,-
052124,秋田県,大仙市,仙北地域,2011(平成23）,1,-,-,1,-,-,-,28,-,-,28,-,-,-,155,-,-,155,-,-,-
052124,秋田県,大仙市,仙北地域,2012(平成24）,1,-,-,1,-,-,-,28,-,-,28,-,-,-,161,-,-,161,-,-,-
052124,秋田県,大仙市,仙北地域,2013(平成25）,1,-,-,1,-,-,-,27,-,-,27,-,-,-,184,-,-,184,-,-,-
052124,秋田県,大仙市,仙北地域,2014(平成26）,1,-,-,1,-,-,-,24,-,-,24,-,-,-,185,-,-,185,-,-,-
052124,秋田県,大仙市,仙北地域,2015(平成27）,1,-,-,-,1,-,-,33,-,-,-,33,-,-,286,-,-,-,286,-,-
052124,秋田県,大仙市,仙北地域,2016(平成28）,1,-,-,-,1,-,-,31,-,-,-,31,-,-,273,-,-,-,273,-,-
052124,秋田県,大仙市,仙北地域,2017(平成29）,1,-,-,-,1,-,-,29,-,-,-,29,-,-,275,-,-,-,275,-,-
052124,秋田県,大仙市,仙北地域,2018(平成30）,1,-,-,-,1,-,-,30,-,-,-,30,-,-,253,-,-,-,253,-,-
052124,秋田県,大仙市,仙北地域,2019(令和1）,1,-,-,-,1,-,-,31,-,-,-,31,-,-,235,-,-,-,235,-,-
052124,秋田県,大仙市,仙北地域,2020(令和2）,1,-,-,-,1,-,-,30,-,-,-,30,-,-,216,-,-,-,216,-,-
052124,秋田県,大仙市,仙北地域,2021(令和3）,1,-,-,-,1,-,-,25,-,-,-,25,-,-,195,-,-,-,195,-,-
052124,秋田県,大仙市,仙北地域,2022(令和4）,1,-,-,-,1,-,-,25,-,-,-,25,-,-,188,-,-,-,188,-,-
052124,秋田県,大仙市,太田地域,2005(平成17),1,1,-,-,-,-,-,13,13,-,-,-,-,-,74,74,-,-,-,-,-
052124,秋田県,大仙市,太田地域,2006(平成18）,1,1,-,-,-,-,-,12,12,-,-,-,-,-,79,79,-,-,-,-,-
052124,秋田県,大仙市,太田地域,2007(平成19）,1,1,-,-,-,-,-,12,12,-,-,-,-,-,101,101,-,-,-,-,-
052124,秋田県,大仙市,太田地域,2008(平成20）,1,1,-,-,-,-,-,12,12,-,-,-,-,-,101,101,-,-,-,-,-
052124,秋田県,大仙市,太田地域,2009(平成21）,1,-,-,1,-,-,-,24,-,-,24,-,-,-,101,-,-,101,-,-,-
052124,秋田県,大仙市,太田地域,2010(平成22）,1,-,-,1,-,-,-,23,-,-,23,-,-,-,112,-,-,112,-,-,-
052124,秋田県,大仙市,太田地域,2011(平成23）,1,-,-,1,-,-,-,24,-,-,24,-,-,-,112,-,-,112,-,-,-
052124,秋田県,大仙市,太田地域,2012(平成24）,1,-,-,1,-,-,-,25,-,-,25,-,-,-,109,-,-,109,-,-,-
052124,秋田県,大仙市,太田地域,2013(平成25）,1,-,-,1,-,-,-,21,-,-,21,-,-,-,134,-,-,134,-,-,-
052124,秋田県,大仙市,太田地域,2014(平成26）,1,-,-,1,-,-,-,19,-,-,19,-,-,-,147,-,-,147,-,-,-
052124,秋田県,大仙市,太田地域,2015(平成27）,1,-,-,-,1,-,-,22,-,-,-,22,-,-,188,-,-,-,188,-,-
052124,秋田県,大仙市,太田地域,2016(平成28）,1,-,-,-,1,-,-,21,-,-,-,21,-,-,181,-,-,-,181,-,-
052124,秋田県,大仙市,太田地域,2017(平成29）,1,-,-,-,1,-,-,18,-,-,-,18,-,-,160,-,-,-,160,-,-
052124,秋田県,大仙市,太田地域,2018(平成30）,1,-,-,-,1,-,-,23,-,-,-,23,-,-,160,-,-,-,160,-,-
052124,秋田県,大仙市,太田地域,2019(令和1）,1,-,-,-,1,-,-,24,-,-,-,24,-,-,148,-,-,-,148,-,-
052124,秋田県,大仙市,太田地域,2020(令和2）,1,-,-,-,1,-,-,22,-,-,-,22,-,-,134,-,-,-,134,-,-
052124,秋田県,大仙市,太田地域,2021(令和3）,1,-,-,-,1,-,-,19,-,-,-,19,-,-,129,-,-,-,129,-,-
052124,秋田県,大仙市,太田地域,2022(令和4）,1,-,-,-,1,-,-,16,-,-,-,16,-,-,111,-,-,-,111,-,-
