市町村コード,都道府県名,市町村名,地域,年度,(男女計)15歳以上人口総数,(男女計)労働力人口総数,(男女計)労働力人口のうち、就業者総数,(男女計)就業者総数のうち、主に仕事,(男女計)就業者総数のうち、家事のほか仕事,(男女計)就業者総数のうち、通学のかたわら仕事,(男女計)就業者総数のうち、休業者,(男女計)完全失業者,(男女計)非労働力人口総数,(男女計)非労働力人口総数のうち、家事,(男女計)非労働力人口総数のうち、通学,(男女計)非労働力人口総数のうち、その他,(男)15歳以上人口総数,(男)労働力人口総数,(男)労働力人口のうち、就業者総数,(男)就業者総数のうち、主に仕事,(男)就業者総数のうち、家事のほか仕事,(男)就業者総数のうち、通学のかたわら仕事,(男)就業者総数のうち、休業者,(男)完全失業者,(男)非労働力人口総数,(男)非労働力人口総数のうち、家事,(男)非労働力人口総数のうち、通学,(男)非労働力人口総数のうち、その他,(女)15歳以上人口総数,(女)労働力人口総数,(女)労働力人口のうち、就業者総数,(女)就業者総数のうち、主に仕事,(女)就業者総数のうち、家事のほか仕事,(女)就業者総数のうち、通学のかたわら仕事,(女)就業者総数のうち、休業者,(女)完全失業者,(女)非労働力人口総数,(女)非労働力人口総数のうち、家事,(女)非労働力人口総数のうち、通学,(女)非労働力人口総数のうち、その他
052124,秋田県,大仙市,協和地域,2010,7117,3675,3390,2995,355,4,36,285,3393,1252,276,1865,3291,2108,1900,1839,41,-,20,208,1155,166,150,839,3826,1567,1490,1156,314,4,16,77,2238,1086,126,1026
052124,秋田県,大仙市,南外地域,2010,3660,2150,2023,1754,247,2,20,127,1507,661,153,693,1689,1237,1145,1085,43,2,15,92,451,79,72,300,1971,913,878,669,204,-,5,35,1056,582,81,393
052124,秋田県,大仙市,仙北地域,2010,6619,3955,3671,3190,447,5,29,284,2647,1260,236,1151,3064,2258,2059,1972,68,1,18,199,798,151,120,527,3555,1697,1612,1218,379,4,11,85,1849,1109,116,624
052124,秋田県,大仙市,太田地域,2010,6135,3746,3544,3060,450,1,33,202,2387,1065,248,1074,2806,2090,1963,1886,61,-,16,127,716,154,118,444,3329,1656,1581,1174,389,1,17,75,1671,911,130,630
052124,秋田県,大仙市,全域,2005,82118,49331,46719,39733,6385,85,516,2612,32771,12505,3820,16446,38139,28102,26333,25310,680,45,298,1769,10035,834,1980,7221,43979,21229,20386,14423,5705,40,218,843,22736,11671,1840,9225
052124,秋田県,大仙市,大曲地域,2005,32913,19636,18410,15882,2247,33,248,1226,13269,5358,1475,6436,15290,11287,10477,10137,194,17,129,810,4002,275,799,2928,17623,8349,7933,5745,2053,16,119,416,9267,5083,676,3508
052124,秋田県,大仙市,神岡地域,2005,5112,3115,2964,2486,448,2,28,151,1997,726,285,986,2294,1708,1609,1557,37,-,15,99,586,41,134,411,2818,1407,1355,929,411,2,13,52,1411,685,151,575
052124,秋田県,大仙市,西仙北地域,2005,9066,5341,5130,4257,804,6,63,211,3724,1379,450,1895,4220,3067,2913,2772,97,1,43,154,1153,99,235,819,4846,2274,2217,1485,707,5,20,57,2571,1280,215,1076
052124,秋田県,大仙市,中仙地域,2005,9984,6238,5986,5013,913,16,44,252,3744,1339,419,1986,4673,3508,3333,3187,108,11,27,175,1165,117,228,820,5311,2730,2653,1826,805,5,17,77,2579,1222,191,1166
052124,秋田県,大仙市,協和地域,2005,7835,4300,4027,3434,541,16,36,273,3535,1131,385,2019,3615,2431,2236,2135,67,9,25,195,1184,90,192,902,4220,1869,1791,1299,474,7,11,78,2351,1041,193,1117
052124,秋田県,大仙市,南外地域,2005,3946,2408,2307,1925,356,3,23,101,1537,586,195,756,1845,1398,1329,1263,47,1,18,69,447,31,87,329,2101,1010,978,662,309,2,5,32,1090,555,108,427
052124,秋田県,大仙市,仙北地域,2005,6858,4166,3945,3398,504,4,39,221,2692,1124,333,1235,3210,2404,2258,2171,61,3,23,146,806,101,163,542,3648,1762,1687,1227,443,1,16,75,1886,1023,170,693
052124,秋田県,大仙市,太田地域,2005,6404,4127,3950,3338,572,5,35,177,2273,862,278,1133,2992,2299,2178,2088,69,3,18,121,692,80,142,470,3412,1828,1772,1250,503,2,17,56,1581,782,136,663
