市町村コード,都道府県名,市町村名,地域,年,1月（人）,2月（人）,3月（人）,4月（人）,5月（人）,6月（人）,7月（人）,8月（人）,9月（人）,10月（人）,11月（人）,12月（人）,計（人）
052124,秋田県,大仙市,西仙北地域,2010（平成22）,10,14,10,12,10,9,10,14,10,10,11,10,130
052124,秋田県,大仙市,西仙北地域,2011（平成23）,9,16,5,6,9,8,9,14,10,10,9,8,113
052124,秋田県,大仙市,西仙北地域,2012（平成24）,10,15,8,8,10,10,11,19,10,9,9,9,128
052124,秋田県,大仙市,西仙北地域,2013（平成25）,9,16,8,11,10,10,10,18,10,8,9,9,128
052124,秋田県,大仙市,西仙北地域,2014（平成26）,9,16,8,10,9,8,9,18,9,7,8,8,119
052124,秋田県,大仙市,西仙北地域,2015（平成27）,8,15,8,10,9,8,8,16,9,8,9,7,119
052124,秋田県,大仙市,西仙北地域,2016（平成28）,9,16,7,10,8,7,9,16,9,9,7,7,114
052124,秋田県,大仙市,西仙北地域,2017（平成29）,7,14,7,9,7,7,8,14,8,7,6,6,105
052124,秋田県,大仙市,西仙北地域,2018（平成30）,7,13,7,8,8,6,10,15,11,6,5,6,108
052124,秋田県,大仙市,西仙北地域,2019（平成31）,6,15,7,8,8,6,6,14,7,6,7,6,101
052124,秋田県,大仙市,西仙北地域,2020（令和2）,7,14,5,3,3,4,5,7,8,8,8,8,86
052124,秋田県,大仙市,西仙北地域,2021（令和3）,5,5,5,6,7,7,7,9,7,8,9,9,89
052124,秋田県,大仙市,中仙地域,2005（平成17）,9,10,11,36,55,19,21,92,31,50,15,10,363
052124,秋田県,大仙市,中仙地域,2006（平成18）,9,7,10,37,52,18,21,84,29,54,15,11,350
052124,秋田県,大仙市,中仙地域,2007（平成19）,10,8,10,43,44,28,18,66,30,61,14,10,348
052124,秋田県,大仙市,中仙地域,2008（平成20）,9,10,11,41,30,17,18,97,28,58,15,11,345
052124,秋田県,大仙市,中仙地域,2009（平成21）,9,10,10,28,26,18,18,90,25,49,14,9,306
052124,秋田県,大仙市,中仙地域,2010（平成22）,8,8,10,20,39,18,20,81,29,50,15,10,308
052124,秋田県,大仙市,中仙地域,2011（平成23）,7,9,9,15,31,18,20,80,29,35,17,10,280
052124,秋田県,大仙市,中仙地域,2012（平成24）,8,9,12,18,32,18,18,60,30,29,17,9,260
052124,秋田県,大仙市,中仙地域,2013（平成25）,8,9,12,20,39,22,19,75,35,29,20,10,298
052124,秋田県,大仙市,中仙地域,2014（平成26）,9,9,11,31,27,20,18,74,36,31,16,9,291
052124,秋田県,大仙市,中仙地域,2015（平成27）,9,9,11,26,27,20,19,75,37,33,16,10,298
052124,秋田県,大仙市,中仙地域,2016（平成28）,10,11,12,41,30,21,19,77,35,37,15,10,318
052124,秋田県,大仙市,中仙地域,2017（平成29）,9,8,11,40,33,17,18,77,29,33,13,9,302
052124,秋田県,大仙市,中仙地域,2018（平成30）,10,9,12,38,31,17,18,61,29,34,15,9,288
