年度,産業大分類,民営事業所数(所),従業者数(人),うち男性(人),1～4人の事業所数(所),従業者数(人),うち男性(人),5～9人の事業所数(所),従業者数(人),うち男性(人),10～19人の事業所数(所),従業者数(人),うち男性(人),20～29人の事業所数(所),従業者数(人),うち男性(人),30人以上の事業所数(所),従業者数(人),うち男性(人),出向・派遣従業者のみの事業所(所),従業者数(人),うち男性(人),,,,,,
2012,漁業,3,31,30,1,2,2,-,-,-,2,29,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,非農林漁業(S公務を除く),4351,33259,17557,2714,5502,2688,825,5413,2921,460,6206,3535,162,3864,2161,103,3881,2192,62,4378,2137,19,4015,1923,6,-,-
2012,鉱業，採石業，砂利採取業,7,82,70,3,9,6,-,-,-,2,24,20,2,49,44,-,-,-,-,-,-,-,-,-,-,-,-
2012,建設業,550,4509,3883,271,617,509,141,918,762,82,1134,979,35,844,748,15,540,481,5,353,310,1,103,94,-,-,-
2012,製造業,361,5747,3119,139,318,208,78,532,287,64,896,487,32,767,310,23,882,516,20,1503,667,5,849,644,-,-,-
2012,電気・ガス・熱供給・水道業,4,184,170,1,3,1,-,-,-,-,-,-,-,-,-,1,32,31,2,149,138,-,-,-,-,-,-
2012,情報通信業,15,94,56,7,17,13,5,30,19,3,47,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,運輸業，郵便業,89,1184,1038,26,68,56,19,133,109,21,282,249,14,337,307,6,236,207,2,128,110,-,-,-,1,-,-
2012,卸売業，小売業,1246,7384,3482,824,1785,830,252,1631,848,116,1483,809,20,484,249,16,587,336,13,932,281,3,482,129,2,-,-
2012,金融業，保険業,77,631,249,29,58,35,31,204,100,8,102,33,6,149,29,3,118,52,-,-,-,-,-,-,-,-,-
2012,不動産業，物品賃貸業,107,366,221,86,169,99,12,72,53,6,86,57,-,-,-,1,39,12,-,-,-,-,-,-,-,-,-
2012,学術研究，専門・技術サービス業,132,755,499,89,195,129,25,168,92,14,185,130,-,-,-,2,75,55,2,132,93,-,-,-,-,-,-
2012,宿泊業，飲食サービス業,493,2446,794,347,749,239,90,567,146,33,435,168,13,290,123,9,325,102,1,80,16,-,-,-,-,-,-
2012,生活関連サービス業，娯楽業,599,1744,657,525,759,140,37,234,93,25,390,193,9,216,115,2,81,57,1,64,59,-,-,-,-,-,-
2012,教育，学習支援業,71,203,157,52,80,27,11,76,30,5,58,33,2,50,44,1,38,23,-,-,-,-,-,-,-,-,-
2012,医療，福祉,253,5034,1226,71,151,60,71,502,130,57,762,132,23,534,94,13,538,104,11,671,190,7,1876,516,-,-,-
2012,複合サービス事業,57,761,451,31,88,31,13,88,51,4,47,30,2,49,34,5,181,101,1,98,72,1,210,132,-,-,-
2012,サービス業(他に分類されないもの),290,2036,1485,213,436,305,40,258,201,20,275,191,4,95,64,6,209,115,4,268,201,2,495,408,1,-,-
2014,全産業,4394,33714,17822,2700,5440,2682,823,5397,2962,511,6801,3767,166,4004,2189,110,4161,2348,62,4291,2077,17,3620,1797,5,-,-
2014,農林漁業,82,935,745,21,56,44,22,155,114,27,384,312,10,237,188,1,45,44,1,58,43,-,-,-,-,-,-
2014,農業，林業,79,904,715,20,53,41,22,155,114,25,356,285,10,237,188,1,45,44,1,58,43,-,-,-,-,-,-
2014,漁業,3,31,30,1,3,3,-,-,-,2,28,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,非農林漁業(S公務を除く),4312,32779,17077,2679,5384,2638,801,5242,2848,484,6417,3455,156,3767,2001,109,4116,2304,61,4233,2034,17,3620,1797,5,-,-
2014,鉱業，採石業，砂利採取業,6,68,59,3,10,9,1,7,5,1,18,16,-,-,-,1,333,29,-,-,-,-,-,-,-,-,-
2014,建設業,540,4142,3569,270,603,490,138,891,760,84,1131,974,32,752,668,12,473,422,4,292,255,-,-,-,-,-,-
2014,製造業,359,5308,2990,150,351,225,76,531,299,59,807,433,24,572,285,25,920,493,20,1373,643,5,754,612,-,-,-
2014,電気・ガス・熱供給・水道業,4,179,164,1,4,2,-,-,-,-,-,-,-,-,-,1,31,30,2,144,132,-,-,-,-,-,-
2014,情報通信業,15,55,39,11,24,16,3,18,11,1,13,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,運輸業，郵便業,83,1101,964,23,47,34,21,141,122,18,234,203,10,224,203,9,342,306,2,113,96,-,-,-,-,-,-
2014,卸売業，小売業,1208,7427,3586,766,1656,790,253,1616,809,133,1706,927,24,617,300,14,503,349,14,1025,335,2,304,76,2,-,-
2014,金融業，保険業,65,551,239,26,54,33,26,181,101,6,85,22,4,103,12,2,62,13,1,66,58,-,-,-,-,-,-
2014,不動産業，物品賃貸業,99,423,227,77,150,85,12,73,47,4,49,13,2,46,32,3,105,50,-,-,-,-,-,-,1,-,-
2014,学術研究，専門・技術サービス業,129,747,479,86,184,117,26,176,110,13,172,108,-,-,-,2,77,57,2,138,87,-,-,-,-,-,-
2014,宿泊業，飲食サービス業,496,2462,821,344,706,227,92,576,189,38,494,193,15,354,99,6,238,90,1,94,23,-,-,-,-,-,-
2014,生活関連サービス業，娯楽業,594,1677,577,524,753,147,29,187,76,28,394,176,11,262,139,2,81,39,-,-,-,-,-,-,-,-,-
2014,教育，学習支援業,72,293,140,52,84,29,10,67,21,8,93,56,2,49,34,-,-,-,-,-,-,-,-,-,-,-,-
2014,医療，福祉,296,5570,1341,89,202,89,68,480,121,74,1011,183,26,643,116,24,947,206,10,680,201,5,1607,425,-,-,-
2014,複合サービス事業,64,920,566,33,96,37,19,123,49,3,33,22,2,52,29,3,108,60,2,139,79,2,369,290,-,-,-
2014,サービス業(他に分類されないもの),282,1856,1316,224,460,308,27,175,128,14,177,117,4,93,84,5,196,160,3,169,125,3,586,394,2,-,-
2014,公務(他に分類されるものを除く）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016,全産業,4220,33692,17659,2552,5172,2583,791,5232,2869,509,6881,3857,156,3689,1983,116,4350,2385,62,4271,2007,19,4097,1975,,,
2016,農林漁業,86,888,694,20,50,41,33,237,180,23,325,254,6,132,99,4,144,120,-,-,-,-,-,-,,,
