市町村コード,都道府県名,市町村名,年度,財源区分,歳入項目,決算額（千円）
052124,秋田県,大仙市,2008(平成20）,依存財源,国庫支出金,4145629
052124,秋田県,大仙市,2008(平成20）,依存財源,県支出金,2645838
052124,秋田県,大仙市,2008(平成20）,依存財源,市債,4415092
052124,秋田県,大仙市,2009(平成21）,自主財源,市税,7976008
052124,秋田県,大仙市,2009(平成21）,自主財源,分担金・負担金,361319
052124,秋田県,大仙市,2009(平成21）,自主財源,使用料・手数料,477753
052124,秋田県,大仙市,2009(平成21）,自主財源,財産収入,71212
052124,秋田県,大仙市,2009(平成21）,自主財源,寄付金（含む繰入金),193719
052124,秋田県,大仙市,2009(平成21）,自主財源,繰越金,1021464
052124,秋田県,大仙市,2009(平成21）,自主財源,諸収入,1507180
052124,秋田県,大仙市,2009(平成21）,依存財源,地方譲与税,904784
052124,秋田県,大仙市,2009(平成21）,依存財源,利子割交付金,28218
052124,秋田県,大仙市,2009(平成21）,依存財源,配当割交付金,5219
052124,秋田県,大仙市,2009(平成21）,依存財源,株式等譲渡取得割交付金,1948
052124,秋田県,大仙市,2009(平成21）,依存財源,法人事業税交付金,
052124,秋田県,大仙市,2009(平成21）,依存財源,地方消費税交付金,868275
052124,秋田県,大仙市,2009(平成21）,依存財源,ゴルフ場利用税交付金,19247
052124,秋田県,大仙市,2009(平成21）,依存財源,自動車取得税交付金,182093
052124,秋田県,大仙市,2009(平成21）,依存財源,環境性能割交付金,
052124,秋田県,大仙市,2009(平成21）,依存財源,地方特例交付金,117119
052124,秋田県,大仙市,2009(平成21）,依存財源,地方交付税,19702780
052124,秋田県,大仙市,2009(平成21）,依存財源,交通安全対策特別交付金,19862
052124,秋田県,大仙市,2009(平成21）,依存財源,国庫支出金,6992113
052124,秋田県,大仙市,2009(平成21）,依存財源,県支出金,2900913
052124,秋田県,大仙市,2009(平成21）,依存財源,市債,5144819
052124,秋田県,大仙市,2010(平成22）,自主財源,市税,7850450
052124,秋田県,大仙市,2010(平成22）,自主財源,分担金・負担金,357214
052124,秋田県,大仙市,2010(平成22）,自主財源,使用料・手数料,473838
052124,秋田県,大仙市,2010(平成22）,自主財源,財産収入,77785
052124,秋田県,大仙市,2010(平成22）,自主財源,寄付金（含む繰入金),108388
052124,秋田県,大仙市,2010(平成22）,自主財源,繰越金,927977
052124,秋田県,大仙市,2010(平成22）,自主財源,諸収入,1854876
052124,秋田県,大仙市,2010(平成22）,依存財源,地方譲与税,880949
052124,秋田県,大仙市,2010(平成22）,依存財源,利子割交付金,23575
052124,秋田県,大仙市,2010(平成22）,依存財源,配当割交付金,7321
052124,秋田県,大仙市,2010(平成22）,依存財源,株式等譲渡取得割交付金,1772
052124,秋田県,大仙市,2010(平成22）,依存財源,法人事業税交付金,
052124,秋田県,大仙市,2010(平成22）,依存財源,地方消費税交付金,866783
052124,秋田県,大仙市,2010(平成22）,依存財源,ゴルフ場利用税交付金,16459
052124,秋田県,大仙市,2010(平成22）,依存財源,自動車取得税交付金,165249
052124,秋田県,大仙市,2010(平成22）,依存財源,環境性能割交付金,
052124,秋田県,大仙市,2010(平成22）,依存財源,地方特例交付金,145768
052124,秋田県,大仙市,2010(平成22）,依存財源,地方交付税,21006636
052124,秋田県,大仙市,2010(平成22）,依存財源,交通安全対策特別交付金,19171
052124,秋田県,大仙市,2010(平成22）,依存財源,国庫支出金,7999571
052124,秋田県,大仙市,2010(平成22）,依存財源,県支出金,2576710
052124,秋田県,大仙市,2010(平成22）,依存財源,市債,5553672
052124,秋田県,大仙市,2011(平成23）,自主財源,市税,7816041
052124,秋田県,大仙市,2011(平成23）,自主財源,分担金・負担金,309642
052124,秋田県,大仙市,2011(平成23）,自主財源,使用料・手数料,494791
052124,秋田県,大仙市,2011(平成23）,自主財源,財産収入,89127
052124,秋田県,大仙市,2011(平成23）,自主財源,寄付金（含む繰入金),419173
052124,秋田県,大仙市,2011(平成23）,自主財源,繰越金,972054
052124,秋田県,大仙市,2011(平成23）,自主財源,諸収入,1949679
052124,秋田県,大仙市,2011(平成23）,依存財源,地方譲与税,860010
052124,秋田県,大仙市,2011(平成23）,依存財源,利子割交付金,19021
052124,秋田県,大仙市,2011(平成23）,依存財源,配当割交付金,7329
052124,秋田県,大仙市,2011(平成23）,依存財源,株式等譲渡取得割交付金,1404
052124,秋田県,大仙市,2011(平成23）,依存財源,法人事業税交付金,
052124,秋田県,大仙市,2011(平成23）,依存財源,地方消費税交付金,842609
052124,秋田県,大仙市,2011(平成23）,依存財源,ゴルフ場利用税交付金,17011
052124,秋田県,大仙市,2011(平成23）,依存財源,自動車取得税交付金,130768
052124,秋田県,大仙市,2011(平成23）,依存財源,環境性能割交付金,
052124,秋田県,大仙市,2011(平成23）,依存財源,地方特例交付金,128232
052124,秋田県,大仙市,2011(平成23）,依存財源,地方交付税,21760397
052124,秋田県,大仙市,2011(平成23）,依存財源,交通安全対策特別交付金,18485
052124,秋田県,大仙市,2011(平成23）,依存財源,国庫支出金,5816266
052124,秋田県,大仙市,2011(平成23）,依存財源,県支出金,2992943
052124,秋田県,大仙市,2011(平成23）,依存財源,市債,3638682
052124,秋田県,大仙市,2012(平成24）,自主財源,市税,7799329
052124,秋田県,大仙市,2012(平成24）,自主財源,分担金・負担金,296502
052124,秋田県,大仙市,2012(平成24）,自主財源,使用料・手数料,474650
052124,秋田県,大仙市,2012(平成24）,自主財源,財産収入,53236
052124,秋田県,大仙市,2012(平成24）,自主財源,寄付金（含む繰入金),244060
052124,秋田県,大仙市,2012(平成24）,自主財源,繰越金,967369
052124,秋田県,大仙市,2012(平成24）,自主財源,諸収入,2002060
052124,秋田県,大仙市,2012(平成24）,依存財源,地方譲与税,807943
052124,秋田県,大仙市,2012(平成24）,依存財源,利子割交付金,17980
052124,秋田県,大仙市,2012(平成24）,依存財源,配当割交付金,7605
052124,秋田県,大仙市,2012(平成24）,依存財源,株式等譲渡取得割交付金,1689
052124,秋田県,大仙市,2012(平成24）,依存財源,法人事業税交付金,
052124,秋田県,大仙市,2012(平成24）,依存財源,地方消費税交付金,833774
052124,秋田県,大仙市,2012(平成24）,依存財源,ゴルフ場利用税交付金,16516
052124,秋田県,大仙市,2012(平成24）,依存財源,自動車取得税交付金,197666
052124,秋田県,大仙市,2012(平成24）,依存財源,環境性能割交付金,
052124,秋田県,大仙市,2012(平成24）,依存財源,地方特例交付金,26251
052124,秋田県,大仙市,2012(平成24）,依存財源,地方交付税,21665579
052124,秋田県,大仙市,2012(平成24）,依存財源,交通安全対策特別交付金,18071
052124,秋田県,大仙市,2012(平成24）,依存財源,国庫支出金,4584370
052124,秋田県,大仙市,2012(平成24）,依存財源,県支出金,2905339
052124,秋田県,大仙市,2012(平成24）,依存財源,市債,3804806
052124,秋田県,大仙市,2013(平成25）,自主財源,市税,7922445
052124,秋田県,大仙市,2013(平成25）,自主財源,分担金・負担金,274835
052124,秋田県,大仙市,2013(平成25）,自主財源,使用料・手数料,487574
052124,秋田県,大仙市,2013(平成25）,自主財源,財産収入,70516
052124,秋田県,大仙市,2013(平成25）,自主財源,寄付金（含む繰入金),172885
052124,秋田県,大仙市,2013(平成25）,自主財源,繰越金,854582
052124,秋田県,大仙市,2013(平成25）,自主財源,諸収入,1916182
052124,秋田県,大仙市,2013(平成25）,依存財源,地方譲与税,771424
052124,秋田県,大仙市,2013(平成25）,依存財源,利子割交付金,16771
052124,秋田県,大仙市,2013(平成25）,依存財源,配当割交付金,18465
052124,秋田県,大仙市,2013(平成25）,依存財源,株式等譲渡取得割交付金,20562
052124,秋田県,大仙市,2013(平成25）,依存財源,法人事業税交付金,
052124,秋田県,大仙市,2013(平成25）,依存財源,地方消費税交付金,826668
052124,秋田県,大仙市,2013(平成25）,依存財源,ゴルフ場利用税交付金,14230
052124,秋田県,大仙市,2013(平成25）,依存財源,自動車取得税交付金,157489
052124,秋田県,大仙市,2013(平成25）,依存財源,環境性能割交付金,
052124,秋田県,大仙市,2013(平成25）,依存財源,地方特例交付金,25944
052124,秋田県,大仙市,2013(平成25）,依存財源,地方交付税,21496379
052124,秋田県,大仙市,2013(平成25）,依存財源,交通安全対策特別交付金,18189
052124,秋田県,大仙市,2013(平成25）,依存財源,国庫支出金,8551434
052124,秋田県,大仙市,2013(平成25）,依存財源,県支出金,3914592
052124,秋田県,大仙市,2013(平成25）,依存財源,市債,5684458
052124,秋田県,大仙市,2014(平成26）,自主財源,市税,7947979
052124,秋田県,大仙市,2014(平成26）,自主財源,分担金・負担金,234018
052124,秋田県,大仙市,2014(平成26）,自主財源,使用料・手数料,461503
052124,秋田県,大仙市,2014(平成26）,自主財源,財産収入,76395
052124,秋田県,大仙市,2014(平成26）,自主財源,寄付金（含む繰入金),292401
052124,秋田県,大仙市,2014(平成26）,自主財源,繰越金,901138
052124,秋田県,大仙市,2014(平成26）,自主財源,諸収入,1594171
052124,秋田県,大仙市,2014(平成26）,依存財源,地方譲与税,739282
052124,秋田県,大仙市,2014(平成26）,依存財源,利子割交付金,13178
052124,秋田県,大仙市,2014(平成26）,依存財源,配当割交付金,35051
052124,秋田県,大仙市,2014(平成26）,依存財源,株式等譲渡取得割交付金,15250
052124,秋田県,大仙市,2014(平成26）,依存財源,法人事業税交付金,
052124,秋田県,大仙市,2014(平成26）,依存財源,地方消費税交付金,1001821
052124,秋田県,大仙市,2014(平成26）,依存財源,ゴルフ場利用税交付金,14834
052124,秋田県,大仙市,2014(平成26）,依存財源,自動車取得税交付金,92994
052124,秋田県,大仙市,2014(平成26）,依存財源,環境性能割交付金,
052124,秋田県,大仙市,2014(平成26）,依存財源,地方特例交付金,26519
052124,秋田県,大仙市,2014(平成26）,依存財源,地方交付税,21197387
052124,秋田県,大仙市,2014(平成26）,依存財源,交通安全対策特別交付金,16395
052124,秋田県,大仙市,2014(平成26）,依存財源,国庫支出金,5764497
052124,秋田県,大仙市,2014(平成26）,依存財源,県支出金,3375704
052124,秋田県,大仙市,2014(平成26）,依存財源,市債,5877912
052124,秋田県,大仙市,2015(平成27）,自主財源,市税,7814557
052124,秋田県,大仙市,2015(平成27）,自主財源,分担金・負担金,227051
052124,秋田県,大仙市,2015(平成27）,自主財源,使用料・手数料,453268
052124,秋田県,大仙市,2015(平成27）,自主財源,財産収入,132163
052124,秋田県,大仙市,2015(平成27）,自主財源,寄付金（含む繰入金),248527
052124,秋田県,大仙市,2015(平成27）,自主財源,繰越金,1129956
052124,秋田県,大仙市,2015(平成27）,自主財源,諸収入,1571609
052124,秋田県,大仙市,2015(平成27）,依存財源,地方譲与税,773787
052124,秋田県,大仙市,2015(平成27）,依存財源,利子割交付金,12483
052124,秋田県,大仙市,2015(平成27）,依存財源,配当割交付金,26670
052124,秋田県,大仙市,2015(平成27）,依存財源,株式等譲渡取得割交付金,18367
052124,秋田県,大仙市,2015(平成27）,依存財源,法人事業税交付金,
052124,秋田県,大仙市,2015(平成27）,依存財源,地方消費税交付金,1678409
052124,秋田県,大仙市,2015(平成27）,依存財源,ゴルフ場利用税交付金,15735
052124,秋田県,大仙市,2015(平成27）,依存財源,自動車取得税交付金,106995
052124,秋田県,大仙市,2015(平成27）,依存財源,環境性能割交付金,
052124,秋田県,大仙市,2015(平成27）,依存財源,地方特例交付金,27946
052124,秋田県,大仙市,2015(平成27）,依存財源,地方交付税,20586461
052124,秋田県,大仙市,2015(平成27）,依存財源,交通安全対策特別交付金,17269
052124,秋田県,大仙市,2015(平成27）,依存財源,国庫支出金,6047810
052124,秋田県,大仙市,2015(平成27）,依存財源,県支出金,4474209
052124,秋田県,大仙市,2015(平成27）,依存財源,市債,5195340
052124,秋田県,大仙市,2016(平成28）,自主財源,市税,7923691
052124,秋田県,大仙市,2016(平成28）,自主財源,分担金・負担金,193695
052124,秋田県,大仙市,2016(平成28）,自主財源,使用料・手数料,480311
052124,秋田県,大仙市,2016(平成28）,自主財源,財産収入,100230
052124,秋田県,大仙市,2016(平成28）,自主財源,寄付金（含む繰入金),705397
052124,秋田県,大仙市,2016(平成28）,自主財源,繰越金,1705832
052124,秋田県,大仙市,2016(平成28）,自主財源,諸収入,1455900
052124,秋田県,大仙市,2016(平成28）,依存財源,地方譲与税,764563
052124,秋田県,大仙市,2016(平成28）,依存財源,利子割交付金,10408
052124,秋田県,大仙市,2016(平成28）,依存財源,配当割交付金,12919
052124,秋田県,大仙市,2016(平成28）,依存財源,株式等譲渡取得割交付金,6845
052124,秋田県,大仙市,2016(平成28）,依存財源,法人事業税交付金,
052124,秋田県,大仙市,2016(平成28）,依存財源,地方消費税交付金,1492012
052124,秋田県,大仙市,2016(平成28）,依存財源,ゴルフ場利用税交付金,15018
052124,秋田県,大仙市,2016(平成28）,依存財源,自動車取得税交付金,121211
052124,秋田県,大仙市,2016(平成28）,依存財源,環境性能割交付金,
052124,秋田県,大仙市,2016(平成28）,依存財源,地方特例交付金,29845
052124,秋田県,大仙市,2016(平成28）,依存財源,地方交付税,19887832
052124,秋田県,大仙市,2016(平成28）,依存財源,交通安全対策特別交付金,15929
052124,秋田県,大仙市,2016(平成28）,依存財源,国庫支出金,5776432
052124,秋田県,大仙市,2016(平成28）,依存財源,県支出金,3673195
052124,秋田県,大仙市,2016(平成28）,依存財源,市債,3389209
052124,秋田県,大仙市,2017(平成29）,自主財源,市税,7993490
052124,秋田県,大仙市,2017(平成29）,自主財源,分担金・負担金,404658
052124,秋田県,大仙市,2017(平成29）,自主財源,使用料・手数料,453719
052124,秋田県,大仙市,2017(平成29）,自主財源,財産収入,87958
052124,秋田県,大仙市,2017(平成29）,自主財源,寄付金（含む繰入金),1732890
052124,秋田県,大仙市,2017(平成29）,自主財源,繰越金,1259785
052124,秋田県,大仙市,2017(平成29）,自主財源,諸収入,1670342
052124,秋田県,大仙市,2017(平成29）,依存財源,地方譲与税,760905
052124,秋田県,大仙市,2017(平成29）,依存財源,利子割交付金,13653
052124,秋田県,大仙市,2017(平成29）,依存財源,配当割交付金,18051
052124,秋田県,大仙市,2017(平成29）,依存財源,株式等譲渡取得割交付金,16883
052124,秋田県,大仙市,2017(平成29）,依存財源,法人事業税交付金,
052124,秋田県,大仙市,2017(平成29）,依存財源,地方消費税交付金,1565410
052124,秋田県,大仙市,2017(平成29）,依存財源,ゴルフ場利用税交付金,12805
052124,秋田県,大仙市,2017(平成29）,依存財源,自動車取得税交付金,151357
052124,秋田県,大仙市,2017(平成29）,依存財源,環境性能割交付金,
052124,秋田県,大仙市,2017(平成29）,依存財源,地方特例交付金,34749
052124,秋田県,大仙市,2017(平成29）,依存財源,地方交付税,19469098
052124,秋田県,大仙市,2017(平成29）,依存財源,交通安全対策特別交付金,13910
052124,秋田県,大仙市,2017(平成29）,依存財源,国庫支出金,6626658
052124,秋田県,大仙市,2017(平成29）,依存財源,県支出金,3531026
052124,秋田県,大仙市,2017(平成29）,依存財源,市債,4478498
052124,秋田県,大仙市,2018(平成30）,自主財源,市税,8088987
052124,秋田県,大仙市,2018(平成30）,自主財源,分担金・負担金,180244
052124,秋田県,大仙市,2018(平成30）,自主財源,使用料・手数料,458164
052124,秋田県,大仙市,2018(平成30）,自主財源,財産収入,90635
052124,秋田県,大仙市,2018(平成30）,自主財源,寄付金（含む繰入金),1250266
052124,秋田県,大仙市,2018(平成30）,自主財源,繰越金,1549332
052124,秋田県,大仙市,2018(平成30）,自主財源,諸収入,1371619
052124,秋田県,大仙市,2018(平成30）,依存財源,地方譲与税,785399
052124,秋田県,大仙市,2018(平成30）,依存財源,利子割交付金,12037
052124,秋田県,大仙市,2018(平成30）,依存財源,配当割交付金,12851
052124,秋田県,大仙市,2018(平成30）,依存財源,株式等譲渡取得割交付金,11551
052124,秋田県,大仙市,2018(平成30）,依存財源,法人事業税交付金,
052124,秋田県,大仙市,2018(平成30）,依存財源,地方消費税交付金,1601460
052124,秋田県,大仙市,2018(平成30）,依存財源,ゴルフ場利用税交付金,13239
052124,秋田県,大仙市,2018(平成30）,依存財源,自動車取得税交付金,159050
052124,秋田県,大仙市,2018(平成30）,依存財源,環境性能割交付金,
052124,秋田県,大仙市,2018(平成30）,依存財源,地方特例交付金,40139
052124,秋田県,大仙市,2018(平成30）,依存財源,地方交付税,18625282
052124,秋田県,大仙市,2018(平成30）,依存財源,交通安全対策特別交付金,11129
052124,秋田県,大仙市,2018(平成30）,依存財源,国庫支出金,5561837
052124,秋田県,大仙市,2018(平成30）,依存財源,県支出金,4215833
052124,秋田県,大仙市,2018(平成30）,依存財源,市債,5801051
052124,秋田県,大仙市,2019(令和1）,自主財源,市税,8094723
052124,秋田県,大仙市,2019(令和1）,自主財源,分担金・負担金,105557
052124,秋田県,大仙市,2019(令和1）,自主財源,使用料・手数料,459526
052124,秋田県,大仙市,2019(令和1）,自主財源,財産収入,86937
052124,秋田県,大仙市,2019(令和1）,自主財源,寄付金（含む繰入金),1115213
052124,秋田県,大仙市,2019(令和1）,自主財源,繰越金,1371850
