地域コード,市町村,地域,年次,総数(万円),食料品(万円),飲料・飼料(万円),繊維(万円),衣服(万円),木材・木製品(万円),家具・装備品(万円),パルプ・紙(万円),出版・印刷(万円),化学(万円),石油製品(万円),プラスチック(万円),ゴム製品(万円),皮革(万円),窯業・土石(万円),鉄鋼(万円),非鉄金属(万円),金属製品(万円),一般機械(万円),はん用機械(万円),生産用機械(万円),業務用機械(万円),電子部品(万円),電子部品・デバイス(万円),電気機械(万円),情報通信機械(万円),輸送機械(万円),精密機械(万円),その他(万円)
052124,大仙市,市内全域,2008年(平成20),"1,790,602","77,440","43,319","222,940",-,"38,384","8,669",-,"34,776",-,-,"57,663",-,"12,394","95,313",-,"25,087","167,713",-,-,"177,335","221,391",-,"414,322","26,133",-,-,-,"36,413"
052124,大仙市,市内全域,2009年(平成21),"1,440,979","69,932","38,166","197,354",-,"28,586","5,175",-,"31,453",-,-,"47,517",-,"11,333","82,852",-,"21,634","136,031",-,-,"138,598","165,944",-,"293,889","17,850","17,985","36,853",-,"42,308"
052124,大仙市,市内全域,2010年(平成22),"1,489,939","77,063","39,582","222,073",-,"27,060","2,278",-,"30,976",-,-,"45,466",-,"11,192","83,448",-,"23,656","149,742",-,-,"146,957","178,171",-,"265,943","20,591","24,026","43,429",-,"35,378"
052124,大仙市,市内全域,2011年(平成23),"1,466,950","99,967","41,321","220,846",-,"19,184","3,227",-,"39,140",-,-,"25,763",-,"13,197","65,377","9,140","22,782","123,680",-,-,"130,795","120,279",-,"345,877","27,981","20,266","50,629",-,"35,302"
052124,大仙市,市内全域,2012年(平成24),"1,410,169","72,389","41,311","217,179",-,"17,951",-,-,"33,102",-,-,"55,918",-,"11,207","77,691","8,132","23,093","142,178",-,-,"144,818","171,287",-,"265,814","17,896",-,"51,909",-,"34,122"
052124,大仙市,市内全域,2013年(平成25),"1,351,170","82,542","40,998","198,297",-,"19,398",-,-,"31,481",-,-,"68,777",-,"12,059","79,327","7,212",-,"149,947",-,-,"145,604","159,027",-,"182,712","19,605",-,"41,421",-,"33,400"
052124,大仙市,市内全域,2014年(平成26),"1,336,744","77,078","40,379","208,838",-,"18,905",-,-,"30,178",-,-,"49,804",-,"13,045","73,084","7,579",-,"160,405",-,-,"133,454","176,424",-,"175,416","19,373",-,"44,733",-,"39,029"
052124,大仙市,市内全域,2015年(平成27)/2016年(平成28),"1,195,323","80,989","36,989","198,528",-,"17,850",-,-,"19,497",-,-,"58,664",-,"15,120","70,087",-,-,"165,039",-,-,"134,139","167,686",-,"69,079","23,706",-,-,-,"37,123"
052124,大仙市,市内全域,2017年(平成29),"1,409,876","84,244","41,906","218,954",-,"23,382",-,-,"32,358",-,-,"52,099",-,"14,160","70,888","8,239",-,"182,149",-,-,"136,079","178,173",-,"170,689","29,583",-,"45,633",-,"38,742"
052124,大仙市,市内全域,2018年(平成30),"1,437,018","86,430","46,103","204,286",-,"22,114",-,-,"33,085",-,-,"50,984",-,"15,343","83,783","7,568",-,"177,347",-,-,"153,291","190,775",-,"179,870","27,849",-,"52,893",-,"31,328"
052124,大仙市,市内全域,2019年(平成31/令和1),"1,510,979","86,416","51,214","204,724",-,"19,908",-,-,"34,479",-,-,"52,060",-,"13,641","79,180","6,111",-,"177,219",-,-,"147,469","186,554",-,"259,107","20,332","33,128","51,988",-,"37,737"
