市町村コード,都道府県名,市町村名,年度,地域,総面積(km2),田(km2),畑(km2),宅地(km2),池沼(km2),山林(km2),原野(km2),雑種地・その他(km2)
05212,秋田県,大仙市,2005(平成17),市全域,866.68,190.11,23.56,24.36,2.57,266.27,45.90,313.91
05212,秋田県,大仙市,2006(平成18）,市全域,866.68,189.95,23.43,24.17,2.56,261.81,45.88,318.87
05212,秋田県,大仙市,2007(平成19）,市全域,866.67,189.98,23.31,24.41,2.56,262.91,45.51,318.00
05212,秋田県,大仙市,2008(平成20）,市全域,866.67,190.00,23.01,24.61,2.55,264.00,45.16,317.34
05212,秋田県,大仙市,2009(平成21）,市全域,866.67,189.81,22.91,25.00,2.56,263.52,44.75,318.12
05212,秋田県,大仙市,2010(平成22）,市全域,866.67,189.64,22.81,25.09,2.56,265.07,44.72,316.78
05212,秋田県,大仙市,2011(平成23）,市全域,866.67,189.56,22.51,25.22,2.55,266.58,44.38,315.87
05212,秋田県,大仙市,2012(平成24）,市全域,866.67,189.22,22.34,25.26,2.55,269.27,44.08,313.94
05212,秋田県,大仙市,2013(平成25）,市全域,866.67,189.21,22.33,25.38,2.55,269.45,44.01,313.74
05212,秋田県,大仙市,2014(平成26）,市全域,866.67,188.95,22.26,25.49,2.55,270.39,44.16,312.87
05212,秋田県,大仙市,2015(平成27）,市全域,866.77,188.87,22.21,25.63,2.55,273.01,43.82,310.68
05212,秋田県,大仙市,2016(平成28）,市全域,866.77,188.60,22.12,25.73,2.55,275.01,43.56,309.19
05212,秋田県,大仙市,2017(平成29）,市全域,866.77,188.57,22.07,25.87,2.55,275.88,43.32,308.51
05212,秋田県,大仙市,2018(平成30）,市全域,866.77,188.47,22.00,25.95,2.55,277.02,43.34,307.44
05212,秋田県,大仙市,2019(令和1）,市全域,866.79,188.17,21.96,26.14,2.55,278.14,43.28,306.55
05212,秋田県,大仙市,2020(令和2）,市全域,866.79,188.04,21.84,26.25,2.55,279.69,42.79,305.63
05212,秋田県,大仙市,2021(令和3）,市全域,866.79,187.91,22.02,26.33,2.55,280.70,42.37,304.91
05212,秋田県,大仙市,2005(平成17),大曲地域,104.69,38.84,5.23,8.35,0.31,9.07,9.94,32.95
05212,秋田県,大仙市,2006(平成18）,大曲地域,104.69,38.73,5.22,7.87,0.31,9.16,9.93,33.48
05212,秋田県,大仙市,2007(平成19）,大曲地域,104.68,38.75,5.22,7.99,0.30,9.14,9.82,33.46
05212,秋田県,大仙市,2008(平成20）,大曲地域,104.68,38.61,5.16,8.05,0.30,9.14,9.81,33.61
05212,秋田県,大仙市,2009(平成21）,大曲地域,104.68,38.58,5.13,8.31,0.30,9.34,9.74,33.28
05212,秋田県,大仙市,2010(平成22）,大曲地域,104.68,38.54,5.11,8.33,0.30,9.34,9.73,33.33
05212,秋田県,大仙市,2011(平成23）,大曲地域,104.68,38.45,4.83,8.41,0.30,9.19,9.41,34.08
05212,秋田県,大仙市,2012(平成24）,大曲地域,104.68,38.42,4.82,8.42,0.30,9.43,9.42,33.87
05212,秋田県,大仙市,2013(平成25）,大曲地域,104.68,38.46,4.82,8.48,0.30,9.43,9.32,33.86
05212,秋田県,大仙市,2014(平成26）,大曲地域,104.68,38.40,4.82,8.52,0.30,9.43,9.32,33.88
05212,秋田県,大仙市,2015(平成27）,大曲地域,104.69,38.39,4.80,8.57,0.30,9.43,9.31,33.89
05212,秋田県,大仙市,2016(平成28）,大曲地域,104.69,38.35,4.79,8.63,0.30,9.43,9.30,33.89
05212,秋田県,大仙市,2017(平成29）,大曲地域,104.69,38.29,4.78,8.69,0.30,9.43,9.30,33.90
05212,秋田県,大仙市,2018(平成30）,大曲地域,104.69,38.24,4.78,8.73,0.30,9.42,9.30,33.92
05212,秋田県,大仙市,2019(令和1）,大曲地域,104.69,38.22,4.78,8.77,0.30,9.41,9.30,33.91
05212,秋田県,大仙市,2020(令和2）,大曲地域,104.69,38.21,4.75,8.80,0.30,9.45,9.30,33.87
05212,秋田県,大仙市,2021(令和3）,大曲地域,104.69,38.20,4.74,8.82,0.30,9.45,9.30,33.87
05212,秋田県,大仙市,2005(平成17),神岡地域,35.16,14.13,1.74,1.88,0.26,5.29,4.95,6.91
05212,秋田県,大仙市,2006(平成18）,神岡地域,35.16,14.13,1.73,1.88,0.26,5.53,4.95,6.69
05212,秋田県,大仙市,2007(平成19）,神岡地域,35.16,14.11,1.72,1.88,0.26,5.53,4.95,6.71
05212,秋田県,大仙市,2008(平成20）,神岡地域,35.16,14.11,1.70,1.91,0.26,5.53,4.92,6.73
05212,秋田県,大仙市,2009(平成21）,神岡地域,35.16,14.11,1.70,1.92,0.26,5.53,4.92,6.73
05212,秋田県,大仙市,2010(平成22）,神岡地域,35.16,14.10,1.70,1.92,0.26,5.53,4.93,6.73
05212,秋田県,大仙市,2011(平成23）,神岡地域,35.16,14.10,1.69,1.93,0.26,5.52,4.94,6.73
