市町村コード,都道府県名,市町村名,地域,年度,専用住宅（件数）,専用住宅（面積）,共同住宅（件数）,共同住宅（面積）,併用住宅（件数）,併用住宅（面積）,その他（件数）,その他（面積）,総数（件数）,総数（面積）,新築（件数）,新築（面積）,増築（件数）,増築（面積）,改築その他（件数）,改築その他（面積）,木造（件数）,木造（面積）,鉄骨他（件数）,鉄骨他（面積）
052124,秋田県,大仙市,大曲地域,2007(平成19）,180 ,22504.56 ,27 ,19140.57 ,16 ,3234.72 ,80 ,226710.05 ,303 ,271589.90 ,212 ,195175.40 ,56 ,5124.44 ,35 ,71290.06 ,249 ,34187.22 ,54 ,237402.68 
052124,秋田県,大仙市,大曲地域,2008(平成20）,127 ,16337.40 ,33 ,10044.42 ,9 ,1496.05 ,62 ,12002.92 ,231 ,39880.79 ,183 ,34529.48 ,37 ,3396.89 ,11 ,1954.42 ,200 ,30437.56 ,31 ,9443.23 
052124,秋田県,大仙市,大曲地域,2009(平成21）,119 ,14802.10 ,15 ,3809.84 ,4 ,576.04 ,40 ,13567.59 ,178 ,32755.57 ,110 ,21343.88 ,34 ,2600.43 ,34 ,8811.26 ,153 ,21154.59 ,25 ,11600.98 
052124,秋田県,大仙市,大曲地域,2010(平成22）,131 ,18013.81 ,6 ,1319.78 ,6 ,1077.70 ,53 ,4577.85 ,196 ,24989.14 ,142 ,18403.20 ,31 ,3173.66 ,23 ,3412.28 ,180 ,23343.48 ,16 ,1645.66 
052124,秋田県,大仙市,大曲地域,2011(平成23）,141 ,19381.41 ,8 ,3049.34 ,6 ,897.02 ,73 ,63074.91 ,228 ,86402.68 ,187 ,80687.50 ,22 ,1224.50 ,19 ,4490.68 ,197 ,28510.82 ,31 ,57891.86 
052124,秋田県,大仙市,大曲地域,2012(平成24）,158 ,19634.27 ,21 ,5591.22 ,4 ,582.83 ,80 ,47235.66 ,263 ,73043.98 ,225 ,69459.39 ,27 ,2080.61 ,11 ,1503.98 ,228 ,30843.05 ,35 ,42200.93 
052124,秋田県,大仙市,大曲地域,2013(平成25）,168 ,23884.16 ,9 ,2311.05 ,8 ,1263.69 ,63 ,4552.87 ,248 ,32011.77 ,219 ,29321.35 ,19 ,1287.84 ,10 ,1402.58 ,236 ,31548.90 ,12 ,462.87 
052124,秋田県,大仙市,大曲地域,2014(平成26）,159 ,20397.81 ,32 ,11460.63 ,4 ,910.69 ,90 ,35523.70 ,285 ,68292.83 ,269 ,66814.81 ,13 ,931.41 ,3 ,546.61 ,242 ,34176.19 ,43 ,34116.64 
052124,秋田県,大仙市,大曲地域,2015(平成27）,154 ,21395.26 ,28 ,6503.26 ,5 ,705.36 ,62 ,20442.26 ,249 ,49046.14 ,222 ,40463.22 ,14 ,5050.59 ,13 ,3532.33 ,212 ,32123.05 ,37 ,16923.09 
052124,秋田県,大仙市,大曲地域,2016(平成28）,182 ,24039.81 ,17 ,4177.45 ,3 ,322.32 ,77 ,24545.13 ,279 ,53084.71 ,249 ,40868.80 ,23 ,10947.90 ,7 ,1268.01 ,235 ,36563.57 ,44 ,16521.14 
052124,秋田県,大仙市,大曲地域,2017(平成29）,150 ,19155.18 ,14 ,3116.71 ,3 ,589.91 ,74 ,27832.85 ,241 ,50694.65 ,220 ,46606.28 ,19 ,3403.47 ,2 ,684.90 ,198 ,26946.36 ,43 ,23748.29 
052124,秋田県,大仙市,大曲地域,2018(平成30）,202 ,26073.62 ,14 ,3166.59 ,2 ,321.54 ,67 ,16896.95 ,285 ,46458.70 ,269 ,43686.67 ,16 ,2772.03 ,0 ,0.00 ,241 ,35177.66 ,44 ,11281.04 
052124,秋田県,大仙市,大曲地域,2019(令和1）,219 ,24720.38 ,6 ,1850.89 ,2 ,268.55 ,38 ,19420.67 ,265 ,46260.49 ,210 ,39960.28 ,53 ,5697.63 ,2 ,602.58 ,224 ,32923.34 ,41 ,13337.15 
052124,秋田県,大仙市,大曲地域,2020(令和2）,201 ,22312.95 ,8 ,1889.62 ,1 ,79.49 ,26 ,16052.09 ,236 ,40334.15 ,188 ,26382.46 ,48 ,13951.69 ,0 ,0.00 ,202 ,25211.60 ,34 ,15122.55 
052124,秋田県,大仙市,大曲地域,2021(令和3）,213 ,24557.52 ,5 ,1616.46 ,1 ,76.43 ,40 ,6180.67 ,259 ,32431.08 ,204 ,27176.96 ,52 ,4425.63 ,3 ,828.49 ,225 ,27635.65 ,34 ,4795.43 
052124,秋田県,大仙市,神岡地域,2005(平成17),26 ,3175.64 ,1 ,339.52 ,0 ,0.00 ,15 ,3171.72 ,42 ,6686.88 ,22 ,4474.71 ,12 ,648.94 ,8 ,1563.23 ,35 ,4500.17 ,7 ,2186.71 
052124,秋田県,大仙市,神岡地域,2006(平成18）,33 ,4610.81 ,0 ,0.00 ,0 ,0.00 ,15 ,3141.46 ,48 ,7752.27 ,19 ,4559.92 ,16 ,975.30 ,13 ,2217.05 ,44 ,5082.90 ,4 ,2669.37 
052124,秋田県,大仙市,神岡地域,2007(平成19）,37 ,4990.96 ,2 ,451.44 ,2 ,295.68 ,10 ,3463.69 ,51 ,9201.77 ,34 ,7558.88 ,13 ,941.83 ,4 ,701.06 ,45 ,7966.15 ,6 ,1235.62 
052124,秋田県,大仙市,神岡地域,2008(平成20）,26 ,3463.93 ,0 ,0.00 ,0 ,0.00 ,9 ,1019.38 ,35 ,4483.31 ,12 ,1590.48 ,16 ,1655.27 ,7 ,1237.56 ,33 ,4317.60 ,2 ,165.71 
052124,秋田県,大仙市,神岡地域,2009(平成21）,26 ,4187.97 ,0 ,0.00 ,0 ,0.00 ,7 ,687.36 ,33 ,4875.33 ,12 ,1911.32 ,10 ,748.46 ,11 ,2215.55 ,31 ,4672.06 ,2 ,203.27 
052124,秋田県,大仙市,神岡地域,2010(平成22）,16 ,2614.17 ,0 ,0.00 ,0 ,0.00 ,7 ,429.22 ,23 ,3043.39 ,17 ,1996.80 ,2 ,100.00 ,4 ,946.59 ,23 ,3043.39 ,0 ,0.00 
052124,秋田県,大仙市,神岡地域,2011(平成23）,14 ,2150.62 ,0 ,0.00 ,0 ,0.00 ,10 ,849.59 ,24 ,3000.21 ,15 ,2085.51 ,3 ,136.30 ,6 ,778.40 ,22 ,2779.41 ,2 ,220.80 
052124,秋田県,大仙市,神岡地域,2012(平成24）,11 ,1332.85 ,1 ,148.73 ,0 ,0.00 ,9 ,568.30 ,21 ,2049.88 ,15 ,1408.10 ,2 ,66.10 ,4 ,575.68 ,20 ,2036.59 ,1 ,13.29 
052124,秋田県,大仙市,神岡地域,2013(平成25）,20 ,2697.05 ,0 ,0.00 ,0 ,0.00 ,14 ,508.34 ,34 ,3205.39 ,29 ,2683.47 ,4 ,310.76 ,1 ,211.16 ,28 ,3058.58 ,6 ,146.81 
052124,秋田県,大仙市,神岡地域,2014(平成26）,16 ,2264.92 ,0 ,0.00 ,0 ,0.00 ,9 ,1036.23 ,25 ,3301.15 ,21 ,2960.08 ,2 ,75.66 ,2 ,265.41 ,21 ,3007.16 ,4 ,293.99 
052124,秋田県,大仙市,神岡地域,2015(平成27）,14 ,1788.50 ,0 ,0.00 ,0 ,0.00 ,6 ,1449.04 ,20 ,3237.54 ,17 ,3051.86 ,3 ,185.68 ,0 ,0.00 ,18 ,3068.54 ,2 ,169.00 
052124,秋田県,大仙市,神岡地域,2016(平成28）,13 ,2034.25 ,0 ,0.00 ,1 ,257.82 ,13 ,1845.18 ,27 ,4137.25 ,25 ,3884.82 ,1 ,66.95 ,1 ,185.48 ,22 ,3665.21 ,5 ,472.04 
052124,秋田県,大仙市,神岡地域,2017(平成29）,19 ,2540.45 ,0 ,0.00 ,0 ,0.00 ,5 ,3097.97 ,24 ,5638.42 ,18 ,2276.97 ,5 ,3276.35 ,1 ,85.10 ,20 ,2493.94 ,4 ,3144.48 
052124,秋田県,大仙市,神岡地域,2018(平成30）,16 ,2246.96 ,0 ,0.00 ,1 ,20.29 ,8 ,1264.00 ,25 ,3531.25 ,23 ,3491.09 ,2 ,40.16 ,0 ,0.00 ,23 ,3318.44 ,2 ,212.81 
052124,秋田県,大仙市,神岡地域,2019(令和1）,16 ,1961.36 ,0 ,0.00 ,1 ,35.87 ,4 ,1175.95 ,21 ,3173.18 ,13 ,2713.34 ,8 ,459.84 ,0 ,0.00 ,16 ,1961.36 ,5 ,1211.82 
052124,秋田県,大仙市,神岡地域,2020(令和2）,18 ,2161.29 ,0 ,0.00 ,0 ,0.00 ,6 ,1052.57 ,24 ,3213.86 ,12 ,1767.30 ,12 ,1446.56 ,0 ,0.00 ,16 ,2114.76 ,8 ,1099.10 
052124,秋田県,大仙市,神岡地域,2021(令和3）,19 ,2044.49 ,0 ,0.00 ,0 ,0.00 ,4 ,6334.36 ,23 ,8378.85 ,11 ,1570.85 ,11 ,1984.45 ,1 ,4823.55 ,18 ,2030.39 ,5 ,6348.46 
052124,秋田県,大仙市,西仙北地域,2005(平成17),33 ,5137.38 ,0 ,0.00 ,2 ,320.71 ,25 ,3723.82 ,60 ,9181.91 ,27 ,4394.91 ,20 ,2679.43 ,13 ,2107.57 ,56 ,8137.80 ,4 ,1044.11 
052124,秋田県,大仙市,西仙北地域,2006(平成18）,37 ,7203.82 ,0 ,0.00 ,8 ,2206.57 ,20 ,2901.42 ,65 ,12311.81 ,43 ,9864.62 ,17 ,1083.87 ,5 ,1363.32 ,62 ,11440.44 ,3 ,871.37 
