市町村コード,都道府県名,市町村名,地域,年度,専用住宅（件数）,専用住宅（面積）,共同住宅（件数）,共同住宅（面積）,併用住宅（件数）,併用住宅（面積）,その他（件数）,その他（面積）,総数（件数）,総数（面積）,新築（件数）,新築（面積）,増築（件数）,増築（面積）,改築その他（件数）,改築その他（面積）,木造（件数）,木造（面積）,鉄骨他（件数）,鉄骨他（面積）
052124,秋田県,大仙市,協和地域,2017(平成29）,14 ,1861.91 ,0 ,0.00 ,0 ,0.00 ,8 ,8550.00 ,22 ,10411.91 ,19 ,10073.16 ,3 ,338.75 ,0 ,0.00 ,20 ,7300.44 ,2 ,3111.47 
052124,秋田県,大仙市,協和地域,2018(平成30）,8 ,1120.08 ,0 ,0.00 ,0 ,0.00 ,14 ,8676.02 ,22 ,9796.10 ,20 ,9251.83 ,2 ,544.27 ,0 ,0.00 ,14 ,2173.32 ,8 ,7622.78 
052124,秋田県,大仙市,協和地域,2019(令和1）,19 ,2372.23 ,0 ,0.00 ,0 ,0.00 ,7 ,586.45 ,26 ,2958.68 ,19 ,2467.46 ,7 ,491.22 ,0 ,0.00 ,24 ,2688.50 ,2 ,270.18 
052124,秋田県,大仙市,協和地域,2020(令和2）,26 ,3837.84 ,0 ,0.00 ,0 ,0.00 ,64 ,1823.77 ,90 ,5661.61 ,82 ,4804.42 ,7 ,336.66 ,1 ,520.53 ,33 ,4525.80 ,57 ,1135.81 
052124,秋田県,大仙市,協和地域,2021(令和3）,12 ,1520.14 ,0 ,0.00 ,0 ,0.00 ,10 ,4665.21 ,22 ,6185.35 ,13 ,3537.62 ,9 ,2647.73 ,0 ,0.00 ,15 ,1699.59 ,7 ,4485.76 
052124,秋田県,大仙市,南外地域,2005(平成17),7 ,554.98 ,0 ,0.00 ,0 ,0.00 ,12 ,800.91 ,19 ,1355.89 ,9 ,816.00 ,9 ,397.46 ,1 ,142.43 ,16 ,1276.05 ,3 ,79.84 
052124,秋田県,大仙市,南外地域,2006(平成18）,7 ,882.97 ,0 ,0.00 ,3 ,314.25 ,10 ,7877.59 ,20 ,9074.81 ,11 ,7620.10 ,6 ,1142.41 ,3 ,312.30 ,18 ,1578.93 ,2 ,7495.88 
052124,秋田県,大仙市,南外地域,2007(平成19）,5 ,786.30 ,0 ,0.00 ,2 ,264.93 ,9 ,9300.14 ,16 ,10351.37 ,13 ,10025.30 ,3 ,326.07 ,0 ,0.00 ,12 ,1401.77 ,4 ,8949.60 
052124,秋田県,大仙市,南外地域,2008(平成20）,8 ,1136.01 ,0 ,0.00 ,1 ,65.40 ,8 ,338.03 ,17 ,1539.44 ,7 ,757.42 ,7 ,494.73 ,3 ,287.29 ,17 ,1539.44 ,0 ,0.00 
052124,秋田県,大仙市,南外地域,2009(平成21）,9 ,1281.85 ,0 ,0.00 ,0 ,0.00 ,5 ,269.74 ,14 ,1551.59 ,8 ,648.16 ,2 ,281.26 ,4 ,622.17 ,12 ,1462.98 ,2 ,88.61 
052124,秋田県,大仙市,南外地域,2010(平成22）,7 ,859.29 ,0 ,0.00 ,1 ,150.30 ,8 ,443.14 ,16 ,1452.73 ,12 ,1085.86 ,4 ,366.87 ,0 ,0.00 ,16 ,1452.73 ,0 ,0.00 
052124,秋田県,大仙市,南外地域,2011(平成23）,9 ,1099.23 ,0 ,0.00 ,0 ,0.00 ,12 ,790.77 ,21 ,1890.00 ,13 ,1211.55 ,6 ,593.31 ,2 ,85.14 ,20 ,1814.01 ,1 ,75.99 
052124,秋田県,大仙市,南外地域,2012(平成24）,3 ,626.44 ,0 ,0.00 ,0 ,0.00 ,2 ,357.72 ,5 ,984.16 ,3 ,735.89 ,0 ,0.00 ,2 ,248.27 ,5 ,984.16 ,0 ,0.00 
052124,秋田県,大仙市,南外地域,2013(平成25）,8 ,1008.66 ,0 ,0.00 ,2 ,199.55 ,6 ,306.15 ,16 ,1514.36 ,11 ,1220.20 ,5 ,294.16 ,0 ,0.00 ,16 ,1514.36 ,0 ,0.00 
052124,秋田県,大仙市,南外地域,2014(平成26）,5 ,907.36 ,0 ,0.00 ,0 ,0.00 ,9 ,375.75 ,14 ,1283.11 ,13 ,1252.48 ,1 ,30.63 ,0 ,0.00 ,13 ,1212.70 ,1 ,70.41 
052124,秋田県,大仙市,南外地域,2015(平成27）,6 ,849.96 ,0 ,0.00 ,0 ,0.00 ,2 ,89.28 ,8 ,939.24 ,6 ,745.48 ,2 ,193.76 ,0 ,0.00 ,8 ,939.24 ,0 ,0.00 
052124,秋田県,大仙市,南外地域,2016(平成28）,6 ,761.09 ,0 ,0.00 ,0 ,0.00 ,4 ,309.09 ,10 ,1070.18 ,10 ,1070.18 ,0 ,0.00 ,0 ,0.00 ,9 ,912.65 ,1 ,157.53 
052124,秋田県,大仙市,南外地域,2017(平成29）,5 ,729.02 ,0 ,0.00 ,0 ,0.00 ,16 ,52113.40 ,21 ,52842.42 ,19 ,52292.67 ,2 ,549.75 ,0 ,0.00 ,19 ,52292.67 ,2 ,549.75 
052124,秋田県,大仙市,南外地域,2018(平成30）,3 ,450.89 ,0 ,0.00 ,0 ,0.00 ,5 ,270.39 ,8 ,721.28 ,8 ,721.28 ,0 ,0.00 ,0 ,0.00 ,6 ,682.59 ,2 ,38.69 
052124,秋田県,大仙市,南外地域,2019(令和1）,3 ,375.18 ,0 ,0.00 ,0 ,0.00 ,5 ,10012.98 ,8 ,10388.16 ,6 ,10231.30 ,2 ,156.86 ,0 ,0.00 ,6 ,10335.40 ,2 ,52.76 
052124,秋田県,大仙市,南外地域,2020(令和2）,11 ,1243.51 ,0 ,0.00 ,0 ,0.00 ,2 ,163.76 ,13 ,1407.27 ,7 ,908.12 ,6 ,499.15 ,0 ,0.00 ,11 ,1267.29 ,2 ,139.98 
052124,秋田県,大仙市,南外地域,2021(令和3）,2 ,190.29 ,0 ,0.00 ,0 ,0.00 ,2 ,189.65 ,4 ,379.94 ,3 ,256.19 ,1 ,123.75 ,0 ,0.00 ,3 ,314.04 ,1 ,65.90 
052124,秋田県,大仙市,仙北地域,2005(平成17),49 ,7069.72 ,3 ,1114.58 ,0 ,0.00 ,22 ,1604.22 ,74 ,9788.52 ,37 ,5218.43 ,21 ,2052.08 ,16 ,2518.01 ,72 ,9118.58 ,2 ,669.94 
052124,秋田県,大仙市,仙北地域,2006(平成18）,43 ,4180.83 ,0 ,0.00 ,2 ,102.53 ,17 ,2792.79 ,62 ,7076.15 ,23 ,3451.21 ,30 ,2544.23 ,9 ,1080.71 ,56 ,5653.80 ,6 ,1422.35 
052124,秋田県,大仙市,仙北地域,2007(平成19）,21 ,2676.86 ,1 ,328.30 ,1 ,130.54 ,19 ,2264.28 ,42 ,5399.98 ,17 ,2774.08 ,16 ,1613.18 ,9 ,1012.72 ,39 ,4685.47 ,3 ,714.51 
052124,秋田県,大仙市,仙北地域,2008(平成20）,27 ,4090.65 ,1 ,412.02 ,0 ,0.00 ,12 ,4992.52 ,40 ,9495.19 ,28 ,8117.75 ,7 ,613.87 ,5 ,763.57 ,34 ,5645.46 ,6 ,3849.73 
052124,秋田県,大仙市,仙北地域,2009(平成21）,15 ,2153.01 ,0 ,0.00 ,0 ,0.00 ,16 ,1415.80 ,31 ,3568.81 ,18 ,2000.60 ,7 ,847.26 ,6 ,720.95 ,25 ,2969.69 ,6 ,599.12 
052124,秋田県,大仙市,仙北地域,2010(平成22）,24 ,3657.81 ,0 ,0.00 ,0 ,0.00 ,13 ,764.34 ,37 ,4422.15 ,29 ,3721.24 ,3 ,169.28 ,5 ,531.63 ,35 ,4244.32 ,2 ,177.83 
052124,秋田県,大仙市,仙北地域,2011(平成23）,28 ,4196.02 ,1 ,338.78 ,0 ,0.00 ,22 ,6104.56 ,51 ,10639.36 ,35 ,8651.96 ,9 ,727.23 ,7 ,1260.17 ,49 ,10534.67 ,2 ,104.69 
052124,秋田県,大仙市,仙北地域,2012(平成24）,25 ,3299.79 ,0 ,0.00 ,4 ,219.02 ,15 ,1091.59 ,44 ,4610.40 ,34 ,3611.95 ,5 ,176.76 ,5 ,821.69 ,42 ,4318.45 ,2 ,291.95 
052124,秋田県,大仙市,仙北地域,2013(平成25）,32 ,4048.16 ,0 ,0.00 ,0 ,0.00 ,15 ,983.63 ,47 ,5031.79 ,41 ,4604.97 ,3 ,138.44 ,3 ,288.38 ,44 ,4802.68 ,3 ,229.11 
052124,秋田県,大仙市,仙北地域,2014(平成26）,17 ,2192.55 ,0 ,0.00 ,1 ,33.70 ,14 ,1184.03 ,32 ,3410.28 ,22 ,2486.35 ,6 ,467.53 ,4 ,456.40 ,30 ,2984.45 ,2 ,425.83 
052124,秋田県,大仙市,仙北地域,2015(平成27）,43 ,5935.41 ,0 ,0.00 ,0 ,0.00 ,16 ,3266.99 ,59 ,9202.40 ,58 ,9144.84 ,1 ,57.56 ,0 ,0.00 ,53 ,7520.32 ,6 ,1682.08 
052124,秋田県,大仙市,仙北地域,2016(平成28）,29 ,4019.63 ,0 ,0.00 ,1 ,208.76 ,11 ,1060.39 ,41 ,5288.78 ,34 ,4324.37 ,6 ,909.88 ,1 ,54.53 ,35 ,4483.80 ,6 ,804.98 
052124,秋田県,大仙市,仙北地域,2017(平成29）,29 ,3598.80 ,0 ,0.00 ,1 ,19.83 ,12 ,816.21 ,42 ,4434.84 ,36 ,4263.45 ,6 ,171.39 ,0 ,0.00 ,36 ,4110.51 ,6 ,324.33 
052124,秋田県,大仙市,仙北地域,2018(平成30）,34 ,4387.32 ,0 ,0.00 ,0 ,0.00 ,9 ,1498.08 ,43 ,5885.40 ,38 ,5597.15 ,5 ,288.25 ,0 ,0.00 ,39 ,4454.01 ,4 ,1431.39 
052124,秋田県,大仙市,仙北地域,2019(令和1）,19 ,2156.30 ,1 ,585.91 ,0 ,0.00 ,4 ,289.13 ,24 ,3031.34 ,16 ,2359.31 ,8 ,672.03 ,0 ,0.00 ,23 ,2989.82 ,1 ,41.52 
052124,秋田県,大仙市,仙北地域,2020(令和2）,20 ,2331.25 ,0 ,0.00 ,1 ,255.66 ,2 ,185.40 ,23 ,2772.31 ,11 ,1636.95 ,11 ,977.92 ,1 ,157.44 ,22 ,2705.89 ,1 ,66.42 
052124,秋田県,大仙市,仙北地域,2021(令和3）,24 ,2762.45 ,1 ,224.82 ,0 ,0.00 ,11 ,4359.41 ,36 ,7346.68 ,18 ,2188.41 ,17 ,4115.72 ,1 ,1042.55 ,31 ,3339.67 ,5 ,4007.01 
052124,秋田県,大仙市,太田地域,2005(平成17),24 ,3050.00 ,0 ,0.00 ,1 ,80.00 ,12 ,1485.00 ,37 ,4615.00 ,19 ,2972.00 ,18 ,1643.00 ,0 ,0.00 ,35 ,4309.00 ,2 ,306.00 
052124,秋田県,大仙市,太田地域,2006(平成18）,21 ,2823.42 ,0 ,0.00 ,0 ,0.00 ,15 ,1165.13 ,36 ,3988.55 ,18 ,1875.01 ,10 ,690.03 ,8 ,1423.51 ,33 ,3631.51 ,3 ,357.04 
052124,秋田県,大仙市,太田地域,2007(平成19）,18 ,3163.80 ,0 ,0.00 ,1 ,259.45 ,11 ,3323.93 ,30 ,6747.18 ,15 ,3172.75 ,9 ,2701.28 ,6 ,873.15 ,28 ,5100.99 ,2 ,1646.19 
052124,秋田県,大仙市,太田地域,2008(平成20）,7 ,1215.63 ,1 ,281.75 ,2 ,526.21 ,13 ,1521.03 ,23 ,3544.62 ,15 ,2182.07 ,6 ,927.95 ,2 ,434.60 ,23 ,3544.62 ,0 ,0.00 
052124,秋田県,大仙市,太田地域,2009(平成21）,17 ,2395.77 ,0 ,0.00 ,1 ,76.10 ,13 ,1698.02 ,31 ,4169.89 ,12 ,1893.74 ,11 ,1028.02 ,8 ,1248.13 ,28 ,3820.23 ,3 ,349.66 
052124,秋田県,大仙市,太田地域,2010(平成22）,13 ,1234.81 ,0 ,0.00 ,0 ,0.00 ,9 ,838.25 ,22 ,2073.06 ,11 ,1157.51 ,7 ,627.66 ,4 ,287.89 ,22 ,2073.06 ,0 ,0.00 
052124,秋田県,大仙市,太田地域,2011(平成23）,9 ,1197.35 ,0 ,0.00 ,1 ,364.81 ,7 ,764.47 ,17 ,2326.63 ,9 ,963.05 ,3 ,557.40 ,5 ,806.18 ,16 ,1961.82 ,1 ,364.81 
052124,秋田県,大仙市,太田地域,2012(平成24）,14 ,1888.72 ,0 ,0.00 ,1 ,42.14 ,11 ,994.49 ,26 ,2925.35 ,18 ,2295.33 ,5 ,144.31 ,3 ,485.71 ,26 ,2925.35 ,0 ,0.00 
052124,秋田県,大仙市,太田地域,2013(平成25）,17 ,2656.23 ,0 ,0.00 ,2 ,555.75 ,9 ,617.52 ,28 ,3829.50 ,25 ,3312.13 ,2 ,320.32 ,1 ,197.05 ,27 ,3779.63 ,1 ,49.87 
052124,秋田県,大仙市,太田地域,2014(平成26）,16 ,2486.38 ,0 ,0.00 ,1 ,82.05 ,7 ,448.40 ,24 ,3016.83 ,18 ,2272.33 ,4 ,307.60 ,2 ,436.90 ,24 ,3016.83 ,0 ,0.00 
052124,秋田県,大仙市,太田地域,2015(平成27）,14 ,2354.56 ,0 ,0.00 ,0 ,0.00 ,6 ,310.03 ,20 ,2664.59 ,19 ,2587.63 ,1 ,76.96 ,0 ,0.00 ,19 ,2535.93 ,1 ,128.66 
052124,秋田県,大仙市,太田地域,2016(平成28）,15 ,2053.45 ,0 ,0.00 ,0 ,0.00 ,4 ,608.42 ,19 ,2661.87 ,14 ,2052.92 ,4 ,446.64 ,1 ,162.31 ,17 ,2117.11 ,2 ,544.76 
052124,秋田県,大仙市,太田地域,2017(平成29）,11 ,1668.67 ,0 ,0.00 ,1 ,38.01 ,13 ,5328.75 ,25 ,7035.43 ,20 ,6330.66 ,5 ,704.77 ,0 ,0.00 ,19 ,2907.14 ,6 ,4128.29 
052124,秋田県,大仙市,太田地域,2018(平成30）,16 ,2317.18 ,0 ,0.00 ,0 ,0.00 ,8 ,3076.03 ,24 ,5393.21 ,18 ,4560.39 ,5 ,324.49 ,1 ,508.33 ,21 ,3721.83 ,3 ,1671.38 
052124,秋田県,大仙市,太田地域,2019(令和1）,19 ,2276.15 ,0 ,0.00 ,0 ,0.00 ,0 ,0.00 ,19 ,2276.15 ,7 ,1079.01 ,12 ,1197.14 ,0 ,0.00 ,17 ,2021.61 ,2 ,254.54 
052124,秋田県,大仙市,太田地域,2020(令和2）,7 ,831.23 ,0 ,0.00 ,0 ,0.00 ,4 ,871.46 ,11 ,1702.69 ,6 ,795.02 ,5 ,907.67 ,0 ,0.00 ,8 ,951.75 ,3 ,750.94 
052124,秋田県,大仙市,太田地域,2021(令和3）,8 ,888.52 ,0 ,0.00 ,0 ,0.00 ,3 ,280.85 ,11 ,1169.37 ,8 ,947.19 ,3 ,222.18 ,0 ,0.00 ,10 ,962.10 ,1 ,207.27 
