地域コード,都道府県,市町村,地域,地区,年次,総数(ha),田(ha),畑(ha),樹園地(ha)
052124,秋田県,大仙市,大曲地域,大川西根,2010(平成22),360,346,15,0
052124,秋田県,大仙市,大曲地域,藤木,2010(平成22),394,389,5,0
052124,秋田県,大仙市,大曲地域,四ツ屋,2010(平成22),791,753,38,0
052124,秋田県,大仙市,大曲地域,角間川,2010(平成22),211,206,5,0
052124,秋田県,大仙市,大曲地域,全域,2015(平成27),2891,2788,97,7
052124,秋田県,大仙市,大曲地域,大曲,2015(平成27),334,327,7,0
052124,秋田県,大仙市,大曲地域,花館,2015(平成27),314,294,16,5
052124,秋田県,大仙市,大曲地域,内小友,2015(平成27),570,550,19,1
052124,秋田県,大仙市,大曲地域,大川西根,2015(平成27),358,350,8,0
052124,秋田県,大仙市,大曲地域,藤木,2015(平成27),402,396,6,0
052124,秋田県,大仙市,大曲地域,四ツ屋,2015(平成27),743,709,34,0
052124,秋田県,大仙市,大曲地域,角間川,2015(平成27),169,161,7,0
052124,秋田県,大仙市,大曲地域,全域,2020(令和2),3293,3162,125,6
052124,秋田県,大仙市,大曲地域,大曲,2020(令和2),554 ,513,40,0
052124,秋田県,大仙市,大曲地域,花館,2020(令和2),360 ,342,14,5
052124,秋田県,大仙市,大曲地域,内小友,2020(令和2),610 ,593,16,1
052124,秋田県,大仙市,大曲地域,大川西根,2020(令和2),295 ,289,6,0
052124,秋田県,大仙市,大曲地域,藤木,2020(令和2),426 ,421,4,0
052124,秋田県,大仙市,大曲地域,四ツ屋,2020(令和2),744 ,706,38,0
052124,秋田県,大仙市,大曲地域,角間川,2020(令和2),304 ,298,6,0
052124,秋田県,大仙市,神岡地域,全域,1975(昭和50),1266,1148,115,3
052124,秋田県,大仙市,神岡地域,神宮寺,1975(昭和50),902,809,90,3
052124,秋田県,大仙市,神岡地域,北楢岡,1975(昭和50),364,339,24,0
052124,秋田県,大仙市,神岡地域,全域,1980(昭和55),1304,1192,111,2
052124,秋田県,大仙市,神岡地域,神宮寺,1980(昭和55),921,840,80,2
052124,秋田県,大仙市,神岡地域,北楢岡,1980(昭和55),383,353,31,0
052124,秋田県,大仙市,神岡地域,全域,1985(昭和60),1321,1217,102,2
052124,秋田県,大仙市,神岡地域,神宮寺,1985(昭和60),947,869,76,2
052124,秋田県,大仙市,神岡地域,北楢岡,1985(昭和60),375,349,26,0
052124,秋田県,大仙市,神岡地域,全域,1990(平成2),1275,1179,94,2
052124,秋田県,大仙市,神岡地域,神宮寺,1990(平成2),923,849,72,2
052124,秋田県,大仙市,神岡地域,北楢岡,1990(平成2),352,330,22,0
052124,秋田県,大仙市,神岡地域,全域,1995(平成7),1253,1161,90,2
052124,秋田県,大仙市,神岡地域,神宮寺,1995(平成7),906,835,70,2
052124,秋田県,大仙市,神岡地域,北楢岡,1995(平成7),347,327,20,0
052124,秋田県,大仙市,神岡地域,全域,2000(平成12),1280,1155,124,2
052124,秋田県,大仙市,神岡地域,神宮寺,2000(平成12),936,827,107,2
052124,秋田県,大仙市,神岡地域,北楢岡,2000(平成12),344,327,17,0
052124,秋田県,大仙市,神岡地域,全域,2005(平成17),1212,1139,71,1
052124,秋田県,大仙市,神岡地域,神宮寺,2005(平成17),877,819,57,1
052124,秋田県,大仙市,神岡地域,北楢岡,2005(平成17),334,320,14,0
052124,秋田県,大仙市,神岡地域,全域,2010(平成22),1208,1112,94,1
052124,秋田県,大仙市,神岡地域,神宮寺,2010(平成22),835,763,71,1
052124,秋田県,大仙市,神岡地域,北楢岡,2010(平成22),372,350,23,0
052124,秋田県,大仙市,神岡地域,全域,2015(平成27),1068,1004,62,1
052124,秋田県,大仙市,神岡地域,神宮寺,2015(平成27),807,756,49,1
052124,秋田県,大仙市,神岡地域,北楢岡,2015(平成27),261,248,13,0
052124,秋田県,大仙市,神岡地域,全域,2020(令和2),1076,1039,36,1
