市区町村コード,NO,都道府県名,市区町村名,データ名称,データ概要,データ形式,分類,更新頻度,URL,ライセンス,登録日,最終更新日,備考
052019,0000000103,秋田県,秋田市,[秋田市の事業所] 平成13年事業所・企業統計調査 ,[秋田市の事業所] 平成13年事業所・企業統計調査 ,excel,商業・サービス業,調査廃止,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003571.html,CC BYに準拠。,2018-07-01,2018-07-01,
052019,0000000104,秋田県,秋田市,[秋田市の事業所] 平成8年事業所・企業統計調査,[秋田市の事業所] 平成8年事業所・企業統計調査,excel,商業・サービス業,調査廃止,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003571.html,CC BYに準拠。,2018-07-01,2018-07-01,
052019,0000000105,秋田県,秋田市,事業所数・従業者数の推移,事業所数・従業者数の推移,excel,商業・サービス業,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003571.html,CC BYに準拠。,2018-07-01,2023-04-11,
052019,0000000106,秋田県,秋田市,平成24年経済センサス－活動調査 ,平成24年経済センサス－活動調査 ,excel,商業・サービス業,次回調査は5年後,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003578.html,CC BYに準拠。,2018-07-01,2018-07-01,
052019,0000000107,秋田県,秋田市,平成19年商業統計調査,平成19年商業統計調査,excel,商業・サービス業,調査廃止,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003578.html,CC BYに準拠。,2018-07-01,2018-07-01,
052019,0000000108,秋田県,秋田市,平成16年商業統計調査,平成16年商業統計調査,excel,商業・サービス業,調査廃止,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003578.html,CC BYに準拠。,2018-07-01,2018-07-01,
052019,0000000109,秋田県,秋田市,平成14年商業統計調査,平成14年商業統計調査,excel,商業・サービス業,調査廃止,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003578.html,CC BYに準拠。,2018-07-01,2018-07-01,
052019,0000000110,秋田県,秋田市,平成11年商業統計調査,平成11年商業統計調査,excel,商業・サービス業,調査廃止,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003578.html,CC BYに準拠。,2018-07-01,2018-07-01,
052019,0000000111,秋田県,秋田市,平成9年商業統計調査,平成9年商業統計調査,excel,商業・サービス業,調査廃止,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003578.html,CC BYに準拠。,2018-07-01,2018-07-01,
052019,0000000112,秋田県,秋田市,平成4年商業統計調査,平成4年商業統計調査,excel,商業・サービス業,調査廃止,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003578.html,CC BYに準拠。,2018-07-01,2018-07-01,
052019,0000000113,秋田県,秋田市,[平成28年経済センサス 活動調査他] 商業の推移（卸売・小売業）,[平成24年経済センサス 活動調査他] 商業の推移（卸売・小売業）,excel,商業・サービス業,5年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003578.html,CC BYに準拠。,2018-07-01,2023-04-28,
052019,0000000114,秋田県,秋田市,[平成28年経済センサス 活動調査他]産業分類別商店数、従業者数、年間商品販売額,[平成24年経済センサス 活動調査他]産業分類別商店数、従業者数、年間商品販売額,excel,商業・サービス業,5年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003578.html,CC BYに準拠。,2018-07-01,2023-04-28,
052019,0000000115,秋田県,秋田市,[平成28年経済センサス 活動調査他] 中央卸売市場の品種別取扱数量 ,[平成24年経済センサス 活動調査他] 中央卸売市場の品種別取扱数量 ,excel,商業・サービス業,5年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003578.html,CC BYに準拠。,2018-07-01,2023-05-11,
052019,0000000116,秋田県,秋田市,[平成28年経済センサス 活動調査他] 酒類の消費数量 ,[平成24年経済センサス 活動調査他] 酒類の消費数量 ,excel,商業・サービス業,5年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003578.html,CC BYに準拠。,2018-07-01,2023-04-28,
052019,0000000117,秋田県,秋田市,秋田市中小企業融資あっせん状況（一般事業資金）,秋田市中小企業融資あっせん状況（一般事業資金）,excel,商業・サービス業,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003579.html,CC BYに準拠。,2018-07-01,2023-04-01,
052019,0000000118,秋田県,秋田市,手形の交換状況,手形の交換状況,excel,商業・サービス業,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003579.html,CC BYに準拠。,2018-07-01,2023-03-02,
052019,0000000119,秋田県,秋田市,信用保証状況 ,信用保証状況 ,excel,商業・サービス業,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003579.html,CC BYに準拠。,2018-07-01,2023-03-02,
052019,0000000120,秋田県,秋田市,主要金融機関の店舗数,主要金融機関の店舗数,excel,商業・サービス業,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003579.html,CC BYに準拠。,2018-07-01,2023-04-12,
052019,0000000121,秋田県,秋田市,主要金融機関の預金・貸出金状況,主要金融機関の預金・貸出金状況,excel,商業・サービス業,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003579.html,CC BYに準拠。,2018-07-01,2023-03-02,
052019,0000000122,秋田県,秋田市,市民経済計算総括表（平成27年度より） ,市民経済計算総括表（平成27年度より） ,excel,企業・家計・経済,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003592.html,CC BYに準拠。,2018-07-01,2023-06-28,
052019,0000000123,秋田県,秋田市,経済活動別市内総生産 ,経済活動別市内総生産 ,excel,企業・家計・経済,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003592.html,CC BYに準拠。,2018-07-01,2023-06-28,
052019,0000000124,秋田県,秋田市,市民所得の分配 ,市民所得の分配 ,excel,企業・家計・経済,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003592.html,CC BYに準拠。,2018-07-01,2023-06-28,
052019,0000000125,秋田県,秋田市,構造別建築物の件数・床面積・工事費（着工建築物）,構造別建築物の件数・床面積・工事費（着工建築物）,excel,住宅・土地・建設,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-04-13,
052019,0000000126,秋田県,秋田市,用途別床面積（着工建築物）,用途別床面積（着工建築物）,excel,住宅・土地・建設,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-04-13,
052019,0000000127,秋田県,秋田市,資金別利用関係別新設住宅の戸数・床面積,資金別利用関係別新設住宅の戸数・床面積,excel,住宅・土地・建設,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-04-13,
052019,0000000128,秋田県,秋田市,用途地域別建築確認件数,用途地域別建築確認件数,excel,住宅・土地・建設,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-05-12,
052019,0000000129,秋田県,秋田市,新設住宅建築確認件数 ,新設住宅建築確認件数 ,excel,住宅・土地・建設,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-04-13,
052019,0000000130,秋田県,秋田市,専用住宅確認件数,専用住宅確認件数,excel,住宅・土地・建設,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-03-29,
052019,0000000131,秋田県,秋田市,[住宅・土地統計調査] 居住世帯の有無別住宅数、人が居住する住宅以外の建物数 ,[住宅・土地統計調査] 居住世帯の有無別住宅数、人が居住する住宅以外の建物数 ,excel,住宅・土地・建設,次回調査は5年後,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-04-13,
052019,0000000132,秋田県,秋田市,[住宅・土地統計調査] 住宅数、人が居住する住宅以外の建物数と世帯の種類別世帯数、世帯人員 ,[住宅・土地統計調査] 住宅数、人が居住する住宅以外の建物数と世帯の種類別世帯数、世帯人員 ,excel,住宅・土地・建設,次回調査は5年後,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-04-13,
052019,0000000133,秋田県,秋田市,[住宅・土地統計調査] 世帯の主な働き手の通勤時間,[住宅・土地統計調査] 世帯の主な働き手の通勤時間,excel,住宅・土地・建設,次回調査は5年後,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-04-13,
052019,0000000134,秋田県,秋田市,[住宅・土地統計調査] 住宅の所有、種類の関係別住宅数等 ,[住宅・土地統計調査] 住宅の所有、種類の関係別住宅数等 ,excel,住宅・土地・建設,次回調査は5年後,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-04-13,
052019,0000000135,秋田県,秋田市,[住宅・土地統計調査] 建築の時期別自動火災感知設備の状況 ,[住宅・土地統計調査] 建築の時期別自動火災感知設備の状況 ,excel,住宅・土地・建設,次回調査は5年後,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-01-24,
052019,0000000136,秋田県,秋田市,[住宅・土地統計調査] 建築の時期別住宅数 ,[住宅・土地統計調査] 建築の時期別住宅数 ,excel,住宅・土地・建設,次回調査は5年後,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-04-13,
052019,0000000137,秋田県,秋田市,[住宅・土地統計調査] 最低居住水準・誘導居住水準状況別主世帯数 ,[住宅・土地統計調査] 最低居住水準・誘導居住水準状況別主世帯数 ,excel,住宅・土地・建設,次回調査は5年後,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-01-24,
052019,0000000138,秋田県,秋田市,[住宅・土地統計調査] 住宅の種類・建築の時期・所有の関係等別、65歳以上の世帯員のいる世帯の高齢者等のための設備,[住宅・土地統計調査] 住宅の種類・建築の時期・所有の関係等別、65歳以上の世帯員のいる世帯の高齢者等のための設備,excel,住宅・土地・建設,次回調査は5年後,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-04-13,
052019,0000000139,秋田県,秋田市,[住宅・土地統計調査] 主世帯の年間収入、一か月当たりの家賃別借家数,[住宅・土地統計調査] 主世帯の年間収入、一か月当たりの家賃別借家数,excel,住宅・土地・建設,次回調査は5年後,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-04-13,
052019,0000000140,秋田県,秋田市,建物の棟数と床面積等の推移 ,建物の棟数と床面積等の推移 ,excel,住宅・土地・建設,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-03-29,
052019,0000000141,秋田県,秋田市,公営住宅,公営住宅,excel,住宅・土地・建設,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-03-29,
052019,0000000142,秋田県,秋田市,道路の状況,道路の状況,excel,住宅・土地・建設,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-04-13,
052019,0000000143,秋田県,秋田市,橋梁の状況 ,橋梁の状況 ,excel,住宅・土地・建設,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-04-13,
052019,0000000144,秋田県,秋田市,市道の状況 ,市道の状況 ,excel,住宅・土地・建設,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-04-13,
052019,0000000145,秋田県,秋田市,公共下水道の状況,公共下水道の状況,excel,住宅・土地・建設,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-04-13,
052019,0000000146,秋田県,秋田市,都市計画道路の状況,都市計画道路の状況,excel,住宅・土地・建設,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-04-13,
052019,0000000147,秋田県,秋田市,区画整理事業による公共施設等の整備状況,区画整理事業による公共施設等の整備状況,excel,住宅・土地・建設,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-04-27,
052019,0000000148,秋田県,秋田市,宅地開発の推移,宅地開発の推移,excel,住宅・土地・建設,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-03-31,
052019,0000000149,秋田県,秋田市,保存樹の状況,保存樹の状況,excel,住宅・土地・建設,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003583.html,CC BYに準拠。,2018-07-01,2023-03-31,
052019,0000000150,秋田県,秋田市,電灯・電力需要状況,電灯・電力需要状況,excel,エネルギー・水,更新予定なし,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003585.html,CC BYに準拠。,2018-07-01,2019-03-29,
052019,0000000151,秋田県,秋田市,ガス需要状況（東部ガス）,ガス需要状況（東部ガス）,excel,エネルギー・水,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003585.html,CC BYに準拠。,2018-07-01,2023-04-12,
052019,0000000152,秋田県,秋田市,上水道の給水状況,上水道の給水状況,excel,エネルギー・水,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003585.html,CC BYに準拠。,2018-07-01,2023-04-12,
052019,0000000153,秋田県,秋田市,簡易水道の給水状況（上水道給水区域外）,簡易水道の給水状況（上水道給水区域外）,excel,エネルギー・水,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003585.html,CC BYに準拠。,2018-07-01,2023-04-12,
052019,0000000154,秋田県,秋田市,秋田市マイタウン・バス、中心市街地循環バス（ぐるる）路線データ,秋田市マイタウン・バス、中心市街地循環バス（ぐるる）路線データ,text,運輸・観光,変更があった場合,https://www.akita-bus.or.jp/pages/39/,CC BYに準拠。,2018-10-26,2021-10-01,2022年2月から外部リンクに変更
052019,0000000155,秋田県,秋田市,秋田港の貨物取扱状況,秋田港の貨物取扱状況,excel,運輸・観光,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003581.html,CC BYに準拠。,2018-07-01,2023-04-12,
052019,0000000156,秋田県,秋田市,秋田港の入港船舶状況 ,秋田港の入港船舶状況 ,excel,運輸・観光,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003581.html,CC BYに準拠。,2018-07-01,2023-04-12,
052019,0000000157,秋田県,秋田市,秋田港の階級別入港船舶数,秋田港の階級別入港船舶数,excel,運輸・観光,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003581.html,CC BYに準拠。,2018-07-01,2023-04-12,
052019,0000000158,秋田県,秋田市,秋田港の国別輸出入貨物状況,秋田港の国別輸出入貨物状況,excel,運輸・観光,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003581.html,CC BYに準拠。,2018-07-01,2023-04-12,
052019,0000000159,秋田県,秋田市,秋田空港の利用状況 （1）秋田－東京（羽田）間,秋田空港の利用状況 （1）秋田－東京（羽田）間,excel,運輸・観光,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003581.html,CC BYに準拠。,2018-07-01,2023-04-27,
052019,0000000160,秋田県,秋田市,秋田空港の利用状況 （2）秋田－大阪（伊丹）間,秋田空港の利用状況 （2）秋田－大阪（伊丹）間,excel,運輸・観光,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003581.html,CC BYに準拠。,2018-07-01,2023-04-27,
052019,0000000161,秋田県,秋田市,秋田空港の利用状況 （3）秋田－札幌（新千歳）間,秋田空港の利用状況 （3）秋田－札幌（新千歳）間,excel,運輸・観光,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003581.html,CC BYに準拠。,2018-07-01,2023-04-27,
052019,0000000162,秋田県,秋田市,秋田空港の利用状況 （4）秋田－名古屋（中部、小牧）間,秋田空港の利用状況 （4）秋田－名古屋（中部、小牧）間,excel,運輸・観光,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003581.html,CC BYに準拠。,2018-07-01,2023-04-27,
052019,0000000163,秋田県,秋田市,秋田空港の利用状況 （5）秋田－韓国（仁川）間,秋田空港の利用状況 （5）秋田－韓国（仁川）間,excel,運輸・観光,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003581.html,CC BYに準拠。,2018-07-01,2023-04-27,
052019,0000000164,秋田県,秋田市,秋田空港の利用状況 （6）貨物・郵便（全路線）,秋田空港の利用状況 （6）貨物・郵便（全路線）,excel,運輸・観光,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003581.html,CC BYに準拠。,2018-07-01,2023-04-27,
052019,0000000165,秋田県,秋田市,自動車保有台数,自動車保有台数,excel,運輸・観光,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003581.html,CC BYに準拠。,2018-07-01,2023-04-27,
052019,0000000166,秋田県,秋田市,秋田市公衆無線LANアクセスポイント一覧,秋田市公衆無線LANアクセスポイント一覧,excel,情報通信・科学技術,変更があった場合,https://www.city.akita.lg.jp/kurashi/kokyoshisetsu/1002716.html,CC BYに準拠。,2018-11-13,2023-04-01,
052019,0000000167,秋田県,秋田市,[学校基本調査他] 学校の概況,[学校基本調査他] 学校の概況,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-05-10,
052019,0000000168,秋田県,秋田市,[学校基本調査他] 幼稚園の概況,[学校基本調査他] 幼稚園の概況,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-05-01,
052019,0000000169,秋田県,秋田市,[学校基本調査他] 小学校の概況,[学校基本調査他] 小学校の概況,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-05-01,
052019,0000000170,秋田県,秋田市,[学校基本調査他] 中学校の概況,[学校基本調査他] 中学校の概況,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-05-01,
052019,0000000171,秋田県,秋田市,[学校基本調査他] 市立小学校施設の整備状況,[学校基本調査他] 市立小学校施設の整備状況,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-04-14,
052019,0000000172,秋田県,秋田市,[学校基本調査他] 市立中学校施設の整備状況,[学校基本調査他] 市立中学校施設の整備状況,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-04-14,
052019,0000000173,秋田県,秋田市,[学校基本調査他] 児童・生徒の平均体位,[学校基本調査他] 児童・生徒の平均体位,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-04-14,
052019,0000000174,秋田県,秋田市,[学校基本調査他] 高等学校の概況,[学校基本調査他] 高等学校の概況,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-05-01,
052019,0000000175,秋田県,秋田市,[学校基本調査他] 高等学校の学科別生徒数,[学校基本調査他] 高等学校の学科別生徒数,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-05-01,
052019,0000000176,秋田県,秋田市,[学校基本調査他] 高等専門学校の概況,[学校基本調査他] 高等専門学校の概況,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-05-01,
052019,0000000177,秋田県,秋田市,[学校基本調査他] 短期大学の概況,[学校基本調査他] 短期大学の概況,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-04-19,
052019,0000000178,秋田県,秋田市,[学校基本調査他] 大学の概況,[学校基本調査他] 大学の概況,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-05-01,
052019,0000000179,秋田県,秋田市,[学校基本調査他] 特別支援学校の概況,[学校基本調査他] 特別支援学校の概況,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-04-20,
052019,0000000180,秋田県,秋田市,[学校基本調査他] 専修学校の概況,[学校基本調査他] 専修学校の概況,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-04-19,
052019,0000000181,秋田県,秋田市,[学校基本調査他] 中学校卒業者の進路状況,[学校基本調査他] 中学校卒業者の進路状況,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-05-09,
052019,0000000182,秋田県,秋田市,[学校基本調査他] 高等学校卒業者の進路状況,[学校基本調査他] 高等学校卒業者の進路状況,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-05-09,
052019,0000000183,秋田県,秋田市,[学校基本調査他] 高等学校卒業者の進学先,[学校基本調査他] 高等学校卒業者の進学先,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-05-09,
052019,0000000184,秋田県,秋田市,[学校基本調査他] 高等学校卒業者の都道府県別就職状況,[学校基本調査他] 高等学校卒業者の都道府県別就職状況,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-05-11,
052019,0000000185,秋田県,秋田市,[学校基本調査他] 高等学校卒業者の産業別就職状況,[学校基本調査他] 高等学校卒業者の産業別就職状況,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-05-11,
052019,0000000186,秋田県,秋田市,[学校基本調査他] 高等専門学校卒業者の進路状況,[学校基本調査他] 高等専門学校卒業者の進路状況,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-05-09,
052019,0000000187,秋田県,秋田市,[学校基本調査他] 短期大学卒業者の進路状況,[学校基本調査他] 短期大学卒業者の進路状況,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-05-09,
052019,0000000188,秋田県,秋田市,[学校基本調査他] 大学卒業者の進路状況,[学校基本調査他] 大学卒業者の進路状況,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-05-09,
052019,0000000189,秋田県,秋田市,[主要文化施設の利用状況] 市民サービスセンター等（総数、中央市民サービスセンター、北部市民サービスセンター、西部市民サービスセンター、東部市民サービスセンター、南部市民サービスセンター、南部市民サービスセンター別館、下新城交流センター、河辺市民サービスセンター、雄和市民サービスセンター）,[主要文化施設の利用状況] 市民サービスセンター等（総数、中央市民サービスセンター、北部市民サービスセンター、西部市民サービスセンター、東部市民サービスセンター、南部市民サービスセンター、南部市民サービスセンター別館、下新城交流センター、河辺市民サービスセンター、雄和市民サービスセンター）,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-05-01,
052019,0000000190,秋田県,秋田市,[主要文化施設の利用状況] 大森山動物園、老人いこいの家、女性学習センター、市立千秋美術館、文化会館、勤労青少年ホーム,[主要文化施設の利用状況] 大森山動物園、老人いこいの家、女性学習センター、市立千秋美術館、文化会館、勤労青少年ホーム,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-05-10,
052019,0000000191,秋田県,秋田市,[主要文化施設の利用状況] 市立図書館、視聴覚ライブラリー,[主要文化施設の利用状況] 市立図書館、視聴覚ライブラリー,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-05-10,
052019,0000000192,秋田県,秋田市,[主要文化施設の利用状況] 児童館、コミュニティセンター、ガラス工房、野外音楽堂、秋田城跡歴史資料館、赤レンガ郷土館、民俗芸能伝承館、土崎みなと歴史伝承館、佐竹史料館,[主要文化施設の利用状況] 児童館、コミュニティセンター、ガラス工房、野外音楽堂、秋田城跡歴史資料館、赤レンガ郷土館、民俗芸能伝承館、土崎みなと歴史伝承館、佐竹史料館,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-04-14,
052019,0000000193,秋田県,秋田市,[主要文化施設の利用状況] 県立図書館、県立美術館、県生涯学習センター、県民会館、県児童館,[主要文化施設の利用状況] 県立図書館、県立美術館、県生涯学習センター、県民会館、県児童館,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-05-01,
052019,0000000194,秋田県,秋田市,[主要文化施設の利用状況] 秋田県立博物館、秋田県総合生活文化会館（アトリオン）、太平山自然学習センター,[主要文化施設の利用状況] 秋田県立博物館、秋田県総合生活文化会館（アトリオン）、太平山自然学習センター,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-04-14,
052019,0000000195,秋田県,秋田市,[主要スポーツ施設の利用状況] 八橋陸上競技場、八橋球場、八橋健康広場、市立体育館、テニスコート、多目的グラウンド、八橋球技場、太平山スキー場、八橋第2球技場、土崎体育館、土崎市民グランド、茨島体育館,[主要スポーツ施設の利用状況] 八橋陸上競技場、八橋球場、八橋健康広場、市立体育館、テニスコート、多目的グラウンド、八橋球技場、太平山スキー場、八橋第2球技場、土崎体育館、土崎市民グランド、茨島体育館,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-04-19,
052019,0000000196,秋田県,秋田市,[主要スポーツ施設の利用状況] 学校体育館施設、ナイター施設、勝平屋内ゲートボール場、屋内多目的運動場、県立体育館、サンライフ秋田,[主要スポーツ施設の利用状況] 学校体育館施設、ナイター施設、勝平屋内ゲートボール場、屋内多目的運動場、県立体育館、サンライフ秋田,excel,教育・文化・スポーツ・生活,1年に1回,https://www.city.akita.lg.jp/shisei/tokei/1003666/1003569.html,CC BYに準拠。,2018-07-01,2023-05-10,
