６　　　気　　　　　象,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
（１）秋田市の気象,,,,,,,,,,（２）秋田市と主な都市の気温と降水量,,,,,,,,,,
,　　　　気温（℃）,,,平均湿度,平均風速,日照時間,降水量,最深積雪,,年次,秋田,札幌,仙台,新潟,東京,大阪,広島,福岡,,
年 ・ 月,最低,最高,平均,,,,,,,,,,,,,,,,,
,（極値）,（極値）,,（％）,（ｍ/ｓ）,（ｈ）,（mm）,(cm),,,,,,,,,,,,
28,171 ,9 ,208 ,90 ,11 ,30 ,9 ,,,28,12.5 ,9.3 ,13.5 ,14.5 ,16.4 ,17.7 ,17.2 ,18.1 ,,
29,192 ,6 ,226 ,102 ,11 ,38 ,8 ,,,29,11.9 ,9.1 ,12.9 ,13.7 ,15.8 ,16.8 ,16.3 ,17.6 ,,
30,168 ,9 ,214 ,101 ,10 ,30 ,4 ,,,30,12.3 ,9.5 ,13.6 ,14.3 ,16.8 ,17.4 ,16.8 ,17.7 ,,
令和元年,151 ,10 ,182 ,88 ,11 ,36 ,4 ,,,令和元年,12.9 ,9.8 ,13.6 ,14.6 ,16.5 ,17.6 ,17.2 ,17.9 ,,
２,192 ,0],21],36],6],81],7 ,,,２,12.8 ,10.0 ,13.7 ,14.7 ,16.5 ,17.7 ,17.1 ,17.9 ,,
３,175 , - , - ,95 ,5 ,75 ,7 ,,,３,12.9 ,10.2 ,13.7 ,14.5 ,16.6 ,17.5 ,17.1 ,18.2 ,,
,,,,,,,,,,,,,,,,,,,,
１月,20 , - , - ,25 ,0 ,8 ),0 ,,,, 年　降　水　量　（mm),,,,,,,,,
２月,18 , - , - ,21 ,0 ,6 ),1 ,,,,,,,,,,,,,
３月,12 , - , - ,13 ,0 ,0 ),1 ,,,平成24年,"1,742.5 ","1,279.0 ","1,179.5 ","1,810.0 ","1,570.0 ","1,519.5 ","1,478.0 ","1,768.5 ",,
４月,12 , - , - ,3 ,0 ,1 ),1 ,,,25,"2,373.0 ","1,347.0 ","1,111.5 ","2,327.0 ","1,614.0 ","1,418.0 ","1,820.5 ","1,801.5 ",,
５月,18 , - , - ,0 ,1 ,5 ),2 ,,,26,"1,737.5 ","1,203.5 ","1,416.5 ","1,984.0 ","1,808.0 ","1,278.5 ","1,573.0 ","1,765.5 ",,
６月,4 , - , - ,0 ,1 ,8 ),1 ,,,27,"1,490.5 ","1,274.5 ","1,444.5 ","1,467.5 ","1,781.5 ","1,648.5 ","1,641.0 ","1,867.5 ",,
７月,10 , - , - ,0 ,0 ,9 ),0 ,,,28,"1,795.5 ","1,360.0 ","1,209.0 ","1,499.0 ","1,779.0 ","1,453.5 ","2,124.0 ","2,420.5 ",,
８月,14 , - , - ,0 ,0 ,6 ),0 ,,,29,"1,935.0 ","1,158.0 ","1,320.5 ","2,036.5 ","1,430.0 ","1,275.5 ","1,619.5 ","1,318.5 ",,
９月,8 , - , - ,0 ,1 ,4 ),0 ,,,30,"2,016.5 ","1,282.0 ","1,082.0 ","1,795.5 ","1,445.5 ","1,651.5 ","1,878.5 ","1,617.0 ",,
10月,16 , - , - ,0 ,2 ,6 ),1 ,,,令和元年,"1,566.5 ",814.0 ,"1,389.5 ","1,352.0 ","1,874.0 ","1,219.0 ","1,381.5 ","1,608.5 ",,
11月,19 , - , - ,3 ,0 ,11 ),0 ,,,２,"2,022.5 ",905.0 ,"1,247.0 ","2,077.5 ","1,590.0 ","1,521.5 ","2,026.5 ","2,212.5 ",,
12月,24 , - , - ,22 ,0 ,11 ),0 ,,,３,1916.5 ,1089.0 ,1183.0 ,1952.0 ,2052.5 ,2014.5 ,2267.0 ,1979.0 ,,
　注）３　年の最深積雪及び雪日数は前年8月から当年7月の年をまたいだ寒候年での値。,,,,,,,,,,  注）　資料は後日修正されることがある。,,,,,,,,,,
　　　４　地震（震度１以上）は、秋田地方気象台で観測した回数である。,,,,,,,,,,,,,,,,,,,,
　　　５　資料は後日修正されることがある。,,,,,,,,,,,,,,,,,,,,
　　　６　雲量の観測は目視観測の自動化に伴い、令和２年２月で終了している。,,,,,,,,,,,,,,,,,,,,
　　　７　現象日数（雪、霧、雷）は令和２年２月から自動観測となっている。,,,,,,,,,,,,,,,,,,,,
資料　秋田地方気象台（秋田地方気象台における観測値）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
